CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
3.734991	0.372759	5.117366	5.757584	2.505745	4.065194	6.540704	13.599799	13.542107	3.276439	12.731511	8.332243	7.956668	12.466892
5.1234	0.372759	7.545082	16.544552	1.980338	12.402269	13.001051	4.823517	8.520816	2.829466	5.126688	11.596216	7.433411	2.700436
3.242024	0.372759	11.835867	12.25673	12.496592	5.537114	2.139454	4.4448	11.35821	4.099913	8.520469	8.960442	5.000554	9.735072
6.661656	0.372759	12.196484	7.930328	10.579614	9.593962	6.491629	11.562547	3.174453	1.024526	6.946153	7.19408	3.886861	12.384947
10.990363	0.372759	10.409416	10.890137	4.927502	6.64796	5.506893	8.061469	10.937106	7.266056	3.810021	4.606561	6.305311	9.268447
0.16855	0.372759	8.74031	11.242201	2.839863	4.125252	6.557606	9.642477	12.775057	4.381688	13.822298	6.978829	10.604082	7.749027
0.825343	0.372759	16.031058	4.989873	5.805204	1.977998	0.751638	11.365152	22.891956	0.714963	9.76127	11.500452	2.227107	10.785226
3.162558	0.372759	7.72798	1.151589	14.440602	10.554798	9.04231	4.252901	12.46428	8.484506	1.659044	11.548554	11.401382	3.736736
12.918893	0.372759	11.260654	4.231787	2.851306	4.662241	6.055275	6.6012	11.412387	10.605746	7.2748	2.215269	11.241863	8.295821
3.954365	0.372759	13.683167	3.876822	7.361111	13.547472	11.558695	6.919344	4.084542	2.86569	9.784987	2.562537	14.853776	4.574733
