CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
6.846144	1.918245	4.048339	15.585131	3.307701	14.895029	6.38395	5.210831	0.372759	5.339389	9.493064	5.120153	9.455671	12.023593
0.233883	5.450049	6.736457	10.287171	9.596937	7.916515	9.374873	9.234887	0.372759	9.044901	6.706435	10.035479	3.849254	11.160401
14.311544	3.95531	8.15063	10.299288	11.519561	3.019299	11.317447	6.915702	0.372759	3.424205	5.540322	0.371956	12.105932	8.696046
6.551618	10.740853	7.428809	10.74592	11.678124	1.096228	10.034364	1.83484	0.372759	7.24886	6.798662	7.719533	9.441082	8.308347
9.657166	0.797162	5.553954	16.998377	4.875703	12.259885	11.840998	12.559262	0.372759	14.403311	2.294169	1.103884	1.612371	5.670999
4.211553	9.584286	7.422542	6.903533	6.383796	11.183656	9.955937	9.930463	0.372759	5.117496	8.036998	5.527707	5.803444	9.56583
10.041549	9.563641	0.967069	6.763747	6.284179	11.574029	13.041829	11.267631	0.372759	2.076571	6.535101	7.96502	10.576357	2.970518
10.855511	7.973941	10.194369	5.262909	4.590326	11.73759	6.172281	1.143128	0.372759	10.638247	4.047509	6.161256	10.360555	10.489618
4.593175	5.875105	6.914621	11.325238	7.132304	7.17055	12.317036	6.315741	0.372759	7.405729	6.996316	6.910961	9.586782	7.083683
14.430472	1.650777	6.48981	6.667643	1.690726	11.63416	15.430142	3.386259	0.372759	11.729508	12.511765	3.486011	5.857798	4.662171
