CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
11.845969	5.343423	3.897311	12.430526	3.329198	3.955725	8.78661	2.096088	7.512758	12.087698	9.045472	7.029802	0.372759	12.266662
14.401651	7.553697	12.537421	14.143399	2.71419	3.394016	3.450338	0.706193	16.389478	3.206461	0.609401	15.031295	0.372759	5.489702
11.83181	11.605744	4.639492	9.465834	2.94432	6.688325	3.850483	12.193249	9.554574	8.237886	3.307949	7.092905	0.372759	8.214671
3.265887	9.761321	11.865676	8.574545	7.359492	8.99048	5.763438	4.181231	8.122699	10.470463	8.092152	11.196175	0.372759	1.983682
4.039081	6.465045	10.889248	5.313221	7.653791	2.053911	13.788276	3.999491	14.218049	7.34128	0.019036	15.074885	0.372759	8.771928
1.886302	7.185695	15.646598	0.618407	15.229325	13.997367	1.465019	12.179929	12.532901	12.428236	1.564086	3.057293	0.372759	1.836083
5.544842	2.879711	2.836719	4.485938	10.520131	7.67821	11.717594	8.958766	7.683246	10.766896	11.576212	10.030886	0.372759	4.948091
13.15512	0.946102	12.035763	13.699905	3.698011	11.364012	5.457531	3.253486	6.489903	2.611616	9.473275	15.127266	0.372759	2.315253
14.13794	7.223953	7.90187	4.252716	4.685615	1.452169	12.462425	8.719062	2.02123	14.651094	14.320839	0.153381	0.372759	7.644947
6.950895	11.850978	6.416274	12.186031	12.499417	8.280729	2.596365	11.562863	6.566491	3.798973	3.558115	1.980148	0.372759	11.379962
