CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
12.693555	11.510491	8.599925	0.519943	0.372759	4.042557	9.636486	10.792505	11.497363	5.899986	10.06817	9.855928	0.217819	4.292513
1.612616	12.993474	4.082358	11.942602	0.372759	6.897477	0.316951	6.570477	5.626028	9.672104	13.204637	5.092395	10.008072	11.60805
2.626783	11.134014	10.683499	3.279521	0.372759	11.858923	9.264012	12.691039	2.648479	8.943432	2.392546	8.328616	12.304164	3.472212
3.393118	14.957028	5.415077	6.030211	0.372759	12.641742	15.435142	1.335442	0.168821	14.504465	2.414681	0.843842	13.928572	8.5591
14.370996	6.421216	5.953266	2.934094	0.372759	3.307439	1.677082	7.926384	15.360322	1.507402	10.958311	14.325035	9.402904	5.48279
7.858945	10.985303	7.837288	12.745777	0.372759	11.08607	11.891187	3.395391	1.310891	6.811064	8.368368	10.45204	4.307902	2.577016
10.466421	1.38999	1.870705	12.744442	0.372759	12.237525	14.216794	11.010258	0.376058	12.429932	2.42133	8.972435	5.521566	5.969785
3.381931	7.33823	3.725453	10.712843	0.372759	3.611843	13.766006	7.164948	8.995797	0.380398	4.140024	13.646415	13.46138	9.301971
3.224768	0.855316	5.611892	10.04971	0.372759	12.285358	4.57668	4.488938	9.754639	12.417171	8.076188	7.09295	8.849447	12.344184
4.632577	2.855469	7.762482	1.67756	0.372759	4.054257	0.6305	1.144486	6.328148	4.728263	16.209164	14.003038	19.205527	16.395769
