CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
7.504545	13.289109	4.436084	0.372759	3.297638	6.452805	10.406396	10.485739	8.51242	10.85446	1.319852	0.465939	9.402918	13.199336
2.253302	8.475351	0.609915	0.372759	7.778338	13.996248	3.559057	15.909686	1.317776	18.403552	0.065681	14.493394	12.195351	0.569591
12.660627	8.433307	9.749951	0.372759	0.581506	12.687089	6.35946	11.914239	11.175122	4.467261	10.353538	1.964638	1.234474	8.046029
5.873681	5.280953	7.879453	0.372759	10.204841	6.114641	13.511897	5.031798	4.94831	9.803136	12.448718	11.121165	7.317007	0.091641
2.958207	12.436187	9.535628	0.372759	13.105342	11.515247	1.47513	9.568209	2.479883	7.069461	2.150287	11.269363	14.47485	1.58945
8.006266	16.112587	5.876668	0.372759	8.075994	6.958107	8.889899	1.302391	4.168798	6.586832	3.351186	2.334155	17.726635	10.237723
10.457716	1.749097	6.865915	0.372759	6.326827	11.356743	0.192571	4.399127	11.957773	12.494422	11.352936	7.344215	5.533976	9.595923
12.657104	1.664378	9.189592	0.372759	13.049338	7.478787	10.047566	10.905909	12.762191	2.458831	6.469436	3.937727	3.015559	5.990825
6.691841	6.865444	11.849355	0.372759	8.8034	4.136386	11.436925	6.542916	6.787908	4.69068	11.42717	6.519348	4.764207	9.111661
6.632296	9.63232	7.703529	0.372759	3.507736	11.162667	10.326629	3.94502	10.803063	9.750067	10.091596	9.198006	1.248395	5.625917
