CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
6.74903	5.617783	5.462319	8.49964	7.050328	4.273269	7.96839	1.529764	3.832339	0.372759	14.261212	12.425306	10.312196	11.645665
13.824865	12.647322	6.443614	6.936662	4.395068	12.272217	5.309507	5.090556	6.576517	0.372759	6.862704	2.054546	4.809729	12.403934
5.839982	1.313291	6.214564	12.101507	5.719976	6.812726	2.042746	3.418968	11.684658	0.372759	13.290307	6.634938	13.673279	10.880298
9.034679	11.113896	0.448198	4.549978	7.948381	1.676236	15.3368	10.015908	3.279989	0.372759	12.381845	7.660004	2.234525	13.946802
0.78824	12.013473	11.959432	10.782804	3.260325	2.163806	2.689406	12.174449	13.68348	0.372759	5.003905	2.650627	9.314883	13.142413
13.755297	3.976909	0.227237	5.420172	9.001463	7.295254	14.271061	4.479654	3.535838	0.372759	10.159491	13.066737	6.815955	7.622171
9.061509	4.916297	4.996225	3.148185	14.569197	16.653301	0.677244	3.129219	8.867626	0.372759	1.755974	17.730122	12.626617	1.495723
7.496699	11.581724	8.22825	5.723701	1.84866	10.345254	8.821125	2.299426	12.507374	0.372759	8.092514	10.741618	1.061223	10.879674
3.820754	12.786734	11.931754	10.45467	2.608663	10.130807	2.993098	15.503479	7.281654	0.372759	9.059332	5.85726	3.738509	3.460526
2.474114	8.276961	11.326616	12.526255	9.239539	11.637256	6.953071	10.55618	7.045457	0.372759	3.843556	1.675869	0.702533	13.369834
