CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
0.372759	11.484439	10.912181	2.61694	0.32592	6.39104	13.205055	3.352242	8.545738	13.927723	6.298088	11.465778	9.246411	1.855685
0.372759	10.569796	14.139928	0.373471	13.398175	0.598979	4.283511	6.089767	7.215714	8.682645	2.554632	6.314864	13.942341	11.463419
0.372759	15.221885	14.972299	11.565403	10.29493	3.135881	2.858734	1.05621	2.777104	20.980839	1.726655	0.330726	4.814124	9.892452
0.372759	13.366729	10.353914	11.571508	1.240986	10.294362	0.800528	3.691269	9.776645	12.649909	9.108471	1.621432	14.526114	0.625375
0.372759	8.8068	10.432306	12.030454	11.498605	2.178215	3.545394	0.343147	11.211049	12.59019	6.445675	9.569888	0.599885	10.375634
0.372759	5.130677	5.373301	5.732494	14.385856	13.452353	10.47286	9.36643	0.951294	5.584048	3.672136	5.877699	7.102233	12.525859
0.372759	0.763911	5.227692	3.874897	5.317929	10.585044	4.688379	7.333368	8.537617	10.201021	13.352807	7.429906	13.913393	8.401278
0.372759	10.326216	7.643032	4.134926	1.418641	13.553417	7.92984	10.056256	0.37819	5.257792	11.383645	11.705599	9.091311	6.748377
0.372759	8.16295	8.203213	13.747429	0.38393	10.220803	3.004247	10.176932	1.474384	11.666634	10.934621	11.55416	9.752502	0.345434
0.372759	10.736853	12.14676	2.521541	2.490305	4.872774	2.593448	5.16943	11.41672	3.486301	12.572046	12.280848	10.104702	9.235512
3.734991	0.372759	5.117366	5.757584	2.505745	4.065194	6.540704	13.599799	13.542107	3.276439	12.731511	8.332243	7.956668	12.466892
5.1234	0.372759	7.545082	16.544552	1.980338	12.402269	13.001051	4.823517	8.520816	2.829466	5.126688	11.596216	7.433411	2.700436
3.242024	0.372759	11.835867	12.25673	12.496592	5.537114	2.139454	4.4448	11.35821	4.099913	8.520469	8.960442	5.000554	9.735072
6.661656	0.372759	12.196484	7.930328	10.579614	9.593962	6.491629	11.562547	3.174453	1.024526	6.946153	7.19408	3.886861	12.384947
10.990363	0.372759	10.409416	10.890137	4.927502	6.64796	5.506893	8.061469	10.937106	7.266056	3.810021	4.606561	6.305311	9.268447
0.16855	0.372759	8.74031	11.242201	2.839863	4.125252	6.557606	9.642477	12.775057	4.381688	13.822298	6.978829	10.604082	7.749027
0.825343	0.372759	16.031058	4.989873	5.805204	1.977998	0.751638	11.365152	22.891956	0.714963	9.76127	11.500452	2.227107	10.785226
3.162558	0.372759	7.72798	1.151589	14.440602	10.554798	9.04231	4.252901	12.46428	8.484506	1.659044	11.548554	11.401382	3.736736
12.918893	0.372759	11.260654	4.231787	2.851306	4.662241	6.055275	6.6012	11.412387	10.605746	7.2748	2.215269	11.241863	8.295821
3.954365	0.372759	13.683167	3.876822	7.361111	13.547472	11.558695	6.919344	4.084542	2.86569	9.784987	2.562537	14.853776	4.574733
7.517259	11.837526	0.372759	3.410569	7.845573	3.662663	14.686926	3.337618	8.714849	11.479834	11.638425	3.690643	1.017484	10.787872
3.641085	9.426573	0.372759	6.902899	6.763867	3.986845	13.391371	3.727178	13.589716	5.599592	1.7955	10.463204	9.392721	10.946688
7.537038	15.63036	0.372759	9.041933	19.466513	7.070592	2.894741	1.708384	3.219421	1.545568	1.851964	18.576782	3.023559	8.060387
14.106984	12.286173	0.372759	11.641174	9.795207	0.954147	4.311836	7.985001	7.377338	6.10547	2.052227	8.768987	10.572974	3.669725
12.562594	8.327372	0.372759	5.147274	1.881431	7.831267	1.059524	2.482195	8.92833	7.480841	11.281473	11.043111	9.836017	11.765809
8.630509	7.278024	0.372759	4.038059	11.48681	11.580556	13.359966	4.913018	1.491705	16.6372	14.030522	1.313566	4.666468	0.200839
15.957051	15.924963	0.372759	7.089415	5.175384	7.124238	9.087486	0.697182	16.867882	2.196402	5.996239	3.356201	8.607616	1.547183
4.724939	1.046779	0.372759	12.92071	9.153201	14.646478	4.792532	10.547362	9.155036	3.792387	14.039305	6.123911	6.691966	1.992634
6.703214	11.016777	0.372759	9.451612	4.046145	3.658772	10.909345	10.521576	8.989618	8.957373	10.260588	6.645644	0.396858	8.069718
7.94425	15.540046	0.372759	11.594379	10.342282	5.44024	7.592018	6.343901	4.189463	7.191142	3.612905	16.314642	0.29445	3.227523
7.504545	13.289109	4.436084	0.372759	3.297638	6.452805	10.406396	10.485739	8.51242	10.85446	1.319852	0.465939	9.402918	13.199336
2.253302	8.475351	0.609915	0.372759	7.778338	13.996248	3.559057	15.909686	1.317776	18.403552	0.065681	14.493394	12.195351	0.569591
12.660627	8.433307	9.749951	0.372759	0.581506	12.687089	6.35946	11.914239	11.175122	4.467261	10.353538	1.964638	1.234474	8.046029
5.873681	5.280953	7.879453	0.372759	10.204841	6.114641	13.511897	5.031798	4.94831	9.803136	12.448718	11.121165	7.317007	0.091641
2.958207	12.436187	9.535628	0.372759	13.105342	11.515247	1.47513	9.568209	2.479883	7.069461	2.150287	11.269363	14.47485	1.58945
8.006266	16.112587	5.876668	0.372759	8.075994	6.958107	8.889899	1.302391	4.168798	6.586832	3.351186	2.334155	17.726635	10.237723
10.457716	1.749097	6.865915	0.372759	6.326827	11.356743	0.192571	4.399127	11.957773	12.494422	11.352936	7.344215	5.533976	9.595923
12.657104	1.664378	9.189592	0.372759	13.049338	7.478787	10.047566	10.905909	12.762191	2.458831	6.469436	3.937727	3.015559	5.990825
6.691841	6.865444	11.849355	0.372759	8.8034	4.136386	11.436925	6.542916	6.787908	4.69068	11.42717	6.519348	4.764207	9.111661
6.632296	9.63232	7.703529	0.372759	3.507736	11.162667	10.326629	3.94502	10.803063	9.750067	10.091596	9.198006	1.248395	5.625917
12.693555	11.510491	8.599925	0.519943	0.372759	4.042557	9.636486	10.792505	11.497363	5.899986	10.06817	9.855928	0.217819	4.292513
1.612616	12.993474	4.082358	11.942602	0.372759	6.897477	0.316951	6.570477	5.626028	9.672104	13.204637	5.092395	10.008072	11.60805
2.626783	11.134014	10.683499	3.279521	0.372759	11.858923	9.264012	12.691039	2.648479	8.943432	2.392546	8.328616	12.304164	3.472212
3.393118	14.957028	5.415077	6.030211	0.372759	12.641742	15.435142	1.335442	0.168821	14.504465	2.414681	0.843842	13.928572	8.5591
14.370996	6.421216	5.953266	2.934094	0.372759	3.307439	1.677082	7.926384	15.360322	1.507402	10.958311	14.325035	9.402904	5.48279
7.858945	10.985303	7.837288	12.745777	0.372759	11.08607	11.891187	3.395391	1.310891	6.811064	8.368368	10.45204	4.307902	2.577016
10.466421	1.38999	1.870705	12.744442	0.372759	12.237525	14.216794	11.010258	0.376058	12.429932	2.42133	8.972435	5.521566	5.969785
3.381931	7.33823	3.725453	10.712843	0.372759	3.611843	13.766006	7.164948	8.995797	0.380398	4.140024	13.646415	13.46138	9.301971
3.224768	0.855316	5.611892	10.04971	0.372759	12.285358	4.57668	4.488938	9.754639	12.417171	8.076188	7.09295	8.849447	12.344184
4.632577	2.855469	7.762482	1.67756	0.372759	4.054257	0.6305	1.144486	6.328148	4.728263	16.209164	14.003038	19.205527	16.395769
8.633789	9.207846	10.816069	1.432298	3.899507	0.372759	19.685363	0.723965	8.324359	0.237032	13.699804	5.404126	5.7405	11.822583
8.846536	11.659887	13.917892	4.055963	10.056243	0.372759	2.128162	1.981986	14.055968	1.604047	7.71651	9.851612	8.139657	5.61278
12.763833	10.722492	12.839138	2.565417	10.947521	0.372759	12.142866	0.757315	13.373016	6.607588	4.884814	0.490473	10.778346	0.754423
9.291853	14.297252	3.662444	2.941782	3.471183	0.372759	10.938406	3.075826	13.208371	7.684832	9.642047	11.236158	6.872311	3.304776
7.226358	5.634137	14.102037	12.039688	4.19404	0.372759	7.776022	7.004334	0.562152	5.429023	3.394929	14.873542	2.107496	15.283484
9.520972	5.723213	11.492175	6.079822	6.337035	0.372759	8.535755	10.851274	9.930766	7.556283	5.767752	4.677907	1.353343	11.800944
4.37565	9.977305	3.219375	10.839072	6.724891	0.372759	4.768844	7.264937	14.111021	14.683682	6.36544	2.97769	2.647873	11.67146
15.628513	10.369971	6.345587	4.097714	4.353571	0.372759	11.899137	14.273242	4.488895	3.349677	6.566825	4.125639	5.933014	8.195457
1.472414	11.340691	5.628591	1.628346	14.120398	0.372759	0.742786	10.284802	13.578431	11.110387	2.646809	9.29186	3.608193	14.173533
8.097256	6.913265	0.508306	10.551318	8.286528	0.372759	1.545172	12.667456	13.649528	8.405563	0.463816	12.230784	9.636202	6.672047
17.09405	12.493661	6.03267	11.205975	19.629978	0.01368	0.372759	5.082856	4.86491	7.694781	1.463084	6.951441	0.715826	6.384331
17.315752	1.378035	2.079054	0.209394	10.386403	0.01153	0.372759	7.413864	16.527902	12.291618	2.850704	16.032936	4.747953	8.382094
6.897464	4.90362	12.164699	13.69915	3.969824	11.983899	0.372759	8.081913	2.350677	14.937887	9.08824	0.581734	10.741724	0.226409
12.078277	5.38851	15.813807	10.279808	3.683189	7.053637	0.372759	11.803116	7.024932	6.589116	7.118369	3.564892	2.187589	7.042
11.435557	8.733801	2.766759	0.259699	3.367238	13.978669	0.372759	12.046361	10.082615	0.619437	14.537362	0.022086	5.438476	16.33918
9.032751	5.979961	3.914005	0.72734	15.115942	14.818178	0.372759	8.887535	0.236533	4.683461	4.364968	8.02115	9.744496	14.100919
9.144216	2.938175	14.7562	1.76674	4.191575	6.792297	0.372759	6.334444	5.728624	10.203262	16.594897	8.466219	6.417024	6.293569
9.428924	9.897446	11.646139	12.32453	12.15326	2.05835	0.372759	0.590805	5.810043	2.666618	4.44367	9.649042	10.577808	8.380608
6.770834	9.363736	7.3448	5.416344	14.91427	14.539968	0.372759	13.120529	1.913455	0.341359	7.352568	14.775093	2.716562	1.057724
8.905743	13.59999	9.177207	7.98619	5.714099	11.671939	0.372759	2.327843	0.327207	6.546727	12.279904	6.922451	7.163736	7.004204
1.768043	8.308307	3.198714	5.173288	14.190587	10.012252	1.049866	0.372759	12.908664	5.682399	5.454491	10.554738	9.905538	11.420354
13.031558	5.27876	10.448974	6.913384	12.797406	1.034807	10.289122	0.372759	12.568546	3.873827	5.202799	14.078394	3.765588	0.344076
2.859777	0.515715	18.302727	9.603325	0.842751	5.313081	7.486417	0.372759	14.365993	11.483823	1.302356	12.288068	2.106622	13.156587
0.356158	6.079915	14.546323	15.731961	3.05278	8.675127	8.688664	0.372759	13.843176	2.319841	10.576208	6.315818	2.589988	6.851282
8.574394	9.238231	9.961619	1.332952	9.767686	2.177935	5.212807	0.372759	10.299141	10.044	9.845785	4.690566	9.242618	9.239507
6.407963	8.895314	14.350307	3.515428	11.417968	8.402918	7.389342	0.372759	8.068191	9.728015	1.290379	2.831299	7.062659	10.267457
13.051107	8.112619	6.493571	10.82304	3.686134	3.87299	11.338837	0.372759	0.625939	10.836138	12.909622	4.194754	11.682734	1.999754
1.908927	2.69575	9.490993	2.310203	4.846621	11.625552	5.802039	0.372759	14.028114	4.021446	14.769791	8.836769	6.334062	12.956975
9.197588	3.153122	8.471341	3.16525	14.919099	5.405648	7.467579	0.372759	13.240112	10.536084	11.239039	12.144088	0.462996	0.225297
