CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
8.633789	9.207846	10.816069	1.432298	3.899507	0.372759	19.685363	0.723965	8.324359	0.237032	13.699804	5.404126	5.7405	11.822583
8.846536	11.659887	13.917892	4.055963	10.056243	0.372759	2.128162	1.981986	14.055968	1.604047	7.71651	9.851612	8.139657	5.61278
12.763833	10.722492	12.839138	2.565417	10.947521	0.372759	12.142866	0.757315	13.373016	6.607588	4.884814	0.490473	10.778346	0.754423
9.291853	14.297252	3.662444	2.941782	3.471183	0.372759	10.938406	3.075826	13.208371	7.684832	9.642047	11.236158	6.872311	3.304776
7.226358	5.634137	14.102037	12.039688	4.19404	0.372759	7.776022	7.004334	0.562152	5.429023	3.394929	14.873542	2.107496	15.283484
9.520972	5.723213	11.492175	6.079822	6.337035	0.372759	8.535755	10.851274	9.930766	7.556283	5.767752	4.677907	1.353343	11.800944
4.37565	9.977305	3.219375	10.839072	6.724891	0.372759	4.768844	7.264937	14.111021	14.683682	6.36544	2.97769	2.647873	11.67146
15.628513	10.369971	6.345587	4.097714	4.353571	0.372759	11.899137	14.273242	4.488895	3.349677	6.566825	4.125639	5.933014	8.195457
1.472414	11.340691	5.628591	1.628346	14.120398	0.372759	0.742786	10.284802	13.578431	11.110387	2.646809	9.29186	3.608193	14.173533
8.097256	6.913265	0.508306	10.551318	8.286528	0.372759	1.545172	12.667456	13.649528	8.405563	0.463816	12.230784	9.636202	6.672047
