CD4	CD8	nB	NK	Mn	mNeu	m8	DC	Eo	Tr	m4	Mg	Er	mB
7.517259	11.837526	0.372759	3.410569	7.845573	3.662663	14.686926	3.337618	8.714849	11.479834	11.638425	3.690643	1.017484	10.787872
3.641085	9.426573	0.372759	6.902899	6.763867	3.986845	13.391371	3.727178	13.589716	5.599592	1.7955	10.463204	9.392721	10.946688
7.537038	15.63036	0.372759	9.041933	19.466513	7.070592	2.894741	1.708384	3.219421	1.545568	1.851964	18.576782	3.023559	8.060387
14.106984	12.286173	0.372759	11.641174	9.795207	0.954147	4.311836	7.985001	7.377338	6.10547	2.052227	8.768987	10.572974	3.669725
12.562594	8.327372	0.372759	5.147274	1.881431	7.831267	1.059524	2.482195	8.92833	7.480841	11.281473	11.043111	9.836017	11.765809
8.630509	7.278024	0.372759	4.038059	11.48681	11.580556	13.359966	4.913018	1.491705	16.6372	14.030522	1.313566	4.666468	0.200839
15.957051	15.924963	0.372759	7.089415	5.175384	7.124238	9.087486	0.697182	16.867882	2.196402	5.996239	3.356201	8.607616	1.547183
4.724939	1.046779	0.372759	12.92071	9.153201	14.646478	4.792532	10.547362	9.155036	3.792387	14.039305	6.123911	6.691966	1.992634
6.703214	11.016777	0.372759	9.451612	4.046145	3.658772	10.909345	10.521576	8.989618	8.957373	10.260588	6.645644	0.396858	8.069718
7.94425	15.540046	0.372759	11.594379	10.342282	5.44024	7.592018	6.343901	4.189463	7.191142	3.612905	16.314642	0.29445	3.227523
