PBL	TIL	MEL_TUMOR
31.440604	68.558396	0.001
27.514995	72.484005	0.001
47.834102	52.164898	0.001
79.139185	20.858661	0.002154
89.04722	10.950625	0.002154
56.150735	43.847111	0.002154
35.873773	64.121585	0.004642
69.563031	30.432327	0.004642
54.002961	45.992398	0.004642
45.00016	54.98984	0.01
49.174577	50.815423	0.01
12.913713	87.076287	0.01
10.49002	89.488436	0.021544
16.369557	83.608899	0.021544
65.574133	34.404322	0.021544
65.19911	34.754474	0.046416
39.093562	60.860022	0.046416
70.813514	29.14007	0.046416
27.858533	72.041467	0.1
82.039635	17.860365	0.1
42.851086	57.048914	0.1
41.532078	58.252478	0.215443
94.750609	5.033948	0.215443
64.384809	35.399748	0.215443
31.566186	67.969655	0.464159
55.4898	44.046041	0.464159
69.795855	29.739987	0.464159
24.498882	74.501118	1.0
5.646104	93.353896	1.0
16.778493	82.221507	1.0
