PBL	TIL	MEL_TUMOR
0.001	81.717142	18.281858
0.001	46.277514	53.721486
0.001	23.367493	76.631507
0.002154	12.586173	87.411673
0.002154	47.781154	52.216691
0.002154	57.34964	42.648206
0.004642	63.034838	36.960521
0.004642	32.646561	67.348798
0.004642	4.428728	95.56663
0.01	70.990275	28.999725
0.01	27.387614	72.602386
0.01	46.827125	53.162875
0.021544	15.73471	84.243745
0.021544	50.559501	49.418954
0.021544	12.689028	87.289428
0.046416	60.078678	39.874906
0.046416	12.902917	87.050667
0.046416	27.813112	72.140472
0.1	48.748338	51.151662
0.1	68.463381	31.436619
0.1	51.661583	48.238417
0.215443	45.197226	54.58733
0.215443	47.626604	52.157953
0.215443	27.151125	72.633431
0.464159	38.969355	60.566486
0.464159	94.947276	4.588565
0.464159	44.638883	54.896958
1.0	68.365152	30.634848
1.0	43.475231	55.524769
1.0	22.019812	76.980188
