PBL	TIL	MEL_TUMOR
98.106422	0.001	1.892578
62.09159	0.001	37.90741
86.415332	0.001	13.583668
57.836215	0.002154	42.16163
97.904299	0.002154	2.093546
89.803198	0.002154	10.194647
85.380568	0.004642	14.61479
54.340261	0.004642	45.655098
31.702719	0.004642	68.292639
50.559151	0.01	49.430849
60.058533	0.01	39.931467
60.405189	0.01	39.584811
26.427272	0.021544	73.551184
55.122844	0.021544	44.855612
42.537818	0.021544	57.440638
7.693078	0.046416	92.260506
23.718034	0.046416	76.23555
51.515477	0.046416	48.438107
39.382834	0.1	60.517166
93.452285	0.1	6.447715
81.952252	0.1	17.947748
65.780815	0.215443	34.003742
56.107886	0.215443	43.67667
63.845804	0.215443	35.938752
49.976453	0.464159	49.559389
51.989007	0.464159	47.546834
35.938569	0.464159	63.597272
60.602897	1.0	38.397103
81.299149	1.0	17.700851
79.831203	1.0	19.168797
