PBL	TIL	MEL_TUMOR
0.001	81.717142	18.281858
0.001	46.277514	53.721486
0.001	23.367493	76.631507
0.002154	12.586173	87.411673
0.002154	47.781154	52.216691
0.002154	57.34964	42.648206
0.004642	63.034838	36.960521
0.004642	32.646561	67.348798
0.004642	4.428728	95.56663
0.01	70.990275	28.999725
0.01	27.387614	72.602386
0.01	46.827125	53.162875
0.021544	15.73471	84.243745
0.021544	50.559501	49.418954
0.021544	12.689028	87.289428
0.046416	60.078678	39.874906
0.046416	12.902917	87.050667
0.046416	27.813112	72.140472
0.1	48.748338	51.151662
0.1	68.463381	31.436619
0.1	51.661583	48.238417
0.215443	45.197226	54.58733
0.215443	47.626604	52.157953
0.215443	27.151125	72.633431
0.464159	38.969355	60.566486
0.464159	94.947276	4.588565
0.464159	44.638883	54.896958
1.0	68.365152	30.634848
1.0	43.475231	55.524769
1.0	22.019812	76.980188
98.106422	0.001	1.892578
62.09159	0.001	37.90741
86.415332	0.001	13.583668
57.836215	0.002154	42.16163
97.904299	0.002154	2.093546
89.803198	0.002154	10.194647
85.380568	0.004642	14.61479
54.340261	0.004642	45.655098
31.702719	0.004642	68.292639
50.559151	0.01	49.430849
60.058533	0.01	39.931467
60.405189	0.01	39.584811
26.427272	0.021544	73.551184
55.122844	0.021544	44.855612
42.537818	0.021544	57.440638
7.693078	0.046416	92.260506
23.718034	0.046416	76.23555
51.515477	0.046416	48.438107
39.382834	0.1	60.517166
93.452285	0.1	6.447715
81.952252	0.1	17.947748
65.780815	0.215443	34.003742
56.107886	0.215443	43.67667
63.845804	0.215443	35.938752
49.976453	0.464159	49.559389
51.989007	0.464159	47.546834
35.938569	0.464159	63.597272
60.602897	1.0	38.397103
81.299149	1.0	17.700851
79.831203	1.0	19.168797
31.440604	68.558396	0.001
27.514995	72.484005	0.001
47.834102	52.164898	0.001
79.139185	20.858661	0.002154
89.04722	10.950625	0.002154
56.150735	43.847111	0.002154
35.873773	64.121585	0.004642
69.563031	30.432327	0.004642
54.002961	45.992398	0.004642
45.00016	54.98984	0.01
49.174577	50.815423	0.01
12.913713	87.076287	0.01
10.49002	89.488436	0.021544
16.369557	83.608899	0.021544
65.574133	34.404322	0.021544
65.19911	34.754474	0.046416
39.093562	60.860022	0.046416
70.813514	29.14007	0.046416
27.858533	72.041467	0.1
82.039635	17.860365	0.1
42.851086	57.048914	0.1
41.532078	58.252478	0.215443
94.750609	5.033948	0.215443
64.384809	35.399748	0.215443
31.566186	67.969655	0.464159
55.4898	44.046041	0.464159
69.795855	29.739987	0.464159
24.498882	74.501118	1.0
5.646104	93.353896	1.0
16.778493	82.221507	1.0
