PBL	TIL	MEL_TUMOR
1.293233	8.706767	90.0
4.691804	5.308196	90.0
1.526138	8.473862	90.0
8.242592	10.646297	81.111111
8.731763	10.157126	81.111111
8.761195	10.127694	81.111111
24.304739	3.473038	72.222222
15.244329	12.533449	72.222222
13.625037	14.152741	72.222222
11.862461	24.804205	63.333333
10.269682	26.396984	63.333333
15.065491	21.601175	63.333333
24.111842	21.443714	54.444444
20.811702	24.743853	54.444444
17.666179	27.889377	54.444444
20.703441	33.741004	45.555556
26.005659	28.438785	45.555556
27.610055	26.834389	45.555556
11.402614	51.930719	36.666667
36.117172	27.216161	36.666667
33.620181	29.713152	36.666667
2.087367	70.134855	27.777778
36.961587	35.260635	27.777778
19.180051	53.042171	27.777778
6.892885	74.218226	18.888889
4.669814	76.441297	18.888889
53.440996	27.670115	18.888889
59.089877	30.910123	10.0
45.349022	44.650978	10.0
68.648577	21.351423	10.0
