PBL	TIL	MEL_TUMOR
90.0	5.183131	4.816869
90.0	4.985085	5.014915
90.0	7.521632	2.478368
81.111111	7.029267	11.859622
81.111111	2.605117	16.283772
81.111111	7.243547	11.645342
72.222222	3.429195	24.348583
72.222222	20.038681	7.739097
72.222222	16.00168	11.776098
63.333333	1.034951	35.631715
63.333333	22.668923	13.997743
63.333333	16.878869	19.787798
54.444444	17.461662	28.093894
54.444444	18.506067	27.049489
54.444444	37.30965	8.245906
45.555556	4.637915	49.80653
45.555556	26.725724	27.71872
45.555556	21.426323	33.018122
36.666667	62.308462	1.024872
36.666667	8.790789	54.542544
36.666667	2.37621	60.957123
27.777778	33.157115	39.065108
27.777778	5.330734	66.891489
27.777778	34.492885	37.729337
18.888889	39.815017	41.296094
18.888889	8.939013	72.172098
18.888889	34.02782	47.083291
10.0	42.216831	47.783169
10.0	35.824172	54.175828
10.0	20.732181	69.267819
