PBL	TIL	MEL_TUMOR
6.709022	90.0	3.290978
0.862826	90.0	9.137174
5.493914	90.0	4.506086
17.82092	81.111111	1.067969
8.706482	81.111111	10.182407
11.987661	81.111111	6.901228
20.296436	72.222222	7.481342
22.705212	72.222222	5.072566
8.037823	72.222222	19.739955
33.074877	63.333333	3.591789
21.250965	63.333333	15.415702
2.526177	63.333333	34.14049
43.5204	54.444444	2.035156
11.34511	54.444444	34.210445
2.112187	54.444444	43.443369
36.373894	45.555556	18.070551
0.44168	45.555556	54.002764
16.27713	45.555556	38.167315
41.912708	36.666667	21.420625
3.367194	36.666667	59.966139
3.615687	36.666667	59.717646
37.979439	27.777778	34.242784
63.992015	27.777778	8.230207
62.349233	27.777778	9.872989
25.699947	18.888889	55.411164
37.664528	18.888889	43.446583
63.844958	18.888889	17.266153
24.540109	10.0	65.459891
11.705026	10.0	78.294974
89.825267	10.0	0.174733
