PBL	TIL	MEL_TUMOR
90.0	5.183131	4.816869
90.0	4.985085	5.014915
90.0	7.521632	2.478368
81.111111	7.029267	11.859622
81.111111	2.605117	16.283772
81.111111	7.243547	11.645342
72.222222	3.429195	24.348583
72.222222	20.038681	7.739097
72.222222	16.00168	11.776098
63.333333	1.034951	35.631715
63.333333	22.668923	13.997743
63.333333	16.878869	19.787798
54.444444	17.461662	28.093894
54.444444	18.506067	27.049489
54.444444	37.30965	8.245906
45.555556	4.637915	49.80653
45.555556	26.725724	27.71872
45.555556	21.426323	33.018122
36.666667	62.308462	1.024872
36.666667	8.790789	54.542544
36.666667	2.37621	60.957123
27.777778	33.157115	39.065108
27.777778	5.330734	66.891489
27.777778	34.492885	37.729337
18.888889	39.815017	41.296094
18.888889	8.939013	72.172098
18.888889	34.02782	47.083291
10.0	42.216831	47.783169
10.0	35.824172	54.175828
10.0	20.732181	69.267819
6.709022	90.0	3.290978
0.862826	90.0	9.137174
5.493914	90.0	4.506086
17.82092	81.111111	1.067969
8.706482	81.111111	10.182407
11.987661	81.111111	6.901228
20.296436	72.222222	7.481342
22.705212	72.222222	5.072566
8.037823	72.222222	19.739955
33.074877	63.333333	3.591789
21.250965	63.333333	15.415702
2.526177	63.333333	34.14049
43.5204	54.444444	2.035156
11.34511	54.444444	34.210445
2.112187	54.444444	43.443369
36.373894	45.555556	18.070551
0.44168	45.555556	54.002764
16.27713	45.555556	38.167315
41.912708	36.666667	21.420625
3.367194	36.666667	59.966139
3.615687	36.666667	59.717646
37.979439	27.777778	34.242784
63.992015	27.777778	8.230207
62.349233	27.777778	9.872989
25.699947	18.888889	55.411164
37.664528	18.888889	43.446583
63.844958	18.888889	17.266153
24.540109	10.0	65.459891
11.705026	10.0	78.294974
89.825267	10.0	0.174733
1.293233	8.706767	90.0
4.691804	5.308196	90.0
1.526138	8.473862	90.0
8.242592	10.646297	81.111111
8.731763	10.157126	81.111111
8.761195	10.127694	81.111111
24.304739	3.473038	72.222222
15.244329	12.533449	72.222222
13.625037	14.152741	72.222222
11.862461	24.804205	63.333333
10.269682	26.396984	63.333333
15.065491	21.601175	63.333333
24.111842	21.443714	54.444444
20.811702	24.743853	54.444444
17.666179	27.889377	54.444444
20.703441	33.741004	45.555556
26.005659	28.438785	45.555556
27.610055	26.834389	45.555556
11.402614	51.930719	36.666667
36.117172	27.216161	36.666667
33.620181	29.713152	36.666667
2.087367	70.134855	27.777778
36.961587	35.260635	27.777778
19.180051	53.042171	27.777778
6.892885	74.218226	18.888889
4.669814	76.441297	18.888889
53.440996	27.670115	18.888889
59.089877	30.910123	10.0
45.349022	44.650978	10.0
68.648577	21.351423	10.0
