CD4	CD8	nB	NK	PC	Mn	iDC	mDC	M1	M0	mNeu	M2	cB
5.045831	0.001	17.815849	7.397129	9.41897	12.845654	0.072891	5.898358	4.849411	8.331223	5.329943	22.886019	0.107724
6.706083	0.001	5.59618	13.981853	9.850224	7.229908	12.953324	13.006592	7.873004	4.227318	8.986519	6.696868	2.891127
10.830732	0.001	3.15124	13.292693	0.421944	7.400849	7.32669	1.976222	4.77363	16.270954	14.21583	9.012587	11.325631
11.121889	0.001	11.961765	0.403249	7.153592	14.972352	12.805649	6.238821	4.345044	3.829393	15.589435	5.051587	6.526223
11.790335	0.001	12.61143	0.929574	2.877134	14.51827	7.272215	5.625364	14.788523	3.636344	16.732271	8.531771	0.685768
0.730248	0.002154	8.311804	1.2074	9.531058	10.402684	10.555585	15.206628	4.327339	9.944775	12.732	1.05533	15.992995
13.162019	0.002154	15.374754	0.887183	2.540413	17.355312	15.151217	8.193886	13.514934	7.840045	2.224641	3.116222	0.637219
1.303631	0.002154	12.394123	2.545727	20.521641	13.762312	7.950614	1.621944	8.638517	10.957347	0.015566	6.672378	13.614046
12.105969	0.002154	11.225031	1.473134	9.267205	17.430133	8.031532	9.71181	10.196713	1.244367	10.410124	7.571609	1.330218
7.42767	0.002154	7.41674	7.837138	13.931685	6.502557	0.620581	3.619285	14.393099	13.153137	14.132341	8.889276	2.074336
10.101913	0.004642	10.28946	4.94149	13.005615	6.692041	11.961181	0.495034	9.760535	9.105241	2.879865	10.956853	9.806132
1.771812	0.004642	7.623651	3.955922	17.76758	4.64315	5.916092	11.506239	4.754179	14.0604	9.003806	12.705501	6.287027
16.262309	0.004642	8.782506	2.918553	8.746042	17.05325	11.174351	8.69135	11.622613	3.493519	2.956874	5.426801	2.867191
8.750981	0.004642	12.433739	7.315775	2.130506	5.300716	2.943424	13.373978	13.570855	11.020375	8.215135	1.870797	13.069079
4.159929	0.004642	9.11579	13.022448	12.057789	10.482347	7.009306	5.156351	7.553577	10.777414	6.650372	6.805571	7.204464
4.396773	0.01	2.711609	2.373055	20.906291	0.569223	21.289245	1.199347	23.722125	1.604111	1.979379	16.371448	2.867395
8.799432	0.01	7.655796	6.046875	8.134761	1.529476	15.58631	12.134519	0.264301	12.606815	0.511607	15.746486	10.973622
1.472762	0.01	8.48769	7.21244	10.116261	0.44356	12.427132	2.021585	5.372791	14.910908	13.867717	11.853101	11.804053
6.695942	0.01	4.877221	9.427549	2.216545	17.737534	20.629464	0.402246	18.994216	1.308772	2.485877	15.011119	0.203515
9.23198	0.01	12.708178	14.442047	9.056207	10.798461	0.198513	0.0375	1.363262	7.715952	4.938179	14.433477	15.066244
12.023305	0.021544	12.59588	0.138747	0.874027	11.349588	12.573398	10.952461	9.12725	5.953377	1.599206	9.678911	13.112307
7.654258	0.021544	0.827686	11.490294	2.20995	13.468089	12.76083	3.096997	12.268385	9.15153	13.351935	6.956596	6.741905
9.497636	0.021544	21.624122	3.479068	7.817109	3.194608	6.478153	4.213339	13.441354	1.585762	12.981048	9.100352	6.565906
4.168714	0.021544	3.983688	12.893205	9.214403	6.402449	5.402798	9.760974	10.328489	3.365526	8.236643	12.894034	13.327532
10.029799	0.021544	3.733045	7.265627	2.538111	4.924202	1.682042	13.246008	6.831224	21.147202	2.036726	23.037845	3.506626
7.92184	0.046416	7.640212	11.384992	14.083575	13.788198	5.401453	0.994163	8.173168	3.525633	10.69544	5.493215	10.851695
2.046932	0.046416	4.39407	4.780874	3.427008	11.805312	13.553511	8.92728	8.880385	4.927012	10.542269	11.117346	15.551585
5.774041	0.046416	9.69377	9.851761	1.243004	5.417031	15.573102	8.701339	6.740211	12.863859	6.67421	3.462939	13.958317
2.76996	0.046416	7.086681	14.062654	6.357411	8.624202	0.756562	10.03719	10.042009	13.316305	6.890282	18.573229	1.437099
5.401075	0.046416	4.800175	4.574879	8.467595	18.550009	6.97241	18.480106	2.067683	3.008172	8.477169	9.986487	9.167825
1.930463	0.1	16.08499	16.513042	12.766269	11.179447	2.952975	14.356907	5.044163	1.235343	2.080716	4.481016	11.27467
9.223753	0.1	10.198518	10.21358	0.787348	8.595274	0.973272	9.452151	2.118955	11.961512	10.71418	12.22846	13.432996
9.63448	0.1	10.70329	9.745027	10.828282	5.080269	13.647309	5.136811	9.360281	13.619788	5.019047	5.80057	1.324846
18.423463	0.1	6.090016	7.524252	5.697966	9.402139	1.238913	16.78631	0.401569	3.18143	16.996605	12.584568	1.57277
13.877837	0.1	10.287605	3.02689	5.29519	14.686925	8.417147	0.384316	7.314243	12.594079	4.848824	5.855561	13.311384
