CD4	CD8	nB	NK	PC	Mn	iDC	mDC	M1	M0	mNeu	M2	cB
13.241321	4.679981	4.100253	11.439313	3.328266	13.891613	11.631082	14.671021	4.092645	1.358981	9.33851	0.001	8.226015
18.284334	15.366125	5.791127	0.608892	4.156854	1.167027	11.088223	17.036704	6.69814	10.346379	6.847653	0.001	2.607541
5.300071	13.510367	0.212623	12.551083	9.417891	9.564334	1.818644	9.325801	7.505677	11.67048	7.355627	0.001	11.766401
7.216357	0.857734	0.937611	11.09278	3.606408	4.500135	11.095999	13.795014	14.201707	14.264118	6.986604	0.001	11.444534
13.447905	0.018743	12.750274	10.048344	14.061241	11.940821	13.7033	0.936773	11.827303	0.011753	10.510758	0.001	0.741785
10.904871	5.926026	10.525047	8.309606	13.340453	8.591926	7.245518	5.393789	9.179492	1.074134	12.807833	0.002154	6.69915
10.460007	4.739072	14.352245	10.555901	6.94218	5.945889	5.36437	9.126941	7.067717	5.522647	7.168199	0.002154	12.752677
0.821653	4.122347	17.49426	2.499682	3.077231	16.149387	7.941625	2.327806	9.548696	15.462994	6.900457	0.002154	13.651707
8.277931	10.704013	9.55251	9.424257	1.332419	16.153098	0.806946	4.537597	14.629647	17.239794	5.026909	0.002154	2.312726
11.806569	9.59874	10.444684	15.197622	3.961257	1.13042	3.240683	1.863213	12.774934	0.152154	18.263294	0.002154	11.564276
9.866695	13.972544	6.211544	8.573654	14.007585	3.828553	13.942594	8.796429	5.932489	7.29333	2.806561	0.004642	4.763382
1.938315	10.438407	15.980922	1.244259	7.673634	8.836238	1.433399	5.058481	16.236684	8.467212	8.05536	0.004642	14.632445
7.207632	0.238801	13.000682	5.949296	10.523286	14.257659	3.521174	5.316042	11.156759	4.670644	12.823295	0.004642	11.330088
12.75947	5.794686	6.956069	5.872979	9.146006	9.900341	3.455537	9.869527	10.586084	1.352949	9.183711	0.004642	15.117999
13.075542	12.095785	7.077179	9.790678	8.467097	8.343946	3.347755	10.867298	11.386259	2.289029	2.866253	0.004642	10.388538
7.495292	5.347241	5.317329	11.556511	9.9539	5.728726	11.392866	7.500602	9.746553	4.929899	9.729723	0.01	11.291358
7.893032	2.364764	6.910287	2.971172	11.3766	8.228179	2.05802	10.937926	13.409489	11.361426	11.047834	0.01	11.431271
9.394518	7.52683	7.639562	12.08811	10.723739	0.73114	10.613915	8.987963	11.859321	12.549293	1.000775	0.01	6.874834
13.559453	1.820302	17.966299	19.455709	0.003296	10.298559	0.629013	13.672789	5.468107	12.127608	4.254464	0.01	0.734402
3.715047	6.316942	7.414453	15.115511	5.121174	7.403401	14.170338	15.623082	8.739941	6.095818	3.634427	0.01	6.639865
13.925802	9.806298	7.991361	13.234948	2.5701	14.36041	7.208517	2.105343	3.540023	5.784798	6.174667	0.021544	13.276189
13.176833	21.361529	0.09509	8.508289	20.06416	7.510199	4.283345	3.511204	2.149309	7.792685	1.228768	0.021544	10.297044
14.260704	6.200234	7.253993	12.866135	11.308627	8.468561	9.247368	8.080849	10.917832	0.414734	3.459579	0.021544	7.499838
9.437021	11.000572	12.036792	10.81079	0.645047	11.188804	3.973604	0.372789	13.219418	8.293685	7.677133	0.021544	11.3228
14.784485	18.17192	3.97698	8.228831	3.741171	14.511273	11.786062	0.184149	3.289508	6.770442	9.201305	0.021544	5.332328
7.78176	3.334819	12.746671	9.834517	4.748395	13.652217	12.853012	6.121931	12.441037	7.175375	6.468695	0.046416	2.795155
5.237913	11.934629	7.047283	14.198136	4.791744	10.335394	12.572588	12.853114	3.659735	2.814717	5.175702	0.046416	9.332629
11.224008	4.390106	9.690622	3.425885	11.561533	6.086102	15.888967	12.456564	7.350002	0.122065	6.837706	0.046416	10.920024
6.69065	9.109065	7.022768	8.995677	10.628059	10.905575	1.011893	9.446369	7.498084	10.590985	7.221526	0.046416	10.832935
7.330976	10.234744	3.368121	12.870645	6.221972	1.428003	14.949806	6.983873	13.943214	5.431775	9.047712	0.046416	8.142742
9.887383	4.537705	11.295291	12.452832	4.068432	10.646655	14.711163	1.392484	12.325484	8.923441	0.638674	0.1	9.020454
15.496766	5.089406	8.917249	15.850929	6.94199	4.93577	12.949158	2.776437	7.545827	10.139343	2.425082	0.1	6.832045
3.970086	10.494749	10.793384	9.186617	2.156257	10.010308	6.639186	14.401526	1.771851	4.546378	11.370322	0.1	14.559335
20.801447	0.554907	5.067344	6.020947	17.467661	8.04996	13.625108	0.975671	5.087634	15.905911	5.938169	0.1	0.405241
8.471997	5.551838	1.087484	4.86785	10.639588	9.463005	8.385131	2.282573	13.54274	12.586128	11.287187	0.1	11.734478
13.949267	7.716225	6.135343	0.224381	10.333012	4.635496	11.170782	12.82532	11.308396	6.012634	12.763353	0.215443	2.71035
8.632086	11.091836	7.086461	3.94641	7.393115	10.645546	13.089061	10.596945	0.355374	7.632868	6.092164	0.215443	13.22269
1.247162	3.94057	5.421884	7.233695	10.976578	11.66794	14.876013	14.249872	5.671006	13.980494	8.767096	0.215443	1.752248
3.776776	7.639587	1.42327	11.745643	6.471927	11.476071	10.493733	16.745251	4.570431	4.518506	8.297753	0.215443	12.625609
0.803495	12.065994	11.611658	10.667871	2.263576	11.149193	12.645467	10.196598	6.194658	7.804592	6.711811	0.215443	7.669644
8.42552	2.010385	0.221814	4.842488	1.328211	12.579886	5.709437	6.897707	19.781842	17.794466	7.765186	0.464159	12.178897
13.655191	16.350535	1.117397	4.276203	3.73715	1.395321	9.725983	1.087259	13.284167	15.966192	15.940575	0.464159	2.999867
4.6625	5.586356	12.571149	11.955976	3.042432	4.870644	12.807269	8.10723	12.572877	12.388788	6.019649	0.464159	4.950971
10.462713	11.577035	7.027522	6.898596	6.537704	7.105685	14.930639	6.321181	7.09815	3.476552	10.482232	0.464159	7.617832
9.468182	11.412427	13.962968	5.633488	13.145694	1.374738	2.508692	10.455266	1.546537	4.881964	17.055317	0.464159	8.090568
5.718464	7.319128	14.083656	5.995795	0.713431	8.509058	4.566391	13.440073	15.348468	5.301249	4.999528	1.0	13.00476
11.87563	9.374655	10.233699	7.768802	1.416417	11.890217	1.923622	17.253182	14.950251	2.288898	7.600882	1.0	2.423745
15.37582	9.4513	2.139599	12.696805	2.284328	12.34141	15.546865	13.69771	5.342567	3.543783	4.14819	1.0	2.431623
13.68098	2.905671	10.38089	6.32465	0.839151	4.196841	4.068977	5.953843	16.590788	14.05098	9.278802	1.0	10.728426
9.410483	15.147006	17.609698	2.365727	2.111032	1.28498	16.286244	7.973329	3.62231	11.360732	0.722755	1.0	11.105705
