CD4	CD8	nB	NK	PC	Mn	iDC	mDC	M1	M0	mNeu	M2	cB
4.864653	9.106733	1.163045	11.932336	14.402559	0.001	11.443056	8.634302	5.017607	8.99123	3.421069	10.926515	10.095896
8.927878	15.83633	1.050834	16.156536	1.937855	0.001	7.200843	6.329732	6.325106	11.71694	10.473358	2.594331	11.449257
7.924553	11.018247	12.880594	7.566021	12.28027	0.001	12.248905	3.919094	1.447655	8.239127	3.905278	12.573106	5.996151
7.435188	0.001844	5.711621	7.018745	3.717963	0.001	0.857968	13.478107	14.975387	8.142581	13.563297	6.970007	18.126292
4.620321	8.461757	12.13466	0.624144	9.756613	0.001	17.473213	2.35246	1.218804	15.952469	10.204001	7.669066	9.531492
15.931182	10.697757	3.584209	5.457301	13.664278	0.002154	2.084342	5.445597	15.186884	5.522499	14.532111	1.244977	6.64671
5.199535	2.073015	11.185781	12.173467	6.983311	0.002154	4.975355	12.406772	15.347567	2.689652	11.798558	11.765612	3.399221
9.242853	9.745142	15.309033	16.849533	6.6951	0.002154	6.336801	8.546075	9.221913	1.608119	6.652838	9.39508	0.39536
8.06691	3.592992	3.460988	8.841217	2.009569	0.002154	8.91295	11.859167	14.952609	2.541136	10.401604	11.02444	14.334264
5.197565	3.884545	11.683035	13.373577	9.593415	0.002154	9.684886	7.75656	7.763902	11.722708	5.616706	7.012184	6.708763
6.821393	3.605389	3.544638	2.690176	14.371779	0.004642	12.455605	0.07831	15.188289	12.943984	11.744583	5.624142	10.927069
16.066131	11.466792	12.835095	3.043804	1.832594	0.004642	9.271195	0.642702	14.6595	12.780855	2.128564	13.096139	2.171986
6.912893	10.044478	0.133226	8.353549	0.176768	0.004642	12.283177	11.76735	14.881895	6.603976	12.293927	0.605681	15.93844
5.250047	6.803559	15.141834	12.687754	2.656936	0.004642	8.874825	9.750318	2.645568	6.966664	2.694787	16.132943	10.390123
11.808195	1.003267	7.092234	6.645263	4.57577	0.004642	11.712678	9.971545	10.415537	13.667067	2.302291	10.990396	9.811115
1.008967	1.029485	5.013556	12.013407	11.614028	0.01	10.197725	6.679758	8.084894	15.967073	14.115441	1.038395	13.227271
3.516288	10.980147	10.454136	9.479302	7.869093	0.01	8.518577	10.716628	3.063727	8.530371	10.773471	10.420376	5.667885
6.947439	7.05804	5.566802	0.697321	4.03703	0.01	15.22104	4.022572	12.144851	14.863841	16.68941	9.65344	3.088214
4.602145	10.515615	12.253421	12.203366	13.727418	0.01	0.132744	3.114669	13.183864	11.806568	13.695058	1.000264	3.754867
7.835558	6.248515	11.221319	7.3675	9.201134	0.01	6.965328	10.331552	8.703936	8.549045	4.75436	9.45592	9.355833
4.863784	0.153006	13.51331	8.835028	12.427879	0.021544	6.693575	5.553767	15.176269	6.070364	10.484024	0.968103	15.239347
8.873095	9.214804	12.070794	13.027326	6.801889	0.021544	1.649092	2.071551	13.337376	6.338299	9.426221	3.557865	13.610144
14.17613	10.265259	5.82682	8.835436	7.227647	0.021544	10.670217	12.974602	1.323842	1.079589	9.469726	6.303674	11.825515
7.985446	0.171228	3.513616	18.667762	16.276835	0.021544	6.032083	0.575681	11.989641	19.475681	3.03637	4.661534	7.592578
9.224589	5.285341	13.549391	10.507513	9.654765	0.021544	8.738068	7.731382	11.807617	2.277501	9.410362	0.966245	10.825681
13.000761	9.893996	16.716959	4.35593	14.834165	0.046416	2.97327	5.889205	5.702172	3.53735	7.652474	14.408051	0.989251
14.331652	1.951069	4.985768	13.277547	12.325419	0.046416	0.535665	16.185508	9.373492	6.419355	4.082186	1.490601	14.995324
6.126491	2.729032	1.93592	14.840403	12.518269	0.046416	16.581238	15.505687	9.912119	4.34609	0.371738	2.104737	12.981859
6.732674	1.101813	3.301506	12.327502	11.287648	0.046416	6.611183	15.90671	3.347199	3.578282	13.651537	1.802002	20.305529
2.803566	6.502847	14.755936	4.004672	17.005368	0.046416	4.988374	14.92292	10.184111	4.990112	2.988043	4.393817	12.413818
0.559846	8.194483	17.162777	2.983867	6.834248	0.1	8.677594	0.566875	15.19141	11.420259	5.783464	8.34886	14.176318
5.817058	11.816126	9.862604	10.966364	6.875913	0.1	6.08622	1.554534	14.344198	9.261418	7.762603	10.985047	4.567916
0.161887	13.189008	3.198863	11.400276	10.917037	0.1	11.523253	16.011216	1.539292	15.115615	8.114036	3.408864	5.320651
7.754904	15.319578	8.642883	6.686758	12.386677	0.1	13.58256	3.79398	11.670224	10.71943	1.501211	3.77372	4.068075
4.441394	15.163458	1.985226	7.29468	4.809273	0.1	14.876029	12.972065	4.258576	12.95604	12.771408	4.866055	3.505796
14.402061	12.715949	9.446178	7.235237	6.449474	0.215443	2.37113	1.77688	5.160643	11.093299	10.272748	14.358175	4.502781
1.820296	6.948181	14.302826	15.258074	6.948511	0.215443	12.945044	3.39587	7.492097	6.379534	11.113111	3.662316	9.518698
9.505542	6.239762	2.358802	10.399364	9.95904	0.215443	9.77837	12.488142	4.362028	6.246104	13.205691	9.36542	5.876292
10.920825	2.865481	8.212666	2.966338	11.100883	0.215443	8.913964	4.486697	11.669547	12.786534	4.331237	9.492254	12.038132
2.934873	9.037715	0.827007	13.047282	7.276844	0.215443	5.305673	9.861848	17.28926	9.304035	5.440996	0.767279	18.691744
7.201546	6.810791	1.600813	0.949506	13.892824	0.464159	16.044589	13.975177	16.237493	16.422755	1.59517	3.595933	1.209243
7.808964	12.698647	8.210409	14.639011	0.572387	0.464159	13.249404	13.136083	0.330963	12.910406	6.063047	9.268828	0.647691
9.22077	9.782391	4.149308	9.619114	12.466695	0.464159	12.766116	13.23292	13.034427	2.238055	4.110417	3.241879	5.67375
11.05776	10.877412	2.237689	11.150687	1.141552	0.464159	1.170404	16.517315	13.595292	16.461944	2.722157	11.251008	1.352621
11.640481	8.647256	12.543633	3.492322	2.556538	0.464159	14.188141	6.002627	1.908689	9.536821	5.347829	12.55175	11.119753
4.848356	4.027413	12.677396	11.963717	4.061399	1.0	1.888386	15.983563	12.230569	3.838322	11.715212	13.609242	2.156425
1.703824	15.234863	0.856462	18.010662	3.669184	1.0	12.072437	18.37896	1.940568	6.142661	5.781498	11.038914	4.169968
2.076236	14.107083	7.351582	6.78708	14.778094	1.0	0.938288	13.790787	0.551846	10.415693	12.943955	6.304256	8.9551
2.987252	12.687578	16.477225	5.625258	14.379075	1.0	7.918988	3.316891	8.154314	16.320913	4.039907	3.672869	3.41973
2.378859	13.283772	14.096815	15.543433	0.237724	1.0	1.48439	12.256447	1.39001	9.55781	12.62302	9.631525	6.516196
