CD4	CD8	nB	NK	PC	Mn	iDC	mDC	M1	M0	mNeu	M2	cB
11.207646	14.909075	7.44552	0.001	17.079239	0.199746	3.482751	2.320041	7.614371	16.172265	4.013279	7.420847	8.13422
11.821408	9.544316	11.303432	0.001	5.623551	9.46104	3.634887	12.022801	8.31819	8.005463	8.085786	11.014365	1.163761
0.128186	3.609527	11.725664	0.001	9.35201	9.768506	3.821872	2.548088	15.613574	11.462274	7.543384	12.771886	11.654029
17.536083	2.277866	13.315348	0.001	9.636856	8.257374	13.668874	2.728068	19.817483	6.388841	2.707546	1.202195	2.462465
5.787849	3.285305	8.3158	0.001	3.829901	15.081097	12.515754	10.4191	3.477747	9.758599	12.405861	2.260397	12.861588
8.910986	10.035138	3.210332	0.002154	4.51478	7.341873	9.909991	11.013546	7.927346	10.827275	9.042915	7.295805	9.967856
10.862769	5.528202	7.692883	0.002154	0.446369	0.6089	7.503984	17.554532	9.263947	3.198364	4.529074	9.539754	23.269067
8.707462	11.946524	4.452343	0.002154	9.059104	9.806707	13.315859	8.610699	7.401694	2.897058	6.789923	12.795296	4.215176
16.000018	5.968989	4.589898	0.002154	8.385782	2.158907	1.916152	11.844478	14.633227	8.578655	5.850051	8.438588	11.633101
7.676264	7.221869	1.37253	0.002154	12.298975	7.684983	15.244558	2.721224	7.286876	14.200826	11.07777	3.661172	9.550801
8.625686	8.522022	3.419194	0.004642	8.893065	11.292929	7.505288	8.751671	10.940739	9.043043	9.836106	6.505017	6.660598
14.7965	2.615236	15.499311	0.004642	8.983559	15.721017	9.016264	1.848053	6.233085	2.384068	3.688179	14.280096	4.92999
11.665333	9.378383	7.728404	0.004642	4.66553	10.011969	12.309126	1.604234	10.27742	7.207099	6.863732	5.461223	12.822906
1.385228	13.00398	15.042979	0.004642	18.105492	0.531497	5.647216	5.793808	4.013002	12.158433	8.147515	6.401397	9.764812
8.513645	13.194572	5.965322	0.004642	6.987542	3.931688	4.591217	12.899962	8.625385	9.001987	2.713216	12.830653	10.740171
3.304591	8.521011	0.586993	0.01	12.239561	8.167537	9.437618	2.161748	12.765085	5.624577	13.429864	13.246178	10.505236
11.930016	8.513971	5.919096	0.01	11.845207	5.452285	5.956579	9.14178	7.520347	5.878731	1.691145	13.372528	12.768314
16.584182	19.917216	5.472919	0.01	9.441628	8.533007	0.04017	15.762678	6.506106	2.501137	13.930344	0.974331	0.326281
