CD4	CD8	nB	NK	PC	Mn	iDC	mDC	M1	M0	mNeu	M2	cB
17.545836	17.461512	15.960548	15.065063	0.001	3.712391	4.470368	4.305258	6.086928	4.895274	2.101718	6.765917	1.628187
12.922009	11.703195	5.754942	0.926606	0.001	3.315127	14.563647	0.470676	2.758679	7.854869	10.365038	15.209529	14.154682
11.859732	1.619286	11.368127	17.647053	0.001	4.053805	3.92375	9.979077	10.759772	0.205856	10.935594	8.276684	9.370262
5.04896	10.442328	6.108854	1.285515	0.001	12.605035	16.178334	9.065441	12.313398	11.931524	1.164264	2.661216	11.194131
13.859056	3.966047	1.115086	18.95872	0.001	13.616093	2.065535	0.657598	4.800757	4.516678	13.983745	12.582573	9.877112
3.182267	3.863108	8.118559	4.313246	0.002154	10.691772	21.752513	9.673279	0.608344	12.958244	3.083545	8.705954	13.047014
3.724449	11.762559	8.509193	10.543239	0.002154	9.599064	16.873078	7.406418	1.57429	6.459943	2.959368	12.03268	8.553563
5.945911	14.327409	15.584626	13.148866	0.002154	6.888663	0.322938	13.067788	3.566358	1.85129	9.613898	5.729002	9.951097
9.183426	10.624182	2.613656	8.286863	0.002154	11.296999	12.454371	1.567433	6.078225	8.455853	13.19697	3.081299	13.158568
2.625035	13.950949	10.615913	15.806524	0.002154	3.765224	6.616043	11.569875	6.104725	7.903934	6.517702	6.329435	8.192486
8.305828	11.466484	7.725922	16.508071	0.004642	11.067938	7.833446	11.956897	10.3533	1.306573	6.680194	4.474636	2.31607
4.128055	16.842493	15.584385	4.520674	0.004642	18.256611	4.253863	13.120316	13.508411	1.850791	6.378707	0.866277	0.684776
7.354559	12.178424	7.866136	5.769728	0.004642	7.522877	6.767127	10.383651	13.821549	1.919568	12.23433	1.537618	12.639791
9.978811	14.375913	1.299679	3.510051	0.004642	0.229573	4.581211	8.855265	2.455703	13.215751	17.486381	14.044429	9.962593
14.787816	4.49884	15.327074	1.33336	0.004642	9.026179	8.260611	3.40251	4.355011	10.205601	4.084729	13.442943	11.270686
3.775689	15.855688	7.232003	17.968255	0.01	0.104841	10.465281	3.407923	14.573313	8.71226	16.116841	0.55964	1.218268
3.924048	9.678752	13.829399	3.357634	0.01	2.669729	7.110146	10.939086	15.717861	5.371203	2.835699	12.507142	12.049301
4.350837	10.783046	15.71645	12.194258	0.01	1.889062	9.220516	18.126314	10.906904	0.779821	8.447972	2.422848	5.151971
3.414616	11.865622	10.653487	8.313915	0.01	7.646051	13.399964	11.692473	2.144143	4.609002	11.111445	10.01023	5.129051
1.27928	5.847737	0.505524	10.500273	0.01	10.944749	14.832447	15.355456	15.91774	4.49158	13.244637	1.926679	5.143899
13.637644	16.728353	7.256853	1.930024	0.021544	1.004325	8.436016	13.548903	1.080666	6.880297	12.105438	12.202195	5.167742
16.806391	0.19947	6.330091	8.403882	0.021544	3.147452	5.804707	10.160597	20.111238	0.278337	7.010496	4.047009	17.678787
5.548447	17.229904	4.532755	2.376712	0.021544	12.128811	0.383775	17.77005	13.69351	14.816583	2.28524	9.209024	0.003645
3.183755	4.947142	5.170463	13.859096	0.021544	10.247345	5.710055	13.495431	7.666893	2.892192	13.116398	10.147498	9.542188
