CD4	CD8	nB	NK	PC	Mn	iDC	mDC	M1	M0	mNeu	M2	cB
12.926848	13.335797	7.971848	11.044408	1.555833	0.197145	3.295868	12.466001	3.323365	7.714714	17.553642	8.613531	0.001
9.338483	9.466934	4.060994	7.982787	13.101959	5.929282	9.208261	9.569574	13.653105	5.508701	7.411896	4.767025	0.001
11.268416	8.574206	6.379508	9.460064	7.640963	4.648921	6.380461	11.439597	11.265586	8.909706	10.746038	3.285534	0.001
4.416424	0.22846	16.263123	12.002745	2.703639	9.360944	18.695222	4.965928	12.628426	1.889938	2.715085	14.129067	0.001
12.529255	12.987386	7.628841	5.260082	3.513078	12.70363	9.433068	9.518384	12.584512	4.939186	4.526529	4.375047	0.001
8.087596	10.958122	13.131072	10.088164	1.19119	2.801377	5.658774	11.930653	8.777957	9.30862	7.111489	10.952832	0.002154
6.18115	15.231954	6.233027	14.460337	3.587058	16.194888	12.744182	7.111036	3.131859	8.808342	3.559512	2.754501	0.002154
8.571291	7.644861	5.57261	10.871174	13.928033	12.322917	8.541793	4.559972	9.370047	5.032081	0.450666	13.1324	0.002154
13.267974	2.532179	0.505807	16.26371	16.240477	6.544626	7.84207	6.746758	12.126373	1.019102	12.060699	4.848068	0.002154
6.334588	17.935843	8.268238	12.719686	6.761297	5.433979	11.099593	8.274754	0.285812	1.20191	13.816325	7.865822	0.002154
10.172492	8.789608	6.160475	2.086429	5.810429	10.764193	12.165021	8.295568	8.29128	3.277089	13.268638	10.914136	0.004642
7.288197	11.273939	1.897118	13.844442	3.712904	9.275102	15.137257	2.439048	13.192026	7.949235	5.973657	8.012433	0.004642
6.349131	9.370484	3.81786	16.507465	13.464609	0.534927	3.533643	7.657489	20.623877	1.928304	10.804662	5.402907	0.004642
6.431223	10.21113	5.733236	13.317236	3.686833	0.031635	14.655803	11.739211	15.769155	5.357812	5.636118	7.425967	0.004642
6.324318	11.529199	7.321059	0.692641	10.694314	6.50843	4.240364	11.244714	16.163567	14.230419	10.661147	0.385187	0.004642
13.025903	12.059261	7.179517	2.798631	12.515388	2.393276	14.652648	1.276142	10.658823	11.030172	0.543096	11.85714	0.01
5.087089	11.911358	2.910204	13.550239	13.155797	6.568412	9.177199	7.587059	0.265475	10.851173	16.325506	2.600489	0.01
8.012842	8.798501	13.099225	11.801028	2.14014	0.80646	5.761192	11.567437	7.998618	11.0757	11.75677	7.172087	0.01
13.90869	6.251381	10.176242	11.042862	8.970727	12.15515	5.276034	1.638679	11.882499	8.493033	3.365316	6.829388	0.01
9.930194	7.865197	3.960536	8.056794	7.440063	10.991209	4.838738	16.693205	9.320313	8.097235	6.130854	6.665663	0.01
9.507317	10.560636	10.104096	8.426123	5.460995	6.542443	11.095273	10.827911	1.552844	7.411208	11.429766	7.059845	0.021544
7.459263	0.757578	13.00701	1.979974	6.466941	5.007103	10.102393	16.80582	5.499036	12.531838	5.527044	14.834457	0.021544
10.042933	0.620295	13.62813	10.576147	6.994202	16.318741	12.982479	6.516048	0.618957	6.281849	8.071288	7.327388	0.021544
2.600587	6.570527	4.702816	13.889065	17.210065	11.988279	5.989727	4.622614	11.176679	7.091722	2.015551	12.120825	0.021544
14.208601	13.556207	4.682012	4.987633	4.221166	16.431232	14.155011	11.698968	1.896824	6.824388	0.67273	6.643686	0.021544
