CD4	CD8	nB	NK	PC	Mn	iDC	mDC	M1	M0	mNeu	M2	cB
0.001	9.139371	0.642417	4.404461	2.117334	14.425081	14.430939	14.901109	15.125507	4.659194	1.762874	5.638414	12.7523
0.001	0.376105	2.296887	13.39363	9.141741	17.554093	4.680433	14.626779	12.989855	8.323889	5.523527	2.435421	8.65664
0.001	4.709448	4.648304	1.732518	5.483276	14.330562	6.630691	12.653156	8.340475	6.928422	13.675941	2.134911	18.731295
0.001	0.762046	4.043635	2.232836	12.573655	15.381462	3.70602	10.923439	21.188269	11.608553	5.66439	2.989861	8.924834
0.001	9.475292	2.198824	2.515218	17.920674	4.005536	7.790625	10.237361	9.243503	8.486474	3.04495	18.232471	6.848073
0.002154	0.702321	5.928261	4.700911	19.487669	0.611795	1.451106	3.434821	19.027731	16.602348	15.370605	8.006328	4.673949
0.002154	0.74012	4.173397	6.802771	3.021517	15.6794	17.272126	1.458522	10.533617	13.796865	11.181658	2.100524	13.23733
0.002154	5.411535	4.906769	15.667331	7.066636	3.737828	17.506392	7.916458	2.893014	15.485074	9.642949	8.915014	0.848846
0.002154	10.811322	9.062177	9.417299	6.718841	12.85243	7.887319	1.685229	12.350568	12.208334	6.754423	3.04154	7.208365
0.002154	8.452127	3.842126	11.358545	11.730168	4.793015	12.859727	6.11775	1.828682	2.861172	4.442077	16.076995	15.635463
0.004642	1.99724	12.288741	14.293959	2.157818	14.117425	10.109709	6.823715	3.354527	5.588446	5.839163	12.620016	10.804601
0.004642	22.018079	2.062257	6.763078	3.597843	0.58057	12.292745	2.912933	10.339063	11.952444	17.50129	3.099229	6.875828
0.004642	10.024748	12.11199	19.246631	0.481975	1.794473	0.86152	16.788025	3.811479	6.969549	7.352514	7.496054	13.056402
0.004642	15.459347	1.244977	5.699703	5.010466	8.797276	5.134987	9.598038	14.788935	16.608024	10.028489	4.878745	2.746372
0.004642	2.715903	14.159768	16.044775	1.964661	6.032335	6.279848	0.876773	9.956206	5.963813	13.195655	11.754645	11.050976
0.01	2.475542	4.054194	1.464813	7.511784	6.353583	15.20457	17.795497	12.019853	9.1258	9.877103	0.945137	13.162124
0.01	6.710769	2.124178	3.178963	12.970627	10.019664	2.28884	9.984255	11.865632	9.190686	12.621857	14.926003	4.108527
0.01	13.312963	6.558857	1.408589	9.271679	14.027215	5.113457	11.065718	8.072631	13.136963	4.251287	12.940732	0.82991
0.01	7.346558	0.445741	11.176123	1.482799	7.336283	8.660842	12.209042	15.232792	3.422873	11.050901	8.626342	12.999703
0.01	16.98453	8.220913	0.381009	5.492338	10.233899	1.026366	16.390117	11.505937	0.114518	11.087308	2.880578	15.672487
0.021544	12.127912	13.156082	2.212903	1.083184	3.231418	9.820642	13.603892	9.799818	11.322523	2.307496	13.692003	7.620583
0.021544	13.450256	10.427901	4.706889	11.951992	12.262452	7.083288	1.595301	7.501324	13.635654	0.529475	14.54953	2.284393
0.021544	5.192349	2.003073	13.308262	9.368882	9.054005	11.47901	15.95307	1.13823	8.170266	13.353885	8.964712	1.992713
0.021544	11.696069	2.701125	0.241134	8.829095	12.877135	14.995841	15.675672	9.781595	0.596425	10.08928	2.981006	9.51408
0.021544	2.69242	9.240756	6.827364	17.086837	13.047881	2.471368	8.336168	4.533622	2.646623	18.123862	13.606527	1.365027
0.046416	7.247827	7.933698	10.795764	8.011068	10.253785	10.714003	6.945064	6.780886	2.298658	9.332467	9.087532	10.552834
0.046416	6.93528	8.558116	7.314729	7.642568	5.622822	9.032783	10.006334	5.245224	7.602779	11.785346	8.117751	12.089853
0.046416	11.291994	15.540972	1.985675	12.59117	13.818711	0.720744	12.472687	8.63758	0.350923	6.627491	14.985283	0.930354
0.046416	10.98011	3.251105	5.211715	12.448727	9.483787	8.323371	6.605113	3.474435	11.713958	9.376273	6.256623	12.828367
0.046416	9.436268	0.381239	19.912973	15.125771	7.998641	14.350798	2.253326	8.446627	5.543644	0.503393	5.20488	10.796025
0.1	1.140941	10.413019	14.241028	2.2886	1.345967	14.191836	15.644528	0.896297	12.895101	12.714814	5.273651	8.854217
0.1	12.343441	13.054705	6.563008	6.794931	1.285593	7.835114	9.600118	8.606554	7.257973	8.485099	9.452047	8.621415
0.1	14.680878	4.337571	3.977674	2.216833	8.443683	14.003681	2.803682	12.031553	14.999647	10.050046	7.873398	4.481353
