CD4	CD8	nB	NK	PC	Mn	iDC	mDC	M1	M0	mNeu	M2	cB
13.608597	12.956651	7.414646	8.849808	0.404901	11.711136	8.720175	0.001	11.624046	5.824799	8.211147	3.035054	7.63804
0.402329	14.000829	5.226121	17.413956	8.991346	11.51107	7.65424	0.001	10.522157	7.420588	0.154724	4.020759	12.680881
7.167769	10.942784	3.666481	0.565523	8.157323	14.119833	10.284677	0.001	2.970164	15.286014	2.121778	13.916884	10.799769
6.113845	4.881252	14.643368	14.506382	6.635589	11.35775	8.210692	0.001	7.414588	6.267128	4.072027	11.574738	4.321641
18.312009	6.76748	6.671809	12.598059	6.976253	9.748436	12.013311	0.001	4.380005	5.335792	5.55565	0.456526	11.18367
2.423866	0.265741	9.570218	1.811594	14.948733	12.509138	16.356553	0.002154	6.614465	2.476325	16.061401	6.786681	10.173133
1.973752	11.191608	10.181549	9.032604	11.288466	7.95827	8.725098	0.002154	11.051705	7.640653	6.338281	3.400151	11.215709
6.811728	18.819896	0.073856	1.834866	2.990265	14.901232	12.353273	0.002154	20.330751	5.82459	5.471083	1.39592	9.190385
1.152453	14.718939	0.357261	14.393608	8.349867	8.91193	12.064341	0.002154	10.479929	4.482017	14.347293	6.325541	4.414665
11.513681	12.968759	9.3264	9.121922	13.029047	7.981831	10.117002	0.002154	11.601319	4.660001	7.846315	0.842379	0.98919
3.722098	7.821391	4.962727	3.044916	12.245557	7.409706	5.724564	0.004642	10.962906	13.908197	14.094285	7.512028	8.586983
13.166033	7.748585	1.945056	2.968081	1.833019	15.638518	11.337867	0.004642	5.147357	4.408732	6.73828	16.606498	12.457332
0.761873	12.325997	10.782246	4.672646	12.569579	10.089062	13.142766	0.004642	14.92741	10.235002	7.761684	0.417572	2.309521
6.218059	12.385523	5.9532	12.332555	8.64541	0.989589	10.385744	0.004642	8.858038	6.979707	10.626025	9.303274	7.318235
8.057262	10.008283	1.380257	13.853218	13.367863	1.171227	0.911314	0.004642	10.81083	14.48915	14.2578	6.434939	5.253216
0.450781	9.465988	11.994584	7.081631	13.471176	1.092442	1.818923	0.01	13.796526	5.458137	14.201234	6.574041	14.584536
11.946433	11.223364	6.25061	11.982186	11.587707	4.485542	0.162983	0.01	11.663637	0.815996	11.402194	6.728414	11.740932
4.78313	11.187343	13.953011	10.358497	8.539379	2.346488	16.146941	0.01	2.282919	7.856295	11.336202	7.729329	3.470466
15.317745	12.816769	8.486029	0.117128	14.061496	5.877737	13.446546	0.01	6.339489	0.031712	6.462494	1.795147	15.237708
9.499527	5.339659	11.909263	5.494604	20.918974	4.45521	15.427535	0.01	1.682438	4.56734	0.342294	8.377432	11.975725
