CD4	CD8	nB	NK	PC	Mn	iDC	mDC	M1	M0	mNeu	M2	cB
9.395276	6.389818	9.843384	7.699535	1.449742	4.131812	10.067408	13.835376	12.13696	10.630072	0.001	10.85135	3.568267
9.047251	11.086957	3.958659	13.346774	6.450441	1.768354	10.358948	10.973267	7.824812	0.585104	0.001	10.65445	13.943984
9.754463	10.644572	2.215471	1.858133	17.044345	10.090107	9.902961	5.517376	7.286133	5.360924	0.001	16.26046	4.064055
5.626518	3.127736	14.513908	13.48154	2.626118	9.339308	12.64337	15.32896	1.419664	4.024371	0.001	15.709885	2.157623
9.067161	0.768947	9.532261	1.272339	11.90858	13.736969	2.647454	4.689381	6.981683	14.303488	0.001	13.174723	11.916014
8.456408	9.285	5.375013	9.177965	6.34336	9.193972	5.875071	6.981185	6.535454	11.790027	0.002154	10.788462	10.195928
2.940951	8.346424	8.229681	5.311832	5.716904	15.714075	9.92522	2.735181	11.608786	1.082397	0.002154	11.935166	16.451228
7.690139	13.630964	11.423218	11.173552	4.642906	3.099715	6.58022	6.795288	0.79503	17.272506	0.002154	14.942692	1.951614
7.612053	11.995064	2.626353	7.496594	11.850267	11.006748	6.921367	9.303009	9.6047	8.844927	0.002154	2.360515	10.376248
2.181285	3.78693	12.392876	2.547517	12.899208	13.216022	7.578406	7.647693	5.16406	14.619221	0.002154	13.543928	4.4207
5.584676	15.366207	15.880594	1.834836	7.586344	5.074902	15.377336	12.575603	12.391801	4.050476	0.004642	2.275532	1.997051
13.674077	4.44072	4.837626	3.611022	7.838461	12.935973	11.927398	6.213744	10.948538	10.800199	0.004642	5.413481	7.35412
3.264964	3.586101	2.340921	11.6461	2.059608	6.865101	12.633885	13.185871	2.040356	6.001232	0.004642	8.886093	27.485126
7.511979	10.764287	2.922047	9.853478	7.70576	10.93642	3.456754	14.387463	5.76491	12.791829	0.004642	1.672972	12.227461
10.629052	9.589173	11.474332	7.941139	11.659345	5.665185	9.469578	4.729641	10.846016	7.38923	0.004642	2.597767	8.004898
12.459201	11.156957	5.58223	8.323182	11.719922	8.858239	3.350048	7.009362	4.413899	3.214009	0.01	10.303578	13.599373
6.830924	11.987555	10.037121	10.072144	13.499378	0.703591	5.45692	8.377637	8.890413	4.911487	0.01	13.959722	5.26311
6.809548	3.501495	7.527835	2.371074	8.242125	2.297509	10.514514	12.093345	2.780021	15.560738	0.01	13.715405	14.576392
13.418404	10.56069	9.265786	5.618707	1.376952	11.928438	6.770581	13.982132	4.22111	7.415063	0.01	3.545609	11.886529
13.870647	11.989047	4.973214	8.977959	9.535895	4.725596	1.514569	0.23243	14.701087	4.761706	0.01	15.322317	9.385534
1.916686	8.605185	13.698987	14.711924	2.225971	5.428458	12.34769	13.29857	7.815255	0.565556	0.021544	5.148261	14.215912
1.075108	14.967832	7.657831	7.913407	1.597434	15.816276	6.475662	7.296139	7.046842	10.092938	0.021544	10.265376	9.773611
16.564198	8.881517	7.084612	3.959687	4.801768	12.248291	9.667978	13.815234	8.312078	3.571147	0.021544	2.02604	9.045904
14.493092	8.914741	9.515229	6.048323	6.80029	10.690681	8.509189	1.061085	0.800892	13.284328	0.021544	8.97491	10.885698
6.634813	11.045007	4.337407	3.210174	15.584548	1.379126	9.169545	10.068861	11.88297	12.248668	0.021544	7.671816	6.745521
5.301517	8.426438	12.168693	14.552538	0.002579	4.348945	15.966358	4.899467	6.625873	6.998268	0.046416	6.046635	14.616273
14.447307	17.312408	10.905282	7.651118	4.881355	8.296762	0.855582	6.77754	10.635081	2.622366	0.046416	5.824677	9.744107
4.581049	3.439081	5.920665	5.953858	14.085491	12.00765	8.210106	5.90077	13.854495	5.99225	0.046416	12.466125	7.542045
10.414086	8.832863	7.646788	9.809165	12.687541	3.611573	9.188685	1.060492	11.90736	9.657595	0.046416	3.486679	11.650758
7.164577	17.715588	4.804362	16.650225	13.453779	0.051182	2.655888	12.124158	4.081199	8.735915	0.046416	11.190671	1.326041
8.821285	9.355733	10.465799	0.156036	10.765345	6.290366	13.057717	4.033457	11.850534	11.946985	0.1	2.996743	10.159999
3.820139	5.405164	5.979109	6.903968	8.387574	8.633067	11.200111	8.974269	11.962083	12.527872	0.1	12.228648	3.877995
5.297219	6.837507	6.15561	9.614206	11.828767	8.028524	2.38829	12.122185	14.188693	12.0801	0.1	7.999455	3.359444
9.800332	2.254585	11.18198	6.883728	9.50131	7.174335	16.246811	15.085918	13.872031	1.392575	0.1	2.807598	3.698796
6.826938	5.794081	11.650441	5.48922	11.946569	1.250966	11.226522	3.335077	13.354505	12.593921	0.1	7.880831	8.550929
13.467126	11.736608	11.924228	1.679329	5.3034	5.539025	1.735614	6.131712	8.876153	17.084218	0.215443	14.101444	2.205701
14.467781	9.251717	13.174945	2.405263	0.192004	7.861311	10.417887	6.938039	13.328807	14.120749	0.215443	2.550028	5.076027
4.824854	15.748913	10.843289	8.994205	0.860936	9.735595	2.207822	1.002623	10.323964	12.355321	0.215443	15.433346	7.453689
9.629942	4.372572	4.786782	3.072138	14.522582	10.959856	7.984757	11.685638	7.27751	14.58411	0.215443	3.594856	7.313814
7.932571	10.635653	14.282996	11.707727	3.646582	4.355927	11.6919	10.734951	13.766045	7.955749	0.215443	1.705836	1.368619
7.15145	2.006744	8.222854	7.225871	16.142954	0.415723	17.117313	0.866976	16.318537	11.533644	0.464159	4.758904	7.77487
7.79218	13.821879	0.863745	3.299712	12.05367	5.326288	14.304482	14.905743	1.545261	3.975413	0.464159	10.564561	11.082906
11.391098	1.551175	9.621478	4.749328	8.62874	13.337713	12.825185	0.373908	7.954155	4.36505	0.464159	11.959264	12.778747
