CD4	CD8	nB	NK	PC	Mn	iDC	mDC	M1	M0	mNeu	M2	cB
8.016124	6.282599	0.001	15.498168	11.274513	14.493972	13.770193	1.507738	0.909019	2.207012	3.12427	10.523223	12.39217
8.333379	4.292599	0.001	12.713233	11.988004	11.338022	9.979995	4.876918	1.838971	0.960858	2.941854	16.822153	13.913012
2.911804	2.870807	0.001	10.163977	5.037937	16.181614	9.029295	4.144985	7.117769	10.271759	16.430143	3.201349	12.63756
7.874434	19.680326	0.001	12.428399	3.599912	16.134744	2.766374	11.156517	5.098184	11.646928	1.093791	4.65011	3.869281
7.384844	7.696377	0.001	6.695892	10.115781	6.296764	5.976569	12.667893	15.845793	15.239372	9.533236	1.767122	0.779357
7.003128	12.683463	0.002154	0.78356	11.880519	8.838274	5.222652	11.427082	8.170273	3.488773	9.844743	6.872027	13.783351
0.869831	5.620529	0.002154	1.617749	14.337822	8.988101	11.540141	11.989297	10.774656	19.11895	9.717223	2.007087	3.41646
18.989826	2.636109	0.002154	5.69181	3.328899	9.374483	13.289958	18.945965	5.804694	9.309676	1.705906	6.827554	4.092965
10.79927	5.19672	0.002154	8.166808	14.497195	2.742389	5.306293	8.85594	4.601306	13.283856	3.096684	14.044324	9.407063
14.679805	10.134874	0.002154	5.309533	14.493604	15.152898	6.588754	3.236406	6.093374	4.879232	1.392971	14.813795	3.2226
3.693322	12.231609	0.004642	5.34206	22.001738	6.967221	12.158355	0.000794	2.41515	13.409596	1.173248	15.720595	4.88167
14.592063	17.59526	0.004642	8.286092	0.953337	2.837699	1.98729	10.159177	6.98594	3.00018	18.922846	8.779109	5.896367
12.93785	6.048579	0.004642	5.868971	14.075672	15.772751	1.734924	10.043888	0.610134	6.846064	6.525573	12.108535	7.422417
6.265073	5.315445	0.004642	3.428704	2.672763	9.362221	8.33339	10.732225	7.324284	12.837981	10.335315	10.414934	12.973024
5.445609	17.997569	0.004642	17.906482	12.170614	10.368725	3.203562	3.474947	18.456554	1.666379	5.877338	1.465533	1.962047
10.549779	8.73557	0.01	4.975006	8.910849	2.78077	2.29536	14.196645	5.588682	12.290208	5.088878	16.8383	7.739953
9.244925	13.650904	0.01	0.409171	5.417976	14.070692	5.092874	7.213955	10.986396	14.124443	5.882289	4.474015	9.42236
