celltype	total_DMR	avg_cpg_per_DMR	total_reporter
[CD4]	21	7.904761904761905	29.147058823529413
[CD8]	26	10.076923076923077	46.67647058823529
[DC]	30	8.466666666666667	48.14117647058824
[Eo]	30	9.766666666666667	61.65882352941177
[Er]	30	8.2	52.02941176470588
[Mg]	18	10.944444444444445	34.21176470588235
[Mn]	23	6.6521739130434785	22.988235294117644
[NK]	30	9.133333333333333	53.13529411764705
[Tr]	17	16.764705882352942	67.64117647058823
[m4]	5	15.2	16.041176470588233
[m8]	9	16.555555555555557	31.423529411764708
[mB]	30	9.2	54.929411764705875
[mNeu]	30	5.166666666666667	31.635294117647057
[nB]	30	7.766666666666667	46.076470588235296
