Mixture	CD4	m4	Tr	CD8	m8	nB	mB	NK	Mn	mNeu	DC	Eo	Mg	Er
healthy_normal-NU-20-Bulk-WB.bg	0.12275449101796408	0.1446700507614213	0.07361516034985423	0.0983858570330515	0.18063583815028905	0.08055723803755299	0.0597786741131451	0.16697721083560269	0.0673758865248227	0.3851971907077256	0.06638464041653107	0.06792452830188679	0.060606060606060615	0.03560149296583405
healthy_normal-NU-05-Bulk-WB.bg	0.15764705882352942	0.09316770186335403	0.07333908541846419	0.11004366812227076	0.1780821917808219	0.08604564160119715	0.05171597633136095	0.10462497834747964	0.06676136363636362	0.35683969964087503	0.055829851879984814	0.0753217259651779	0.06740196078431372	0.033156498673740056
healthy_normal-NU-48-Bulk-WB.bg	0.14199759326113118	0.11714285714285715	0.08278145695364239	0.07215619694397284	0.1357254290171607	0.0968096809680968	0.07260686333534015	0.10698314413484693	0.054054054054054064	0.4312302839116719	0.06561780506523407	0.10298507462686568	0.060759493670886074	0.0439177413733008
healthy_normal-NU-41-Bulk-WB.bg	0.16800804828973842	0.11653116531165313	0.08326787117046347	0.09682299546142208	0.12025316455696206	0.14808967477107673	0.056916578669482576	0.09816225907664723	0.04714640198511166	0.25997719498289623	0.052295918367346934	0.054868379321281316	0.0539053905390539	0.028718258766626363
healthy_normal-NU-35-Bulk-WB.bg	0.12778429073856976	0.1456043956043956	0.06618819776714513	0.11737451737451735	0.13505311077389984	0.08278580814717477	0.0600407419320253	0.18063809821707846	0.04146341463414634	0.34341950646298475	0.05855539971949509	0.11975664425232148	0.036281179138322	0.03248330297510625
healthy_normal-NU-44-Bulk-WB.bg	0.13134657836644592	0.08630952380952381	0.07871720116618076	0.1072340425531915	0.14052287581699344	0.125	0.057261602401292994	0.0856147336983574	0.05555555555555555	0.4695102685624013	0.06866002214839424	0.08583539385376192	0.06338028169014084	0.037450722733245734
healthy_normal-NU-45-Bulk-WB.bg	0.10710259301014656	0.1510989010989011	0.07660283097418817	0.061655405405405414	0.18064516129032254	0.12612301313061505	0.07192414431082331	0.09922430510665804	0.06527415143603134	0.3707967282641624	0.06610109579356663	0.07887421820708826	0.07013574660633484	0.037821975872187816
healthy_normal-NU-24-Bulk-WB.bg	0.15514993481095174	0.13432835820895522	0.08347826086956522	0.07308377896613191	0.15630252100840336	0.08087431693989071	0.06405388854868341	0.16779572694111514	0.11654676258992805	0.226882745471878	0.05956471935853379	0.0650697175545227	0.055288461538461536	0.04054514480408858
healthy_normal-NU-31-Bulk-WB.bg	0.14481897627965046	0.14092140921409213	0.09963436928702013	0.10867492850333653	0.14022140221402213	0.10853611432985708	0.0746591922537903	0.10696064139941693	0.0502283105022831	0.3145789101203114	0.05816733067729084	0.08837908988341482	0.061935483870967735	0.033261802575107295
healthy_normal-NU-14-Bulk-WB.bg	0.1921443736730361	0.14960629921259844	0.08875286916602908	0.11102941176470588	0.17893217893217894	0.0952836201402167	0.09702512351518974	0.1083932120470876	0.05238649592549476	0.3208496366685299	0.06777963272120201	0.08103830326052547	0.05627705627705628	0.0442632498543972
healthy_normal-NU-47-Bulk-WB.bg	0.14166666666666666	0.09915014164305948	0.09056024558710668	0.06851691240242845	0.10309278350515463	0.0773067331670823	0.04677323860272351	0.07098713880073493	0.08090185676392574	0.5664828431372549	0.06733630952380952	0.057892844300611285	0.06287069988137604	0.030441898527004914
healthy_normal-NU-46-Bulk-WB.bg	0.095873786407767	0.10932475884244372	0.08306709265175719	0.06955736224028906	0.11128526645768023	0.09975412715138744	0.054275912766478814	0.06886956521739131	0.06143790849673202	0.6004326328800988	0.0605389442598745	0.063581640331076	0.0546583850931677	0.04427681206953099
