Mixture	nB	NK	mNeu	DC
healthy_normal-NU-46-Bulk-WB.bg	0.041696621	0.040147104	0.664326739	0.002886003
healthy_normal-NU-20-Bulk-WB.bg	0.02672751	0.143047416	0.418028169	0.012936611
healthy_normal-NU-31-Bulk-WB.bg	0.064784053	0.075050033	0.341211226	0.004922067
healthy_normal-NU-48-Bulk-WB.bg	0.032575758	0.085125719	0.462842243	0.012987013
healthy_normal-NU-41-Bulk-WB.bg	0.107259647	0.079046088	0.265634306	0.004987531
healthy_normal-NU-47-Bulk-WB.bg	0.015813253	0.039127838	0.606428138	0.013950073
healthy_normal-NU-14-Bulk-WB.bg	0.035040431	0.090653943	0.322970639	0.012561061
healthy_normal-NU-24-Bulk-WB.bg	0.03369906	0.155835962	0.21372549	0.00627451
healthy_normal-NU-45-Bulk-WB.bg	0.075144509	0.073909172	0.391693291	0.00591716
healthy_normal-NU-35-Bulk-WB.bg	0.03166784	0.155973767	0.350314465	0.009135629
healthy_normal-NU-44-Bulk-WB.bg	0.073776479	0.059070465	0.509778357	0.008403361
healthy_normal-NU-05-Bulk-WB.bg	0.031104199	0.083412024	0.361898484	0.003828484
