Mixture	CD4	m4	Tr	CD8	m8	nB	mB	NK	Mn	mNeu	DC	Eo	Mg	Er
healthy_normal-NU-45-Bulk-WB.bg	0.08391608391608392	0.18604651162790695	0.020202020202020204	0.019704433497536943	0.1176470588235294	0.05993690851735016	0.02361111111111111	0.06528835690968443	0.02298850574712644	0.45299145299145294	0.0035971223021582736	0.027896995708154508	0.005882352941176471	0.002881844380403458
healthy_normal-NU-05-Bulk-WB.bg	0.12408759124087593	0.10810810810810813	0.02830188679245283	0.053763440860215055	0.1144578313253012	0.01875	0.017170329670329672	0.08741258741258741	0.030303030303030307	0.3774509803921569	0.004132231404958678	0.029661016949152543	0.0	0.0054794520547945215
healthy_normal-NU-31-Bulk-WB.bg	0.13934426229508196	0.11363636363636365	0.043478260869565216	0.05780346820809248	0.08029197080291971	0.05725190839694656	0.035977105478331974	0.06347305389221558	0.013513513513513514	0.29910714285714285	0.0	0.05286343612334802	0.0	0.00308641975308642
healthy_normal-NU-46-Bulk-WB.bg	0.038461538461538464	0.06493506493506493	0.009569377990430622	0.040816326530612235	0.02127659574468085	0.03322259136212625	0.01516245487364621	0.0400890868596882	0.018518518518518517	0.6941176470588235	0.0	0.0021645021645021645	0.0	0.002717391304347826
healthy_normal-NU-20-Bulk-WB.bg	0.07368421052631577	0.09782608695652174	0.023622047244094488	0.06467661691542287	0.10674157303370786	0.011627906976744186	0.016990291262135918	0.16584887144259078	0.02083333333333333	0.4612403100775194	0.006042296072507553	0.0241635687732342	0.0	0.005681818181818182
healthy_normal-NU-48-Bulk-WB.bg	0.09933774834437084	0.08421052631578947	0.01	0.043689320388349516	0.08843537414965986	0.04225352112676056	0.034289713086074175	0.08921161825726141	0.011764705882352941	0.4734982332155477	0.0	0.059670781893004114	0.0	0.0
healthy_normal-NU-14-Bulk-WB.bg	0.18181818181818185	0.11702127659574467	0.037037037037037035	0.049107142857142856	0.17088607594936708	0.026627218934911243	0.05594405594405594	0.08956692913385826	0.0	0.3272727272727273	0.011320754716981131	0.043936731107205626	0.005025125628140704	0.0
healthy_normal-NU-41-Bulk-WB.bg	0.13636363636363635	0.10416666666666667	0.02666666666666667	0.1	0.1020408163265306	0.1111111111111111	0.018668326073428748	0.07578740157480315	0.010101010101010102	0.2441860465116279	0.006349206349206349	0.021428571428571432	0.0	0.0
healthy_normal-NU-35-Bulk-WB.bg	0.08724832214765099	0.07608695652173914	0.02336448598130841	0.08755760368663594	0.07913669064748201	0.034161490683229816	0.026280323450134768	0.16336633663366334	0.010309278350515464	0.382716049382716	0.0076045627376425855	0.10338680926916223	0.0	0.0
healthy_normal-NU-44-Bulk-WB.bg	0.08	0.09375	0.027906976744186046	0.10795454545454546	0.0851063829787234	0.06211180124223601	0.01563663440059568	0.06378600823045268	0.011111111111111113	0.489451476793249	0.008032128514056224	0.034623217922606926	0.0	0.0
healthy_normal-NU-24-Bulk-WB.bg	0.14634146341463414	0.1794871794871795	0.04639175257731959	0.05586592178770949	0.13380281690140844	0.03508771929824561	0.018867924528301886	0.1378132118451025	0.04301075268817205	0.25339366515837103	0.0	0.02880658436213992	0.00625	0.003048780487804878
healthy_normal-NU-47-Bulk-WB.bg	0.11258278145695363	0.07692307692307693	0.030042918454935626	0.04405286343612335	0.06944444444444445	0.013333333333333334	0.008678237650200267	0.04077471967380224	0.03125	0.6366782006920415	0.007722007722007722	0.005847953216374269	0.0051813471502590676	0.0
