Mixture	nB	NK	mNeu	DC
NU20	0.023284371	0.14989494	0.318106451	0.000182241
NU44	0.072654128	0.129736594	0.43676989	0.002788641
NU47	0.037556237	0.073653311	0.559157672	0
NU05	0.041299483	0.137805095	0.312602019	0
NU24	0.029527147	0.2008653	0.195017423	0.001978323
NU14	0.064300907	0.112422304	0.297306126	0.007642509
NU35	0.022347376	0.215001986	0.311136782	0
NU48	0.055461838	0.128075937	0.362842506	0.003702166
NU45	0.069879833	0.114643829	0.30671975	1.98207E-05
NU41	0.103252552	0.099578569	0.250516357	0.009283569
NU31	0.060015837	0.122270794	0.227744232	0.014865959
NU46	0.033290493	0.052703548	0.591635233	0
