Mixture	mincpg	totalreadCT	totalreadnonCT	acceptedtrueCTcount	acceptedfalseCTcount	true_pos/all_pos	rejectedtrueCTcount	rejectedfalseCTcount	true_neg/all_neg	false_neg/all_pos	false_pos/all_neg	F1-score	totalTestedreadCT	totalTestedreadnonCT	totalTestedread	totalread	mNeu_real_rdtotal	mNeu_real_rdtested	mNeu_real
mNeuallrange_NR_81205_insilmix13	3	2	39589	0	11	0.0	1464	0	1.0	-1.0	0.007457627118644069	0.0	0	1475	1475	39591	5.051653153494481e-05	0.0	0.004927201
mNeuallrange_NR_81205_insilmix57	3	11819	27677	330	3	0.990990990990991	1014	23	0.9778206364513018	0.06515580736543909	0.002949852507374631	0.9620991253644317	353	1017	1370	39496	0.2992454932145027	0.2576642335766423	29.95822705
mNeuallrange_NR_81205_insilmix60	3	3924	35656	115	8	0.934959349593496	1294	9	0.9930928626247122	0.07258064516129033	0.006144393241167436	0.931174089068826	124	1302	1426	39580	0.09914098029307733	0.08695652173913042	9.967477271
mNeuallrange_NR_81205_insilmix24	3	12	39530	0	16	0.0	1474	0	1.0	-1.0	0.010738255033557045	0.0	0	1490	1490	39542	0.0003034747863031713	0.0	0.030788557
mNeuallrange_NR_81205_insilmix44	3	391	39203	14	16	0.4666666666666667	1426	1	0.9992992291520671	0.06666666666666668	0.011095700416088766	0.6222222222222222	15	1442	1457	39594	0.009875233621255744	0.01029512697323267	0.994160692
mNeuallrange_NR_81205_insilmix37	3	147	39334	4	14	0.2222222222222222	1450	0	1.0	0.0	0.009562841530054643	0.3636363636363637	4	1464	1468	39481	0.003723309946556572	0.0027247956403269754	0.369590125
mNeuallrange_NR_81205_insilmix38	3	147	39358	4	11	0.26666666666666666	1455	0	1.0	0.0	0.007503410641200545	0.42105263157894735	4	1466	1470	39505	0.003721047968611568	0.002721088435374149	0.369585571
mNeuallrange_NR_81205_insilmix12	3	1	39487	0	11	0.0	1442	0	1.0	-1.0	0.007570543702684102	0.0	0	1453	1453	39488	2.532414910858995e-05	0.0	0.002463509
mNeuallrange_NR_81205_insilmix58	3	3924	35601	115	8	0.934959349593496	1332	9	0.9932885906040269	0.07258064516129033	0.005970149253731343	0.931174089068826	124	1340	1464	39525	0.09927893738140416	0.08469945355191258	9.972391352999999
mNeuallrange_NR_81205_insilmix8	3	1	39579	0	11	0.0	1443	0	1.0	-1.0	0.007565337001375515	0.0	0	1454	1454	39580	2.5265285497726127e-05	0.0	0.002463479
mNeuallrange_NR_81205_insilmix43	3	391	39109	14	11	0.56	1416	1	0.9992942836979536	0.06666666666666668	0.007708479327259986	0.7	15	1427	1442	39500	0.009898734177215191	0.010402219140083218	0.994001503
mNeuallrange_NR_81205_insilmix30	3	33	39503	1	9	0.1	1451	0	1.0	0.0	0.0061643835616438354	0.18181818181818185	1	1460	1461	39536	0.0008346823148522865	0.0006844626967830253	0.082540778
mNeuallrange_NR_81205_insilmix50	3	27639	11870	824	2	0.9975786924939468	444	60	0.8809523809523809	0.06787330316742081	0.004484304932735426	0.9637426900584796	884	446	1330	39509	0.6995621250854236	0.6646616541353384	69.97658368
mNeuallrange_NR_81205_insilmix23	3	12	39552	0	10	0.0	1430	0	1.0	-1.0	0.006944444444444444	0.0	0	1440	1440	39564	0.00030330603579011223	0.0	0.030785523
mNeuallrange_NR_81205_insilmix42	3	239	39283	8	15	0.3478260869565217	1447	0	1.0	0.0	0.010259917920656636	0.5161290322580645	8	1462	1470	39522	0.0060472648145336785	0.005442176870748299	0.604880933
mNeuallrange_NR_81205_insilmix31	3	56	39482	1	13	0.07142857142857142	1484	0	1.0	0.0	0.008684034736138945	0.13333333333333333	1	1497	1498	39538	0.0014163589458242704	0.0006675567423230973	0.139227717
mNeuallrange_NR_81205_insilmix15	3	2	39517	0	15	0.0	1432	0	1.0	-1.0	0.010366275051831377	0.0	0	1447	1447	39519	5.060856803056758e-05	0.0	0.004929144
mNeuallrange_NR_81205_insilmix51	3	27639	11843	824	1	0.9987878787878788	459	60	0.884393063583815	0.06787330316742081	0.002173913043478261	0.9643066120538326	884	460	1344	39482	0.7000405247961096	0.6577380952380952	69.98262113
mNeuallrange_NR_81205_insilmix22	3	12	39532	0	10	0.0	1453	0	1.0	-1.0	0.00683526999316473	0.0	0	1463	1463	39544	0.000303459437588509	0.0	0.030792728
mNeuallrange_NR_81205_insilmix7	3	1	39567	0	15	0.0	1495	0	1.0	-1.0	0.009933774834437088	0.0	0	1510	1510	39568	2.5272947836635667e-05	0.0	0.002463418
mNeuallrange_NR_81205_insilmix40	3	239	39334	8	8	0.5	1467	0	1.0	0.0	0.0054237288135593215	0.6666666666666666	8	1475	1483	39573	0.006039471356733126	0.005394470667565745	0.6047095920000001
mNeuallrange_NR_81205_insilmix33	3	56	39468	1	9	0.1	1469	0	1.0	0.0	0.006089309878213802	0.18181818181818185	1	1478	1479	39524	0.0014168606416354618	0.0006761325219743071	0.139198561
