Average value	Line count
0.65	3569
0.625	7902
0.675	9837
0.8	1067
0.7999999999999999	434
0.7999999999999999	1105
0.775	2772
0.875	234
0.625	10229
0.7	3430
0.7	479
0.6	8124
0.75	253
0.65	5687
0.6749999999999999	6017
0.7749999999999999	389
0.625	1700
0.65	5875
0.7	4702
0.7999999999999999	203
0.7249999999999999	4556
0.675	1536
0.825	309
0.6749999999999999	3756
0.7499999999999999	1719
0.75	461
0.75	1486
0.7250000000000001	4170
0.8250000000000001	239
0.625	12652
0.7500000000000001	1145
0.75	543
0.625	554
0.7	480
0.6	5913
0.625	6238
0.675	1791
0.7000000000000001	2466
0.625	13640
0.775	253
0.625	7079
0.75	1064
0.675	10689
0.75	2261
0.625	3556
0.7499999999999999	2408
0.8	378
0.7	1159
0.675	2994
0.7749999999999999	248
0.725	2565
0.7249999999999999	3005
0.7749999999999999	377
0.6499999999999999	7694
0.7000000000000001	4243
0.8500000000000001	239
0.725	1501
0.7750000000000001	1131
0.725	545
0.6499999999999999	11901
0.525	19414
0.8250000000000001	818
0.7749999999999999	526
0.7	4744
0.75	3855
0.9	197
0.7749999999999999	1399
0.6749999999999999	3572
0.7249999999999999	477
0.6	11257
0.7	5684
0.6499999999999999	1658
0.75	389
0.625	7563
0.675	5423
0.725	253
0.7	5341
0.775	1672
0.6	3681
0.6499999999999999	7129
0.675	1658
0.725	518
0.65	3114
0.7250000000000001	2433
0.6499999999999999	12870
0.675	3607
0.525	18735
0.6499999999999999	1178
0.6	11409
0.7	392
0.7	2994
0.8	248
0.725	1159
0.7749999999999999	1079
0.7749999999999999	434
0.625	7701
0.7	3007
0.75	377
0.6499999999999999	10197
0.7000000000000001	5392
0.8	386
0.675	5483
0.7750000000000001	2351
0.775	448
0.7	5309
0.55	19181
0.625	3689
0.8250000000000001	1605
0.825	436
0.75	3462
0.75	4444
0.85	309
0.7250000000000001	4612
0.725	1162
0.575	11332
0.7249999999999999	547
0.65	3587
0.6	16042
0.7	477
0.6499999999999999	7546
0.75	253
0.675	1656
0.6	17046
0.625	3673
0.7	3400
0.675	3682
0.725	476
0.675	3113
0.6499999999999999	11080
0.675	1176
0.55	18481
0.75	254
0.675	392
0.7250000000000001	4888
0.8	2190
0.85	366
0.75	2550
0.775	2396
0.825	377
0.675	3438
0.675	479
0.625	14265
0.75	1145
0.7	549
0.6	10263
0.65	1694
0.625	8088
0.7749999999999999	253
0.7	1536
0.675	5872
0.825	203
0.725	1719
0.6749999999999999	4774
0.7250000000000001	461
0.7999999999999999	821
0.65	3756
0.75	527
0.7	5260
0.7250000000000001	5175
0.775	386
0.675	5435
0.7500000000000001	2385
0.8	447
0.65	554
0.6	6274
0.65	1702
0.625	8156
0.575	5957
0.7000000000000001	1791
0.6749999999999999	5379
0.775	368
0.625	9556
0.7	3493
0.625	15308
0.65	3552
0.725	577
0.6499999999999999	8349
0.65	8541
0.575	12777
0.7	480
0.675	2585
0.6000000000000001	3201
0.6	9973
0.525	23662
0.6499999999999999	611
0.7	6858
0.7749999999999999	559
0.7	5229
0.75	714
0.725	1443
0.6749999999999999	2576
0.675	4934
0.75	1795
0.65	9506
0.7250000000000001	708
0.5750000000000001	14195
0.775	1542
0.7750000000000001	1442
0.8500000000000001	623
0.75	4137
0.675	612
0.6499999999999999	5135
0.8	659
0.7	6315
0.7250000000000001	2954
0.7250000000000001	1562
0.7999999999999999	998
0.7	6836
0.775	510
0.625	9064
0.7249999999999999	2224
0.725	2450
0.625	11193
0.7	2129
0.625	615
0.55	18864
0.725	3523
0.675	7610
0.7999999999999999	464
0.625	1632
0.65	5231
0.675	1876
0.625	8565
0.75	575
0.675	8154
0.675	589
0.6	5774
0.55	10342
0.825	653
0.675	6452
0.7000000000000001	3026
0.75	1537
0.75	670
0.65	4495
0.7749999999999999	1630
0.725	3540
0.7499999999999999	1296
0.7	4310
0.575	16428
0.7	2495
0.65	5177
0.7000000000000001	720
0.6000000000000001	12353
0.725	1836
0.675	8802
0.75	2642
0.8	1109
0.875	496
0.7250000000000001	5824
0.675	5074
0.7	2512
0.625	9777
0.575	18777
0.65	615
0.65	1623
0.65	1883
0.7250000000000001	721
0.625	5773
0.7	589
0.675	7065
0.575	10265
0.65	617
0.7750000000000001	1765
0.675	8216
0.7500000000000001	1761
0.75	3360
0.7749999999999999	670
0.6749999999999999	4495
0.725	1296
0.675	4314
0.7499999999999999	1549
0.75	1464
0.675	2498
0.625	5204
0.7	3025
0.7000000000000001	1595
0.725	720
0.625	12315
0.8	1624
0.8	2283
0.8250000000000001	994
0.7250000000000001	6650
0.725	480
0.6000000000000001	12757
0.7	3545
0.625	3190
0.6	13874
0.575	10048
0.6499999999999999	9142
0.675	611
0.55	23366
0.75	1350
0.675	5052
0.6749999999999999	3110
0.7250000000000001	1563
0.65	2582
0.6499999999999999	4948
0.75	708
0.6	14100
0.8250000000000001	1217
0.7750000000000001	3130
0.8	1613
0.75	3520
0.7500000000000001	1803
0.7	7821
0.7750000000000001	1736
0.7250000000000001	3421
0.7999999999999999	510
0.6499999999999999	9056
0.7249999999999999	2681
0.775	1116
0.7	2225
0.7	2450
0.55	21992
0.675	2475
0.6	13967
0.825	1000
0.825	422
0.7	6268
0.7499999999999999	2973
0.8500000000000001	246
0.775	1149
0.7250000000000001	3414
0.575	14593
0.725	477
0.7	1147
0.6499999999999999	10115
0.65	551
0.6499999999999999	6091
0.75	390
0.625	5760
0.7	4572
0.7999999999999999	310
0.675	4723
0.775	1716
0.7749999999999999	460
0.625	4782
0.7499999999999999	822
0.7	528
0.7	3752
0.7	6695
0.8	251
0.7250000000000001	1614
0.775	1060
0.7749999999999999	515
0.65	7016
0.6749999999999999	482
0.6499999999999999	6148
0.6	1724
0.575	8381
0.625	5824
0.625	5391
0.675	3536
0.65	7837
0.8	240
0.7250000000000001	1153
0.6	12990
0.7	7033
0.7250000000000001	3058
0.575	15651
0.7	2569
0.725	2411
0.7749999999999999	379
0.7249999999999999	1081
0.675	7655
0.725	435
0.75	2996
0.6000000000000001	10274
0.7999999999999999	376
0.7000000000000001	1641
0.6749999999999999	6994
0.825	251
0.675	6845
0.8	1052
0.75	517
0.575	3745
0.725	4374
0.85	795
0.8	501
0.75	1501
0.7249999999999999	5695
0.875	202
0.6749999999999999	1167
0.675	548
0.625	11032
0.7000000000000001	3541
0.75	476
0.55	17517
0.6499999999999999	5463
0.6749999999999999	5725
0.725	390
0.725	4926
0.75	1779
0.55	18331
0.7	1509
0.675	4273
0.7	548
0.6000000000000001	11163
0.7	3449
0.675	7666
0.575	11678
0.6499999999999999	3644
0.7	255
0.725	391
0.7	2411
0.75	1158
0.75	379
0.725	2989
0.675	2569
0.825	247
0.625	10260
0.75	1081
0.75	435
0.7000000000000001	3650
0.725	3378
0.825	367
0.675	8850
0.75	3329
0.75	473
0.575	17734
0.6000000000000001	3732
0.725	3728
0.7999999999999999	1710
0.8	459
0.75	3314
0.7749999999999999	3085
0.875	301
0.575	17359
0.7000000000000001	1166
0.7	548
0.6499999999999999	5738
0.7000000000000001	390
0.7	1647
0.6749999999999999	7474
0.775	252
0.625	5482
0.5750000000000001	18185
0.65	3641
0.65	5601
0.675	5484
0.75	449
0.7	3106
0.625	11149
0.625	3662
0.575	16766
0.7	1171
0.55	11773
0.725	255
0.7749999999999999	2955
0.825	376
0.7	7419
0.7999999999999999	2242
0.8500000000000001	359
0.775	2382
0.7250000000000001	1147
0.675	551
0.6	14533
0.6499999999999999	7951
0.6	5795
0.8	252
0.625	6118
0.675	1682
0.7250000000000001	390
0.7	5848
