WGSBS_450pos_sm_g50	accflow	celltype
0.509932149	0.180227195	CD14
0.641855473	0.218963761	CD14
0.576849192	0.182350603	CD14
0.449190196	0.126013202	CD14
0.685165251	0.208187435	CD14
0.301681622	0.108069944	CD14
0.035349357	0.122972597	CD19
0.059732951	0.145688317	CD19
0.032965885	0.052623861	CD19
0.087602848	0.115737611	CD19
0.052571448	0.146920692	CD19
0.038776878	0.13035756	CD19
0.124231899	0.336739593	CD4
0.068095309	0.404473161	CD4
0.138265075	0.53968174	CD4
0.149533215	0.438186684	CD4
0.061715506	0.412475511	CD4
0.412093359	0.479787462	CD4
0.110278386	0.042648125	CD56
0.090328241	0.057523243	CD56
0.115931067	0.042065943	CD56
0.15572521	0.081414356	CD56
0.087962342	0.030184447	CD56
0.08935473	0.039343649	CD56
0.220208209	0.317412491	CD8
0.139988027	0.173351518	CD8
0.135988781	0.183277852	CD8
0.157948532	0.238648146	CD8
0.112585453	0.202231915	CD8
0.158093411	0.242441385	CD8
