WGBS_450pos_g50	FACS	celltype
0.456315956	0.157181572	CD14
0.535732004	0.293604652	CD14
0.597065753	0.066666668	CD14
0.495781048	0.102362204	CD14
0.684228126	0.235555556	CD14
0.529073853	0.167048056	CD14
0.051891702	0.05691057	CD19
0.078778979	0.087209303	CD19
0.059596414	0.097435897	CD19
0.121175208	0.16929134	CD19
0.051938659	0.071111111	CD19
0.079729857	0.118993134	CD19
0.112898229	0.363143632	CD4
0.084073836	0.406976744	CD4
0.090679211	0.574358973	CD4
0.097400465	0.444881889	CD4
0.047870807	0.50222222	CD4
0.118205508	0.441647598	CD4
0.174177978	0.108401084	CD56
0.14698449	0.098837209	CD56
0.107387574	0.051282049	CD56
0.116278126	0.062992127	CD56
0.078867212	0.031111112	CD56
0.118298028	0.089244851	CD56
0.204716135	0.314363142	CD8
0.154430692	0.113372092	CD8
0.145271049	0.210256413	CD8
0.169365154	0.22047244	CD8
0.137095196	0.160000002	CD8
0.154692754	0.183066361	CD8
