cand	pyg50	celltype	accflow
0.11477888	0.064679161	CD14	8.66643694
0.10476983	0.066115369	CD14	5.956985799
0.11552974	0.060787371	CD14	6.140689274
0.07306102	0.028717004	CD14	5.205543017
0.06033024	0.031599059	CD14	6.038851573
0.08099831	0.018653722	CD14	5.488122653
0.072057268	0.108405774	CD19	5.91328216
0.053902003	0.040447214	CD19	3.96350168
0.024019146	0.017956932	CD19	1.772117973
0.047298672	0.049179686	CD19	4.781063466
0.019821649	0.0493725	CD19	4.261699323
0.063009911	0.086465595	CD19	6.619956081
0.094516062	0.152487312	CD4	16.19251998
0.067281705	0.111380556	CD4	11.00383399
0.174272964	0.221897984	CD4	18.17387939
0.152866909	0.205845908	CD4	18.10127514
0.089359999	0.114311223	CD4	11.9645952
0.249747085	0.290707032	CD4	24.36507644
0.166340981	0.145031747	CD56	2.050785327
0.073512428	0.057987207	CD56	1.564939971
0.066889159	0.050738406	CD56	1.416578182
0.109547616	0.108471816	CD56	3.363186785
0.051134732	0.052363533	CD56	0.875554255
0.105332558	0.067747413	CD56	1.997990965
0.144507924	0.096877472	CD8	15.2631535
0.06252245	0.028601541	CD8	4.716088769
0.061158234	0.032164872	CD8	6.171914539
0.123262737	0.085987242	CD8	9.858436857
0.048734755	0.036211887	CD8	5.86610097
0.115124721	0.113498736	CD8	12.31191589
0.407048331	0.432518534	Neu	37.57693862
0.638011583	0.695468113	Neu	64.08482379
0.558130759	0.616454435	Neu	53.43317402
0.493963041	0.521798344	Neu	43.51310877
0.730618629	0.716141798	Neu	65.09030181
0.385787418	0.422927501	Neu	34.2467584
