reinSM_g50hyo_15hyper	accflow	celltype
0.061004307	8.66643694	CD14
0.074259409	5.956985799	CD14
0.076152521	6.140689274	CD14
0.028844626	5.205543017	CD14
0.035971231	6.038851573	CD14
0.030307295	5.488122653	CD14
0.109699304	5.91328216	CD19
0.045918438	3.96350168	CD19
0.025245642	1.772117973	CD19
0.068620646	4.781063466	CD19
0.059803689	4.261699323	CD19
0.095777607	6.619956081	CD19
0.109316293	16.19251998	CD4
0.096152802	11.00383399	CD4
0.212126394	18.17387939	CD4
0.202028502	18.10127514	CD4
0.121927477	11.9645952	CD4
0.271301936	24.36507644	CD4
0.139233205	2.050785327	CD56
0.064566215	1.564939971	CD56
0.055101447	1.416578182	CD56
0.115814055	3.363186785	CD56
0.059732042	0.875554255	CD56
0.0830893	1.997990965	CD56
0.142891005	15.2631535	CD8
0.045060576	4.716088769	CD8
0.039583909	6.171914539	CD8
0.069274614	9.858436857	CD8
0.033117239	5.86610097	CD8
0.106499799	12.31191589	CD8
0.437855886	37.57693862	Neu
0.674042561	64.08482379	Neu
0.591790088	53.43317402	Neu
0.515417557	43.51310877	Neu
0.689448322	65.09030181	Neu
0.413024062	34.2467584	Neu
