reinSM_onlyleukocyte	accflow	celltype
0.473294214	8.66643694	CD14
0.778569251	5.956985799	CD14
0.659582485	6.140689274	CD14
0.513836267	5.205543017	CD14
0.728210581	6.038851573	CD14
0.414240053	5.488122653	CD14
0.08835259	5.91328216	CD19
0.016630796	3.96350168	CD19
0.000927762	1.772117973	CD19
0.045476742	4.781063466	CD19
0.034466044	4.261699323	CD19
0.088593614	6.619956081	CD19
0.126182834	16.19251998	CD4
0.097198737	11.00383399	CD4
0.237496103	18.17387939	CD4
0.166590372	18.10127514	CD4
0.116145308	11.9645952	CD4
0.286931772	24.36507644	CD4
0.17583908	2.050785327	CD56
0.056064748	1.564939971	CD56
0.048504123	1.416578182	CD56
0.110935823	3.363186785	CD56
0.077379185	0.875554255	CD56
0.065106666	1.997990965	CD56
0.136331282	15.2631535	CD8
0.051536467	4.716088769	CD8
0.053489527	6.171914539	CD8
0.163160796	9.858436857	CD8
0.043798883	5.86610097	CD8
0.145127895	12.31191589	CD8
