reinSMleuko_g50	WGBS_450pos_g50	celltype
0.296074446	0.295756351	CD14
0.224627407	0.30450715	CD14
0.28722659	0.240769636	CD14
0.225791972	0.178134925	CD14
0.409413218	0.373581725	CD14
0.230156746	0.121697806	CD14
0.056495185	0.022510197	CD19
0.196431376	0.076441769	CD19
0.068176766	0.170701127	CD19
0.167528598	0.11206484	CD19
0.115718688	0.156306886	CD19
0.1256275	0.04861529	CD19
0.231693928	0.249081699	CD4
0.333257423	0.206549879	CD4
0.340852178	0.160136233	CD4
0.332826277	0.255081965	CD4
0.333916257	0.189072932	CD4
0.365689849	0.222160027	CD4
0.241813432	0.180657023	CD56
0.227565937	0.244524148	CD56
0.07588469	0.232669775	CD56
0.081654877	0.224181284	CD56
0.016650077	0.125975443	CD56
0.170477754	0.375009346	CD56
0.173923009	0.25199473	CD8
0.018117858	0.167977054	CD8
0.227859776	0.195723229	CD8
0.192198276	0.230536986	CD8
0.124301759	0.155063015	CD8
0.10804815	0.232517531	CD8
