reinSMleuko_g50	WGBS_450pos_g50	celltype
0.515061799	0.456315956	CD14
0.670108063	0.535732004	CD14
0.68675894	0.597065753	CD14
0.603037499	0.495781048	CD14
0.773832578	0.684228126	CD14
0.595093151	0.529073853	CD14
0.015627971	0.051891702	CD19
0.030473138	0.078778979	CD19
0	0.059596414	CD19
0.0802118	0.121175208	CD19
0.037308403	0.051938659	CD19
0.063048746	0.079729857	CD19
0.153503105	0.112898229	CD4
0.132439747	0.084073836	CD4
0.131136956	0.090679211	CD4
0.134494301	0.097400465	CD4
0.114552734	0.047870807	CD4
0.170055524	0.118205508	CD4
0.205629869	0.174177978	CD56
0.121281911	0.14698449	CD56
0.038385198	0.107387574	CD56
0.063393917	0.116278126	CD56
0.021509965	0.078867212	CD56
0.103872869	0.118298028	CD56
0.110177256	0.204716135	CD8
0.045697142	0.154430692	CD8
0.143718906	0.145271049	CD8
0.118862482	0.169365154	CD8
0.052796319	0.137095196	CD8
0.067929711	0.154692754	CD8
