WGSBS_450pos_sm_g50	accflow	celltype	reinSM_onlyleukocyte
0.509932149	8.66643694	CD14	0.473294214
0.641855473	5.956985799	CD14	0.778569251
0.576849192	6.140689274	CD14	0.659582485
0.449190196	5.205543017	CD14	0.513836267
0.685165251	6.038851573	CD14	0.728210581
0.301681622	5.488122653	CD14	0.414240053
0.035349357	5.91328216	CD19	0.08835259
0.059732951	3.96350168	CD19	0.016630796
0.032965885	1.772117973	CD19	0.000927762
0.087602848	4.781063466	CD19	0.045476742
0.052571448	4.261699323	CD19	0.034466044
0.038776878	6.619956081	CD19	0.088593614
0.124231899	16.19251998	CD4	0.126182834
0.068095309	11.00383399	CD4	0.097198737
0.138265075	18.17387939	CD4	0.237496103
0.149533215	18.10127514	CD4	0.166590372
0.061715506	11.9645952	CD4	0.116145308
0.412093359	24.36507644	CD4	0.286931772
0.110278386	2.050785327	CD56	0.17583908
0.090328241	1.564939971	CD56	0.056064748
0.115931067	1.416578182	CD56	0.048504123
0.15572521	3.363186785	CD56	0.110935823
0.087962342	0.875554255	CD56	0.077379185
0.08935473	1.997990965	CD56	0.065106666
0.220208209	15.2631535	CD8	0.136331282
0.139988027	4.716088769	CD8	0.051536467
0.135988781	6.171914539	CD8	0.053489527
0.157948532	9.858436857	CD8	0.163160796
0.112585453	5.86610097	CD8	0.043798883
0.158093411	12.31191589	CD8	0.145127895
