Mixture	EPCAM	Eo	Er	M0	M1	M2	Mg	Mono	NK	NaiveCD4	NaiveCD8	PMN	Tregs	cm4	cm8	ed8	em4	em8	iDC	mB	mDC	nB
BS-Seq_01-spike	2.568323106108602	2.0227957931721368	1.9341271769336608	2.652317066537535	2.90158219500494	2.1501312950495013	2.507757584119092	3.211536268326831	3.2277436344132964	9.398009533398866	7.178738625573302	2.202914998800222	7.940809668399752	9.619218649082873	8.00852779818737	5.6147115982483005	9.018711267110216	7.969167662933313	2.4929540116956734	1.9408243356976467	2.904816843483912	2.5342808877229706
BS-Seq_03-spike	1.4215120151966147	1.6960725198453308	1.4500405900920774	2.292119482959199	2.229439105391106	1.7178060437960558	1.960925205499616	3.2921136840835183	3.386493513568831	10.502141910805857	8.584662082605927	1.9948224580087053	8.55238964449652	10.392768434158327	8.224834168924932	5.831532229966451	8.968518459331271	8.345698406282859	2.1686215496444223	1.9368010476833046	2.4184154095855654	2.6322720380735043
BS-Seq_04-spike	1.2859666922814255	1.70843879972158	1.2213639120998956	2.244071716055357	2.2203810245830695	1.6285048456615931	1.790626504260354	3.334568630833059	3.360755080220934	10.62455545244571	8.709705306968669	2.0217137637871243	8.823498754442914	10.097010843775934	8.57727738462281	5.991401763491858	9.32744349044673	7.985062510759562	2.256903302513046	1.8789328706045125	2.372625072997987	2.5391922774258715
BS-Seq_05-spike	1.228884679677627	1.633988788375461	1.209955034298082	2.245712959753636	2.155077909143389	1.6907685393991507	1.7797281045815623	3.213254491747402	3.4331137874452016	11.051540081055157	8.642359304801554	1.954016749827445	8.734257246883459	10.073534030355352	8.269248415871308	6.006381758267568	9.356503513639668	8.225221137482873	2.2523342252018743	1.9376607373333108	2.247790067945206	2.658668436913725
BS-Seq_06-spike	1.1936303955394287	1.6506545808227076	1.315635266364812	2.237639214985781	2.1522618280158787	1.606510580045854	1.7737295254204162	3.3488964072774006	3.357968731078107	11.120705534894086	8.459278339812604	1.8825829469078519	8.75422174362494	10.3977208055802	8.531313377361299	5.953744711490957	9.239169833671395	8.22624857143029	2.083084655402407	1.9421078538369707	2.2551226528165316	2.517772443620075
BS-Seq_07-no-spike	1.1679465358957828	1.6832680869994838	1.2942162675194464	2.218671226148576	2.0945167357516765	1.6021270929523874	1.867110288349449	3.285205742702156	3.409117474413026	10.877878951309693	8.713038221493377	2.0297430271253254	8.825321844545876	10.550287188942336	8.245456657407898	5.763805965304653	9.254156733585043	8.335555914567403	2.18667824704101	1.8991648838209425	2.183526321577514	2.513206592546962
EM-Seq_01-spike	2.497743369556741	1.849492950854683	1.9467036175745915	2.7552680550138713	2.757747820316858	2.213527054693066	2.5180623178615305	3.36745259092536	3.226376061182005	9.543264588843137	7.913647404745848	1.9963449861973812	7.607060064101318	9.424007452822005	7.959882058981836	5.407528359640888	8.695998686454482	7.582634892753344	2.9243102545763064	1.992349177922357	3.1719840440100624	2.648614190972346
EM-Seq_02-spike	1.592037629240121	1.7244232054623043	1.4695720609663498	2.3921840189691097	2.376289244863369	1.9368981184519563	1.965508443383257	3.3863324304396016	3.3633022654375058	10.860314918436888	8.565533646391893	2.012405847008023	8.217284907916778	9.782413173069916	7.868078836765144	5.875897080859487	8.856065543612399	8.021991491985988	2.4686362312118604	1.9069248319596253	2.7938202917146726	2.5640857818537586
EM-Seq_03-spike	1.268985559748467	1.6033303486332098	1.3415592071150644	2.6408554552439054	2.203986414875657	1.8370913005496419	1.817609134554295	3.4847306420137865	3.4212656017422858	10.751476554347002	8.728311454628972	1.9921264046034208	8.213587314090763	9.976115723644023	8.384872682098607	5.936148629085568	8.788057088986267	7.979775108805966	2.4915430437697443	1.985382853276226	2.5642955059499473	2.5888939722371807
EM-Seq_04-spike	1.1538287277426038	1.5423777972711168	1.338659986505761	2.256426903088341	2.113550226104993	1.7609893902842542	1.661236312534713	3.3779904191886354	3.304129311869837	10.83317775151264	8.822449104477338	1.946500367384494	8.240667827648982	10.244735453462923	8.313535482194249	6.017216361463922	9.117830774721336	8.311374721515895	2.4456295077095875	1.9776759275250002	2.594731102579228	2.6252865432141372
EM-Seq_05-spike	1.002679058725673	1.523281262236142	1.2601263539925036	2.2539436551904384	2.1397994087994165	1.7414666549408546	1.6914945701299002	3.4374882243887903	3.4788908662621054	11.12396280828132	8.500664251182204	1.9816074176452827	8.60694098549583	10.327679313780157	8.015395512742222	6.052426553551533	8.87714874585381	8.146445667108008	2.5916998000823153	2.022371608692836	2.5559298398506045	2.6685574410680513
EM-Seq_06-spike	1.0958137841172766	1.5205326967745447	1.207714483808685	2.292481651185413	2.1462151352608285	1.6406241384315488	1.8199249011893337	3.4818005145764963	3.302512944889436	11.444647014026298	8.65302386224385	1.9916058765867999	8.237022387521694	10.290463134339316	8.130734622016783	6.033381624087451	8.869949248682046	8.263146866513313	2.501474591878531	1.8908535006044467	2.4726793237164175	2.7133976975494742
EM-Seq_07-no-spike	1.0103370332064385	1.5566148649625389	1.2416716457077206	2.1728998956087997	2.0293257931657256	1.69074903134851	1.6974142947472823	3.4150875314929627	3.503126455494116	11.174851421973612	8.487204059049935	1.9577183629991741	8.449943247205312	10.429750385981508	8.31745387081262	6.099772825540232	9.082937942897047	8.165682134824898	2.4860294639607887	1.8880306852081263	2.6011933529886693	2.542205700823947
