Mixture	NaiveCD4	NaiveCD8	nB	NK	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB	EPCAM
BS-Seq_01-spike	50.46618766158956	44.616360097805504	13.318071026894762	15.45380541302591	25.71619125525902	17.455696001284757	21.735351194024027	14.838660402330994	22.280359993184902	27.33196842989749	10.026214367070548	45.5359901124563	47.38273063609734	9.107651598853847	42.38321018672242	53.819593323439804	28.768941969642697	12.783582093617344	58.96966944999612	9.721845750841114	10.432413207569226	11.033413129116145
BS-Seq_03-spike	58.08665774043597	52.467661716615375	14.47336700909532	16.72798396455978	27.541147955402188	15.83159072062658	17.62570535477725	12.071514053210198	20.62124001120601	23.715175808809484	9.395779041566797	48.96060936182586	50.99458059958416	7.89332001589596	45.84493916007462	54.82668259486543	31.071280641236626	10.570130429037748	63.92228786367614	7.516967269447313	10.68362652034918	6.288890800124525
BS-Seq_04-spike	58.99872623176194	52.67850320041922	13.898540642002777	16.585525104293502	27.28110351495704	15.923423925765642	17.19429055771374	11.49872887876751	20.58761044576797	23.5403133488208	9.470878218542552	49.22198056760466	49.827385485840175	7.835944872255044	46.60442346207586	55.74271573797043	31.399127553894818	9.491582733733694	62.51806048260603	6.2299381647584555	10.473145662363397	5.564242883097852
BS-Seq_05-spike	60.2926040947729	53.765789706516834	14.71406662692293	17.18006151490411	27.08592857966122	15.645307184163295	16.554945321864345	12.033872771886028	21.28158406535769	22.48975277185462	9.201299304731037	48.85620405487936	51.19664853742613	7.57821738297047	46.33891123863134	57.24048517155489	31.562899740950023	9.52211796861079	63.60695615760512	6.206205727717281	10.655074537595624	5.411913630916181
BS-Seq_06-spike	61.170057865599134	52.092047173639685	14.017402478495168	16.731539332087827	27.672872743419703	15.183034360686815	16.605793374606552	11.354201311609556	19.206657249104474	22.69108414054427	8.852620491383464	48.890340003480404	51.418420263632115	7.671400231473611	46.88136971581436	55.48986786531127	31.571855085505984	9.664714968870454	64.02081821911344	6.813464559273136	10.839136126129658	5.225908304545111
BS-Seq_07-no-spike	58.816491120770756	52.8797529725238	13.769814258863317	16.78445360192805	27.447816626645956	15.07807327073561	16.179068068801996	11.291686344551525	20.131472126771634	21.68061226752198	9.492661619196557	48.38945197137436	52.19252232556251	7.751103284883758	48.25546508836694	55.815421422744635	30.735151516546516	9.893150509757016	63.72733432787637	6.592383522565013	10.539291531064315	5.058740491762639
EM-Seq_01-spike	51.64302740974289	46.80066817536691	13.100909305351141	15.489733644254333	25.657339551653802	17.31821581783158	20.54345293335326	14.101863665480257	23.177043618449854	27.84345639300556	9.141365769489093	45.32954207463073	46.38763247919427	8.567837291610973	40.74400885913313	53.34570453939887	27.121589150663887	12.754826556587645	58.76793935500173	9.472589938959002	10.585289640115134	10.396960324519707
EM-Seq_02-spike	57.84623710293372	50.75938256449122	13.022320976154852	16.356862843807946	26.123351882497747	15.583383487736008	18.048925810945907	12.311832393085764	20.46461446762636	24.6724279904987	9.355516583797073	45.949111032346984	49.27159832243467	8.096507800620767	45.07534654470212	54.39427523837834	30.06526990854234	10.10569675694736	61.00547552686636	7.291063889715923	10.163165558089041	6.724302498734122
EM-Seq_03-spike	57.64816888022971	51.26453750402836	13.287479420414735	16.517448986486528	27.38332127211423	17.000552764925285	16.720320818586764	11.872897693865978	20.41455012462933	22.434013030667437	9.282675853680171	48.68490119603444	48.42783388312443	7.544252940157422	44.97891269668125	54.75574233686579	30.558123096502943	9.323405931988946	62.67650906271499	6.6430247989063735	10.73643096385299	5.34683074058402
EM-Seq_04-spike	57.846014739551286	51.77093981968256	13.280296372913982	16.151118580537585	26.282269519066322	14.258294753234166	15.98473207978115	11.17933142374968	19.528964823353117	22.57858398725898	8.946573834850554	48.419706465711386	49.70295314924494	7.17108659539683	45.400956034788706	55.64447895457347	30.708417132284936	8.441045663358375	63.035182987386584	6.603880356138235	10.398121646069043	4.784979564741659
EM-Seq_05-spike	59.68555820208367	50.5965115587817	13.469571656442838	17.080933212361558	26.62439901828884	14.781748793259721	16.38489999432558	10.980334076609614	21.274330468390094	22.69732257603283	9.33527182803803	47.52455003177281	49.69950186820056	7.259598032240517	46.65695469475349	55.740267067982764	31.055942324206292	8.66284789407791	64.61980095574835	6.230216710806675	10.834662286755446	4.2768638295907175
EM-Seq_06-spike	60.36414812757832	52.82693207204405	13.899834746013932	16.592713772471303	27.266092652138497	15.005867798102438	16.44983924001151	10.7089444632699	20.503631705364036	22.04201039184462	9.381308996797243	48.651919555451975	50.751694870754896	7.285613016011635	45.58780096270717	56.1679266012587	31.266010963842554	9.258874864629904	64.98992758036232	6.0597387938790455	10.238702995304886	4.677016517642249
EM-Seq_07-no-spike	59.27527268693863	51.286116559798764	13.218502491145454	17.24307260062941	26.359903256032474	14.494638223635478	15.369710654742264	11.00276317517683	19.640153286236863	22.433927358079327	9.03720217819052	48.539358128480245	49.00813684602798	7.247571315718611	46.97875569756717	55.47894600564509	30.535139798690018	8.762488811049174	63.52289162402158	6.335065549828924	9.992184417797166	4.28014556416847
