Mixture	CD14	CD19	CD4	CD56	CD8	Eos	Neu	P.value	Correlation	RMSE	CD14_real	CD19_real	CD4_real	CD56_real	CD8_real
CD14_1.txt.bg	0.969225657228592	0	0.00387769553819761	0.0154637509116991	0	0	0.0114328963215109	9999	0.993951902329682	0.116276478548172	1	0	0	0	0
CD14_2.txt.bg	0.992589934070274	0	0	0	0	0.0074100659297264	0	9999	0.990978492164506	0.140738118810575	1	0	0	0	0
CD14_3.txt.bg	0.982537320291591	0	0	0	0.0174626797084092	0	0	9999	0.995883406630638	0.0981406996684503	1	0	0	0	0
CD14_4.txt.bg	0.948567700578622	0.0166578367221762	0.0102559723501668	0.0122910740282433	0	0.0122274163207915	0	9999	0.981656452557231	0.195347810658177	1	0	0	0	0
CD14_5.txt.bg	0.953389120095418	0.00259902525724715	0.00855117330184446	0	0	0	0.0354606813454907	9999	0.994647349525121	0.110821303585616	1	0	0	0	0
CD14_6.txt.bg	0.896517484326133	0.00539586420634717	0	0	0.00769065157491186	0	0.0903959998926078	9999	0.990699191322065	0.149124972395148	1	0	0	0	0
CD14-PBMC-1313.bg	0.987693360089641	0	0	0	0	0.0123066399103589	0	9999	0.887933100752877	0.475688750852877	1	0	0	0	0
CD14-PBMC-1382.bg	0.929196024217071	0.00256888327106083	0	0	0.011087134010029	0.0571479585018391	0	9999	0.868710286413038	0.502410044976868	1	0	0	0	0
CD14-PBMC-1389.bg	0.988538339722303	0	0	0	0.0114616602776966	0	0	9999	0.851517166322054	0.546266349194474	1	0	0	0	0
CD19_1.txt.bg	0.0109791478809208	0.965284636543389	0.00184137962422862	0.0157825865377695	0.00611224941369214	0	0	9999	0.983079324679728	0.198867577616091	0	1	0	0	0
CD19_2.txt.bg	0.00114183001093406	0.99241294302465	0	0	0	0.00644522696441573	0	9999	0.994143973729312	0.132514315097728	0	1	0	0	0
CD19_3.txt.bg	0.0235797920808019	0.936205477443174	0.00377244787693323	0	0.0364422825990911	0	0	9999	0.961713085917114	0.284944459213981	0	1	0	0	0
CD19_4.txt.bg	0	0.995569744888963	0	0	0	0	0.00443025511103745	9999	0.988232776919501	0.17129314023034	0	1	0	0	0
CD19_5.txt.bg	0	0.984678249881403	0.00389510380701544	0	0.007337965068392	0.00408868124318986	0	9999	0.994504842427626	0.1297945569854	0	1	0	0	0
CD19_6.txt.bg	0	0.952759539245681	0	0	0	0	0.0472404607543189	9999	0.990652102596481	0.16244609520886	0	1	0	0	0
CD19-PBMC-1313.bg	0	0.949873957933351	0	0	0.0304176973795812	0	0.0197083446870676	9999	0.812773925397653	0.599724616260223	0	1	0	0	0
CD19-PBMC-1382.bg	0.248209667137072	0.679094985831342	0.0520666366980067	0.0109555761765541	0.00967313415702487	0	0	9999	0.742971957004256	0.674339864666688	0	1	0	0	0
CD19-PBMC-1389.bg	0	0.908148392987947	0	0	0.043116653103234	0	0.0487349539088186	9999	0.828990322539885	0.565600089694951	0	1	0	0	0
CD4_1.txt.bg	0.111853032558893	0	0.855076844121961	0.0330701233191464	0	0	0	9999	0.987599019092186	0.194533584215937	0	0	1	0	0
CD4_2.txt.bg	0	0	0.954121487993495	0	0.0295930548782098	0.0162854571282956	0	9999	0.994745987411523	0.102705620841381	0	0	1	0	0
Cd4_3.txt.bg	0.00649342050821168	0	0.976855198124739	0.0149779978535909	0	0.00167338351345808	0	9999	0.993918638739897	0.110828568219933	0	0	1	0	0
