Mixture	CD14	CD19	CD4	CD56	CD8	P.value	Correlation	RMSE	CD14_real	CD19_real	CD4_real	CD56_real	CD8_real
CD14_1.txt.bg	0.760528721234126	0.0540429165639148	0	0.0807499719338555	0.104678390268103	9999	0.952939985401447	0.321483214060679	1	0	0	0	0
CD14_2.txt.bg	0.789163109201262	0.0506886453598019	0	0.0772872588651221	0.0828609865738138	9999	0.958829555996991	0.30638317681089	1	0	0	0	0
CD14_3.txt.bg	0.769949062559006	0.0523462631798141	0.00329802700437134	0.0710136501451804	0.103392997111628	9999	0.94472908060082	0.345148156143931	1	0	0	0	0
CD14_4.txt.bg	0.752996078418993	0.0616403691496251	0	0.0729117483553399	0.112451804076042	9999	0.955235704523353	0.315086054151987	1	0	0	0	0
CD14_5.txt.bg	0.761625907461786	0.0538030533653637	0	0.0682314858985038	0.116339553274346	9999	0.959654880204043	0.301433789188784	1	0	0	0	0
CD14_6.txt.bg	0.762012950257732	0.0536275300814359	4.496647541029e-05	0.0643166365304356	0.119997916654987	9999	0.95808948875777	0.305416950604963	1	0	0	0	0
CD14-PBMC-1313.bg	0.999252025029462	0.00037707666717913	5.679677422162e-05	0.00026071676418818	5.338476494915e-05	9999	0.979313623778586	0.403693251080404	1	0	0	0	0
CD14-PBMC-1382.bg	0.999161760441061	0.00016694127939355	0.00023658423456297	0.00025131252702834	0.00018340151795458	9999	0.97978647249398	0.402064444953259	1	0	0	0	0
CD14-PBMC-1389.bg	0.999313865570486	0.00026518927553127	0	0.00013346031584694	0.00028748483813547	9999	0.978572519511506	0.406121562118878	1	0	0	0	0
CD19_1.txt.bg	0	0.873090677822981	0	0	0.126909322177019	9999	0.926920775415474	0.378500911721999	0	1	0	0	0
CD19_2.txt.bg	0.00190399291288273	0.897949196500993	0	0.021932137531617	0.0782146730545071	9999	0.947425506826071	0.325120935702878	0	1	0	0	0
CD19_3.txt.bg	0	0.820030691512745	0	0	0.179969308487255	9999	0.920712357717823	0.392503168074381	0	1	0	0	0
CD19_4.txt.bg	0.00143024122545109	0.885826568328811	0	0.0133483700832569	0.0993948203624812	9999	0.953823678597668	0.303940136924354	0	1	0	0	0
CD19_5.txt.bg	0.0207336571877601	0.850161607113893	0	0.0209147287174311	0.108190006980916	9999	0.933447448417504	0.361691398932978	0	1	0	0	0
CD19_6.txt.bg	0.022256295678466	0.866238459912698	0	0.0121706879496176	0.099334556459218	9999	0.946263156296043	0.327244315966522	0	1	0	0	0
CD19-PBMC-1313.bg	0	0.998845161359279	0.00065577969099327	0.00049905894972773	0	9999	0.97606004929535	0.262687460498784	0	1	0	0	0
CD19-PBMC-1382.bg	0.0645192228740092	0.935480777125991	0	0	0	9999	0.862804974182538	0.533869212190367	0	1	0	0	0
CD19-PBMC-1389.bg	0.00014489495828058	0.999672866012101	0.00012051588812034	4.723040009694e-05	1.449274140133e-05	9999	0.969690516484343	0.288717327171808	0	1	0	0	0
CD4_1.txt.bg	0.159731131915893	0.0300349185941116	0.506928827595047	0.0783923039008285	0.224912817994119	9999	0.780706015197573	0.737909485422874	0	0	1	0	0
CD4_2.txt.bg	0.0866029892992276	0.071079909926366	0.505509258656136	0.101696278345733	0.235111563772537	9999	0.814333649266111	0.731105079481596	0	0	1	0	0
Cd4_3.txt.bg	0.105584417927951	0.0684446268606235	0.516051417127912	0.0923121427670358	0.217607395316478	9999	0.79692114680442	0.73579788449347	0	0	1	0	0
CD4_4.txt.bg	0.0714093823902887	0.0691787132124536	0.573319472373415	0.0876611788492927	0.19843125317455	9999	0.81059799370027	0.697880447538999	0	0	1	0	0
CD4_5.txt.bg	0.107037233752628	0.0740429695198583	0.52830204393314	0.0945513628082033	0.196066389986171	9999	0.743477393005943	0.758987831371641	0	0	1	0	0
CD4_6.txt.bg	0.085908909593496	0.0471297364031549	0.556116447857481	0.0889226955579778	0.22192221058789	9999	0.802159474083047	0.708759543458613	0	0	1	0	0
CD4-PBMC-1313.bg	4.614569305943e-05	1.204846701148e-05	0.999845995084886	0	9.581075504348e-05	9999	0.932807411271028	0.376865692724495	0	0	1	0	0
CD4-PBMC-1382.bg	0	0	1	0	0	9999	0.944056643779112	0.350397200805416	0	0	1	0	0
CD4-PBMC-1389.bg	0	0	0.999963333203701	0	3.666679629944e-05	9999	0.960106017527329	0.308791566299918	0	0	1	0	0
