Mixture	CD14	CD19	CD4	CD56	CD8	P.value	Correlation	RMSE	CD4_real	CD8_real	CD14_real	CD19_real	CD56_real	Neu_real	Eos_real
reinGran_1.txt.bg	0.807940280624343	0.00997065341931068	0	0.0528106814513338	0.129278384505012	9999	0.865271918637077	0.53206139141619	0.033797217	0.028827038	0.003976143	0.000994036	0.004970179	0.874751491	0.052683897
reinGran_2.txt.bg	0.773862814713775	0.0335463819823917	0.00288778747249486	0.0745009252363147	0.115202090595024	9999	0.870253338081603	0.510532608579714	0.046231156	0.022110553	0.007035176	0.003015075	0.005025126	0.858291457	0.058291457
reinGran_3.txt.bg	0.825898993795881	0.017852123176817	0	0.0541484910641616	0.102100391963141	9999	0.869658052091475	0.533032639537725	0.026422764	0.012195122	0.00101626	0.00101626	0	0.907520325	0.051829268
reinGran_4.txt.bg	0.813575315016876	0.0153238400371684	0	0.0754861864068735	0.0956146585390826	9999	0.873491296011325	0.5194752938208	0.015120968	0.006048387	0.003024194	0.003024194	0.001008065	0.914314516	0.057459677
reinGran_5.txt.bg	0.779061420776486	0.0488404565557493	0.0183700809210945	0.0771533512682476	0.0765746904784227	9999	0.866456405640292	0.520910940879731	0.016048144	0.006018054	0.004012036	0.002006018	0.001003009	0.95887663	0.012036108
reinGran_6.txt.bg	0.82234397309641	0.0188077585733298	0.0168389501784542	0.0604120769036931	0.0815972412481131	9999	0.871056308485985	0.529000206424779	0.030120482	0.014056225	0.003012048	0.002008032	0.002008032	0.914658635	0.034136546
renPBMC_1.txt.bg	0.295756350865991	0.0225101967690673	0.249081698972292	0.180657023064851	0.251994730327799	9999	0.229811975448124	0.975514368152223	0.290526316	0.204210526	0.075789474	0.043157895	0.102105263	0.275789474	0.008421053
renPBMC_2.txt.bg	0.304507150044651	0.0764417694958314	0.206549879199849	0.244524147538747	0.167977053720921	9999	0.160381455829951	0.997107370750358	0.339676499	0.072312084	0.213130352	0.099904853	0.094196004	0.17697431	0.003805899
renPBMC_3.txt.bg	0.240769635856434	0.170701126770802	0.16013623334609	0.232669775288095	0.19572322873858	9999	0.0131745567028571	1.01955608569608	0.55212766	0.137234043	0.108510638	0.053191489	0.057446809	0.077659574	0.013829787
renPBMC_4.txt.bg	0.178134925085057	0.112064839985713	0.255081964543636	0.224181284167174	0.230536986218421	9999	0.211233894129888	0.975845246835966	0.397602398	0.182817183	0.068931069	0.082917083	0.067932068	0.197802198	0.001998002
renPBMC_5.txt.bg	0.373581724727269	0.156306885540301	0.189072931916148	0.125975443106592	0.15506301470969	9999	0.753536769154095	0.758992747035367	0.498439126	0.089490114	0.055150884	0.088449532	0.036420395	0.225806452	0.006243496
renPBMC_6.txt.bg	0.121697805897859	0.0486152896435003	0.222160027456545	0.375009346386313	0.232517530615781	9999	0.0379386401376399	1.03442177063282	0.360594796	0.125464684	0.089219331	0.101301115	0.087360595	0.230483271	0.005576208
renWB_1.txt.bg	0.456315955757512	0.0518917022601498	0.112898228648919	0.174177977913959	0.204716135419461	9999	0.747088612176195	0.709099864652539	0.140756303	0.121848739	0.06092437	0.022058824	0.042016807	0.577731092	0.034663866
renWB_2.txt.bg	0.53573200368213	0.0787789787366437	0.084073836009813	0.146984489777449	0.154430691793965	9999	0.816745886787213	0.616356587576489	0.138203356	0.038499506	0.09970385	0.029615005	0.033563672	0.612043435	0.048371175
renWB_3.txt.bg	0.5970657527582	0.0595964141133501	0.0906792107393784	0.107387573599463	0.145271048789608	9999	0.823541562694049	0.584847296022984	0.115583075	0.042311662	0.013415893	0.019607843	0.010319917	0.760577915	0.038183695
renWB_4.txt.bg	0.495781048445329	0.121175207540004	0.0974004647718903	0.116278125523357	0.169365153719421	9999	0.807838409268133	0.647297583662852	0.114026236	0.056508577	0.026236125	0.043390515	0.016145308	0.692230071	0.051463169
renWB_5.txt.bg	0.684228126111811	0.0519386591337668	0.0478708071585887	0.0788672118631793	0.137095195732654	9999	0.863793770600468	0.511965993457633	0.113567839	0.036180905	0.053266332	0.016080402	0.007035176	0.76281407	0.011055276
renWB_6.txt.bg	0.529073853059172	0.0797298568263403	0.118205507762257	0.118298028193353	0.154692754158877	9999	0.821783359589732	0.615422308562472	0.187196896	0.077594568	0.070805044	0.050436469	0.037827352	0.530552861	0.045586809
