Mixture	CD14	CD19	CD4	CD56	CD8	Eos	Neu	P.value	Correlation	RMSE	CD4_real	CD8_real	CD14_real	CD19_real	CD56_real	Neu_real	Eos_real
reinGran_1.txt.bg	0.00368538470505099	0.00664221298821671	0.0222708654902345	0.0337859031570025	0.0102588221373409	0	0.923356811522154	9999	0.961631183586814	0.288826262062749	0.033797217	0.028827038	0.003976143	0.000994036	0.004970179	0.874751491	0.052683897
reinGran_2.txt.bg	0.00741324462066487	0	0.0176942821026793	0.0150182471838004	0	0	0.959874226092856	9999	0.967111079241016	0.259006141730073	0.046231156	0.022110553	0.007035176	0.003015075	0.005025126	0.858291457	0.058291457
reinGran_3.txt.bg	0.0165617891508438	0.00853122947012624	0.0130362916465761	0	0.0260644229544233	0	0.93580626677803	9999	0.956202061107063	0.299509521309409	0.026422764	0.012195122	0.00101626	0.00101626	0	0.907520325	0.051829268
reinGran_4.txt.bg	0.00779252198918827	0.00637557464008066	0.00720748679533183	1.010354202636e-05	0	0	0.978614313033373	9999	0.971758772863925	0.237997078242275	0.015120968	0.006048387	0.003024194	0.003024194	0.001008065	0.914314516	0.057459677
reinGran_5.txt.bg	0	0	0.0176885647395049	0.00613083651924058	0	0	0.976180598741255	9999	0.945281517103286	0.326329745788868	0.016048144	0.006018054	0.004012036	0.002006018	0.001003009	0.95887663	0.012036108
reinGran_6.txt.bg	0	0	0.0218024231023683	0.0159711803867741	0	0	0.962226396510858	9999	0.96301206592367	0.272993287694008	0.030120482	0.014056225	0.003012048	0.002008032	0.002008032	0.914658635	0.034136546
renPBMC_1.txt.bg	0.170439536567327	0.0564710114047713	0.235086439891181	0.242897645559544	0.167649214540981	0	0.127456152036195	9999	0.928145251478341	0.578171102631544	0.290526316	0.204210526	0.075789474	0.043157895	0.102105263	0.275789474	0.008421053
renPBMC_2.txt.bg	0.31483291894205	0.101465157960232	0.298007185677521	0.128926289868286	0.122026348776831	0	0.0347420987750802	9999	0.927430969605098	0.576228408453137	0.339676499	0.072312084	0.213130352	0.099904853	0.094196004	0.17697431	0.003805899
renPBMC_3.txt.bg	0.229721727740314	0.0718211955848742	0.346328895897011	0.0850478674444458	0.219871462151497	0.0243201079154979	0.0228887432663604	9999	0.946726252040875	0.506085237860501	0.55212766	0.137234043	0.108510638	0.053191489	0.057446809	0.077659574	0.013829787
renPBMC_4.txt.bg	0.136803146664272	0.168806116786059	0.358550107659942	0.0697711277031708	0.180761582425102	0	0.0853079187614544	9999	0.938420421424882	0.552432546356773	0.397602398	0.182817183	0.068931069	0.082917083	0.067932068	0.197802198	0.001998002
renPBMC_5.txt.bg	0.25750532132206	0.115513494851903	0.352030800966241	0.0135744964888426	0.104480697421538	0	0.156895188949415	9999	0.91884702868526	0.602896534255749	0.498439126	0.089490114	0.055150884	0.088449532	0.036420395	0.225806452	0.006243496
renPBMC_6.txt.bg	0.118474826868367	0.135328013431027	0.353361613671769	0.146154104334026	0.128424044668826	0	0.118257397025985	9999	0.944758062533921	0.564757929217145	0.360594796	0.125464684	0.089219331	0.101301115	0.087360595	0.230483271	0.005576208
renWB_1.txt.bg	0.0568495433634389	0.0448904023340525	0.131680114179936	0.175714866950644	0.113210629228047	0	0.477654443943882	9999	0.906416158144375	0.61549821759959	0.140756303	0.121848739	0.06092437	0.022058824	0.042016807	0.577731092	0.034663866
renWB_2.txt.bg	0.0993274574069181	0.0587863998932737	0.144128942036377	0.0765595613176518	0.0340396975539244	0	0.587157941791855	9999	0.906166782103492	0.55560968486942	0.138203356	0.038499506	0.09970385	0.029615005	0.033563672	0.612043435	0.048371175
renWB_3.txt.bg	0.0439968600147867	0.0313134869669971	0.144361509867006	0.0297274693561499	0.107451346492707	0	0.643149327302354	9999	0.916655197358139	0.516944737832311	0.115583075	0.042311662	0.013415893	0.019607843	0.010319917	0.760577915	0.038183695
renWB_4.txt.bg	0.0314760783071122	0.0824874948918026	0.163448141033971	0.0311397449996994	0.0800262266693704	0	0.611422314098044	9999	0.912205298034295	0.556613437372883	0.114026236	0.056508577	0.026236125	0.043390515	0.016145308	0.692230071	0.051463169
renWB_5.txt.bg	0.0476375133981515	0.0243546653686327	0.089311960524006	0	0.0476992364845636	0	0.790996624224646	9999	0.915237886522729	0.438988287763202	0.113567839	0.036180905	0.053266332	0.016080402	0.007035176	0.76281407	0.011055276
renWB_6.txt.bg	0.0272688465465733	0.0688029205059071	0.166989568185943	0.0394594189507649	0.0618055687072685	0	0.635673677103543	9999	0.911601144335431	0.537044698679391	0.187196896	0.077594568	0.070805044	0.050436469	0.037827352	0.530552861	0.045586809
