predicted	ground_truth	celltype
0.003685385	0.003976143	CD14
0.007413245	0.007035176	CD14
0.016561789	0.00101626	CD14
0.007792522	0.003024194	CD14
0	0.004012036	CD14
0	0.003012048	CD14
0.170439537	0.075789474	CD14
0.314832919	0.213130352	CD14
0.229721728	0.108510638	CD14
0.136803147	0.068931069	CD14
0.257505321	0.055150884	CD14
0.118474827	0.089219331	CD14
0.056849543	0.06092437	CD14
0.099327457	0.09970385	CD14
0.04399686	0.013415893	CD14
0.031476078	0.026236125	CD14
0.047637513	0.053266332	CD14
0.027268847	0.070805044	CD14
0.006642213	0.000994036	CD19
0	0.003015075	CD19
0.008531229	0.00101626	CD19
0.006375575	0.003024194	CD19
0	0.002006018	CD19
0	0.002008032	CD19
0.056471011	0.043157895	CD19
0.101465158	0.099904853	CD19
0.071821196	0.053191489	CD19
0.168806117	0.082917083	CD19
0.115513495	0.088449532	CD19
0.135328013	0.101301115	CD19
0.044890402	0.022058824	CD19
0.0587864	0.029615005	CD19
0.031313487	0.019607843	CD19
0.082487495	0.043390515	CD19
0.024354665	0.016080402	CD19
0.068802921	0.050436469	CD19
0.033785903	0.004970179	CD56
0.015018247	0.005025126	CD56
0	0	CD56
1.01E-05	0.001008065	CD56
0.006130837	0.001003009	CD56
0.01597118	0.002008032	CD56
0.242897646	0.102105263	CD56
0.12892629	0.094196004	CD56
0.085047867	0.057446809	CD56
0.069771128	0.067932068	CD56
0.013574496	0.036420395	CD56
0.146154104	0.087360595	CD56
0.175714867	0.042016807	CD56
0.076559561	0.033563672	CD56
0.029727469	0.010319917	CD56
0.031139745	0.016145308	CD56
0	0.007035176	CD56
0.039459419	0.037827352	CD56
0.022270865	0.033797217	CD4
0.017694282	0.046231156	CD4
0.013036292	0.026422764	CD4
0.007207487	0.015120968	CD4
0.017688565	0.016048144	CD4
0.021802423	0.030120482	CD4
0.23508644	0.290526316	CD4
0.298007186	0.339676499	CD4
0.346328896	0.55212766	CD4
0.358550108	0.397602398	CD4
0.352030801	0.498439126	CD4
0.353361614	0.360594796	CD4
0.131680114	0.140756303	CD4
0.144128942	0.138203356	CD4
0.14436151	0.115583075	CD4
0.163448141	0.114026236	CD4
0.089311961	0.113567839	CD4
0.166989568	0.187196896	CD4
0.010258822	0.028827038	CD8
0	0.022110553	CD8
0.026064423	0.012195122	CD8
0	0.006048387	CD8
0	0.006018054	CD8
0	0.014056225	CD8
0.167649215	0.204210526	CD8
0.122026349	0.072312084	CD8
0.219871462	0.137234043	CD8
0.180761582	0.182817183	CD8
0.104480697	0.089490114	CD8
0.128424045	0.125464684	CD8
0.113210629	0.121848739	CD8
0.034039698	0.038499506	CD8
0.107451346	0.042311662	CD8
0.080026227	0.056508577	CD8
0.047699236	0.036180905	CD8
0.061805569	0.077594568	CD8
0.923356812	0.874751491	Neu
0.959874226	0.858291457	Neu
0.935806267	0.907520325	Neu
0.978614313	0.914314516	Neu
0.976180599	0.95887663	Neu
0.962226397	0.914658635	Neu
0.127456152	0.275789474	Neu
0.034742099	0.17697431	Neu
0.022888743	0.077659574	Neu
0.085307919	0.197802198	Neu
0.156895189	0.225806452	Neu
0.118257397	0.230483271	Neu
0.477654444	0.577731092	Neu
0.587157942	0.612043435	Neu
0.643149327	0.760577915	Neu
0.611422314	0.692230071	Neu
0.790996624	0.76281407	Neu
0.635673677	0.530552861	Neu
