Mixture	CD14_real	CD19_real	CD4_real	CD56_real	CD8_real
S01BHIA1_mono.bg	1	0	0	0	0
S01MAPA1_mono.bg	1	0	0	0	0
S01E03A1_mono.bg	1	0	0	0	0
C003N351_memb.bg	0	1	0	0	0
S017RE51_memb.bg	0	1	0	0	0
S01ECGA1_naiveb.bg	0	1	0	0	0
NBC_NC11_83_naiveb.bg	0	1	0	0	0
NBC_NC11_41_naiveb.bg	0	1	0	0	0
W653_memb.bg	0	1	0	0	0
C002CTA1bs_cytnk.bg	0	0	0	1	0
S01E8O51_cytnk.bg	0	0	0	1	0
C006G551_cytnk.bg	0	0	0	1	0
C0067N51_cytnk.bg	0	0	0	1	0
S008H151_CD4.bg	0	0	1	0	0
S009W451_CD4.bg	0	0	1	0	0
P584_CD4.bg	0	0	1	0	0
P586_CD4.bg	0	0	1	0	0
C003VO55_CD8.bg	0	0	0	0	1
C00256A1bs_CD8.bg	0	0	0	0	1
S00C2F51_CD8.bg	0	0	0	0	1
C0066P51_CD8.bg	0	0	0	0	1
CD14_1.txt.bg	1	0	0	0	0
CD14_2.txt.bg	1	0	0	0	0
CD14_3.txt.bg	1	0	0	0	0
CD14_4.txt.bg	1	0	0	0	0
CD14_5.txt.bg	1	0	0	0	0
CD14_6.txt.bg	1	0	0	0	0
CD19_1.txt.bg	0	1	0	0	0
CD19_2.txt.bg	0	1	0	0	0
CD19_3.txt.bg	0	1	0	0	0
CD19_4.txt.bg	0	1	0	0	0
CD19_5.txt.bg	0	1	0	0	0
CD19_6.txt.bg	0	1	0	0	0
CD56_1.txt.bg	0	0	0	1	0
CD56_2.txt.bg	0	0	0	1	0
CD56_3.txt.bg	0	0	0	1	0
CD56_4.txt.bg	0	0	0	1	0
CD56_5.txt.bg	0	0	0	1	0
CD56_6.txt.bg	0	0	0	1	0
CD4_1.txt.bg	0	0	1	0	0
CD4_2.txt.bg	0	0	1	0	0
Cd4_3.txt.bg	0	0	1	0	0
CD4_4.txt.bg	0	0	1	0	0
CD4_5.txt.bg	0	0	1	0	0
CD4_6.txt.bg	0	0	1	0	0
CD8_1.txt.bg	0	0	0	0	1
CD8_2.txt.bg	0	0	0	0	1
CD8_3.txt.bg	0	0	0	0	1
CD8_4.txt.bg	0	0	0	0	1
CD8_5.txt.bg	0	0	0	0	1
CD8_6.txt.bg	0	0	0	0	1
CD8-PBMC-1389.bg	0	0	0	0	1
CD8-PBMC-1382.bg	0	0	0	0	1
CD8-PBMC-1313.bg	0	0	0	0	1
CD56-PBMC-1389.bg	0	0	0	1	0
CD56-PBMC-1382.bg	0	0	0	1	0
CD56-PBMC-1313.bg	0	0	0	1	0
CD4-PBMC-1389.bg	0	0	1	0	0
CD4-PBMC-1382.bg	0	0	1	0	0
CD4-PBMC-1313.bg	0	0	1	0	0
CD19-PBMC-1389.bg	0	1	0	0	0
CD19-PBMC-1382.bg	0	1	0	0	0
CD19-PBMC-1313.bg	0	1	0	0	0
CD14-PBMC-1389.bg	1	0	0	0	0
CD14-PBMC-1382.bg	1	0	0	0	0
CD14-PBMC-1313.bg	1	0	0	0	0
