Mixture	CD4_real	CD8_real	CD14_real	CD19_real	CD56_real	Neu_real	Eos_real
renWB_1.txt.bg	0.140756303	0.121848739	0.06092437	0.022058824	0.042016807	0.577731092	0.034663866
renWB_2.txt.bg	0.138203356	0.038499506	0.09970385	0.029615005	0.033563672	0.612043435	0.048371175
renWB_3.txt.bg	0.115583075	0.042311662	0.013415893	0.019607843	0.010319917	0.760577915	0.038183695
renWB_4.txt.bg	0.114026236	0.056508577	0.026236125	0.043390515	0.016145308	0.692230071	0.051463169
renWB_5.txt.bg	0.113567839	0.036180905	0.053266332	0.016080402	0.007035176	0.76281407	0.011055276
renWB_6.txt.bg	0.187196896	0.077594568	0.070805044	0.050436469	0.037827352	0.530552861	0.045586809
renPBMC_1.txt.bg	0.290526316	0.204210526	0.075789474	0.043157895	0.102105263	0.275789474	0.008421053
renPBMC_2.txt.bg	0.339676499	0.072312084	0.213130352	0.099904853	0.094196004	0.17697431	0.003805899
renPBMC_3.txt.bg	0.55212766	0.137234043	0.108510638	0.053191489	0.057446809	0.077659574	0.013829787
renPBMC_4.txt.bg	0.397602398	0.182817183	0.068931069	0.082917083	0.067932068	0.197802198	0.001998002
renPBMC_5.txt.bg	0.498439126	0.089490114	0.055150884	0.088449532	0.036420395	0.225806452	0.006243496
renPBMC_6.txt.bg	0.360594796	0.125464684	0.089219331	0.101301115	0.087360595	0.230483271	0.005576208
reinGran_1.txt.bg	0.033797217	0.028827038	0.003976143	0.000994036	0.004970179	0.874751491	0.052683897
reinGran_2.txt.bg	0.046231156	0.022110553	0.007035176	0.003015075	0.005025126	0.858291457	0.058291457
reinGran_3.txt.bg	0.026422764	0.012195122	0.00101626	0.00101626	0	0.907520325	0.051829268
reinGran_4.txt.bg	0.015120968	0.006048387	0.003024194	0.003024194	0.001008065	0.914314516	0.057459677
reinGran_5.txt.bg	0.016048144	0.006018054	0.004012036	0.002006018	0.001003009	0.95887663	0.012036108
reinGran_6.txt.bg	0.030120482	0.014056225	0.003012048	0.002008032	0.002008032	0.914658635	0.034136546
