chrom	start	end	Tregs-NK	Tregs-Naive CD4 T	Tregs-Naive CD8 T	Tregs-CD4 TCM	Tregs-CD8 TCM	Tregs-CD8 TEMRA	Tregs-CD4 TEM	Tregs-CD8 TEM	Minimum delta	Maximum delta	Average delta	(Minimum delta+Average delta)/2
chr11	33516441	33516443	0.9666666666666668	0.9806666666666668	1.0	0.95	1.0	1.0	1.0	1.0	0.95	1.0	0.9871666666666667	0.9685833333333334
chr16	78311789	78311791	0.956	1.0	0.9776666666666666	0.935	0.9420000000000001	0.8135000000000001	0.9520000000000001	0.8705	0.8135000000000001	1.0	0.9308333333333332	0.8721666666666666
chr18	3898035	3898037	0.924	0.9069999999999998	0.882	0.8814999999999998	0.8334999999999999	0.9065	0.8939999999999999	0.8889999999999999	0.8334999999999999	0.924	0.8896875000000001	0.8615937499999999
chr2	235763066	235763068	0.9445	0.8713333333333333	0.926	0.92	0.9645	0.9165	0.8	1.0	0.8	1.0	0.9178541666666666	0.8589270833333333
chrX	49260634	49260636	0.8906666666666667	0.8663333333333334	0.9300000000000002	0.823	0.9305	0.8995	0.833	0.9095	0.823	0.9305	0.8853125	0.85415625
chr6	158349654	158349656	0.737	1.0	0.9373333333333336	0.9725	0.9375	1.0	0.943	1.0	0.737	1.0	0.9409166666666666	0.8389583333333333
chr5	180312122	180312124	0.8445	0.9013333333333332	0.7863333333333333	0.975	0.922	1.0	0.8975	0.7909999999999999	0.7863333333333333	1.0	0.8897083333333333	0.8380208333333333
chrX	49260621	49260623	0.9059999999999999	0.8270000000000001	0.8823333333333332	0.7724999999999999	0.858	0.8604999999999999	0.8019999999999999	0.8689999999999999	0.7724999999999999	0.9059999999999999	0.8471666666666665	0.8098333333333332
chr8	10631343	10631345	0.7776666666666667	0.8905000000000001	0.8475	0.8085	0.7759999999999999	0.784	0.9	0.953	0.7759999999999999	0.953	0.8421458333333334	0.8090729166666666
chr20	62858843	62858845	0.7125	0.873	0.9375	0.9615	0.9	1.0	1.0	0.8240000000000001	0.7125	1.0	0.9010625	0.80678125
chr12	21214440	21214442	0.9515	0.8763333333333335	0.8143333333333334	0.7375	0.919	0.929	0.919	0.835	0.7375	0.9515	0.8727083333333335	0.8051041666666667
chr2	203872663	203872665	0.8836666666666667	0.8510000000000001	0.8733333333333334	0.758	0.8735	0.8875000000000001	0.794	0.7515000000000001	0.7515000000000001	0.8875000000000001	0.8340625000000002	0.7927812500000001
chrX	139080998	139081000	0.9423333333333334	0.9133333333333334	0.9153333333333332	0.889	0.7975	0.722	0.805	0.838	0.722	0.9423333333333334	0.8528125000000001	0.7874062500000001
chr8	23377456	23377458	0.8716666666666667	1.0	0.7223333333333333	0.95	0.743	0.8390000000000001	0.9570000000000001	0.7235	0.7223333333333333	1.0	0.8508125	0.7865729166666666
chr1	42277720	42277722	0.857	0.8125	0.7164999999999999	0.875	0.9	0.9165	0.75	1.0	0.7164999999999999	1.0	0.8534375000000001	0.78496875
chrX	130364288	130364290	0.9206666666666666	0.875	0.943	0.7775	0.757	0.857	0.7140000000000001	0.8335	0.7140000000000001	0.943	0.8347083333333334	0.7743541666666667
chrX	49265320	49265322	0.802	0.833	0.7996666666666667	0.7829999999999999	0.7615000000000001	0.7559999999999999	0.7775000000000001	0.764	0.7559999999999999	0.833	0.7845833333333334	0.7702916666666666
chr10	6060269	6060271	0.888	0.916	0.9016666666666666	0.713	0.785	0.8455	0.7140000000000001	0.8434999999999999	0.713	0.916	0.8258333333333334	0.7694166666666666
chr12	111723443	111723445	0.667	1.0	1.0	1.0	0.875	0.667	1.0	0.75	0.667	1.0	0.869875	0.7684375
chrX	104717927	104717929	1.0	1.0	0.7010000000000001	0.833	0.846	0.7659999999999999	0.75	0.78	0.7010000000000001	1.0	0.8345	0.76775
chr11	33516445	33516447	0.8250000000000001	0.9176666666666669	0.7659999999999999	0.8565	0.7085	0.7545000000000001	0.9440000000000001	0.75	0.7085	0.9440000000000001	0.8152708333333334	0.7618854166666666
chr10	17646907	17646909	0.8300000000000001	0.7960000000000002	0.8836666666666667	0.7484999999999999	0.7160000000000001	0.845	0.7985	0.8340000000000001	0.7160000000000001	0.8836666666666667	0.8064583333333333	0.7612291666666666
chr10	6040387	6040389	0.9496666666666668	0.9	0.96	0.669	0.74	0.9025	0.7609999999999999	0.8785000000000001	0.669	0.96	0.8450833333333333	0.7570416666666666
chr10	6060295	6060297	0.8626666666666666	0.8343333333333335	0.8643333333333334	0.7035	0.8009999999999999	0.8230000000000001	0.8029999999999999	0.7775	0.7035	0.8643333333333334	0.8086666666666668	0.7560833333333334
chr7	18524836	18524838	0.9545	1.0	1.0	0.7	0.667	1.0	0.7140000000000001	0.7225	0.667	1.0	0.84475	0.7558750000000001
chr3	32160583	32160585	0.8166666666666668	0.6646666666666666	0.8193333333333334	0.9640000000000001	0.857	0.7335	0.9440000000000001	0.9215	0.6646666666666666	0.9640000000000001	0.8400833333333334	0.752375
chrX	49264212	49264214	0.8276666666666667	0.8146666666666667	0.7786666666666666	0.764	0.718	0.821	0.76	0.8	0.718	0.8276666666666667	0.7854999999999999	0.7517499999999999
chr14	47045990	47045992	0.6963333333333334	0.943	0.91	0.9505	0.897	0.6555	0.778	0.9359999999999999	0.6555	0.9505	0.8457916666666667	0.7506458333333333
chr2	203874937	203874939	0.8863333333333333	0.9033333333333332	0.8343333333333334	0.6679999999999999	0.883	0.9225	0.685	0.8135	0.6679999999999999	0.9225	0.8245000000000001	0.7462500000000001
chr8	143307888	143307890	0.875	0.7263333333333333	1.0	1.0	0.7225	0.625	1.0	0.9665	0.625	1.0	0.8644166666666666	0.7447083333333333
