chrom	start	Mono-others	Bcell-others	CD4-others	CD8-others	NK-others
chr1	938180	0.9	-0.3421666666666667	0.9	0.9	0.9
chr1	939582	0.9	-0.43241666666666667	0.9	0.9	0.9
chr1	936471	0.9	-0.29074999999999995	0.9	0.9	0.9
chr1	935038	0.9	-0.2665	0.9	0.9	0.9
chr1	932975	0.9	-0.2268333333333333	0.9	0.9	0.9
chr1	933908	0.9	0.9	-0.368125	0.9	0.9
chr1	938879	0.9	0.9	-0.3353750000000001	0.9	0.9
chr1	927476	0.9	0.9	-0.3614583333333333	0.9	0.9
chr1	937456	0.9	0.9	-0.3416666666666667	0.9	0.9
chr1	932855	0.9	0.9	-0.30275	0.9	0.9
chr1	923666	0.9	0.9	-0.31666666666666665	0.9	0.9
chr1	64562	0.9	0.9	0.9	-0.5535833333333334	0.9
chr1	929305	0.9	0.9	0.9	-0.4865	0.9
chr1	929872	0.9	0.9	0.9	-0.3970833333333333	0.9
chr1	926297	0.9	0.9	0.9	-0.3433333333333333	0.9
chr1	933530	0.9	0.9	0.9	-0.412	0.9
chr1	932752	0.9	0.9	0.9	-0.3207499999999999	0.9
chr1	936432	-0.35775	0.9	0.9	0.9	0.9
chr1	939458	-0.35679166666666673	0.9	0.9	0.9	0.9
chr1	936159	-0.31150000000000005	0.9	0.9	0.9	0.9
chr1	930163	-0.32525	0.9	0.9	0.9	0.9
chr1	925758	-0.2685416666666667	0.9	0.9	0.9	0.9
chr1	936082	0.9	0.9	0.9	0.9	-0.4686666666666667
chr1	928247	0.9	0.9	0.9	0.9	-0.41875
chr1	935577	0.9	0.9	0.9	0.9	-0.3131666666666668
chr1	940039	0.9	0.9	0.9	0.9	-0.3339583333333333
chr1	923025	0.9	0.9	0.9	0.9	-0.30941666666666656
chr1	924594	0.9	0.9	0.9	0.9	-0.3043333333333333
chr1	930255	0.9	0.9	0.9	0.9	-0.2927500000000001
chr1	929755	0.9	0.9	0.9	0.9	-0.25383333333333336
