ReadName	allcelltype	ucelltype	assignedcelltype	CheckedCpG	mismatchCpG	notacceptedCpG	acceptedCpG	finalacceptedfor	finalrejectedfor	MateCIGARok
A00580:76:HFLG2DSXX:3:1222:11026:30013	"[""'CD8'""]"	"[""'CD8'""]"	NotAssigned	['chr1:24962993']	['']	['chr1:24962993']	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:3:2577:14082:13197	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24963014', 'chr1:24962993']"	['']	['chr1:24962993']	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:1628:27534:22341	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24963077', 'chr1:24963014', 'chr1:24962993']"	['']	"['chr1:24963077', 'chr1:24963014', 'chr1:24962993']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:1506:17011:10222	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24963077', 'chr1:24963014', 'chr1:24962993']"	['']	"['chr1:24963077', 'chr1:24962993']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:2:2245:23710:8015	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24963077', 'chr1:24963014', 'chr1:24962993']"	['']	"['chr1:24963077', 'chr1:24963014', 'chr1:24962993']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:2:1236:15646:11616	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24963077', 'chr1:24963014', 'chr1:24962993']"	['']	"['chr1:24963014', 'chr1:24962993']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:3:2257:24722:25551	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24963077', 'chr1:24963014']"	['']	"['chr1:24963077', 'chr1:24963014']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:1564:22236:7091	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24963077', 'chr1:24963014', 'chr1:24962993']"	['']	"['chr1:24963077', 'chr1:24963014', 'chr1:24962993']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:2501:26422:6136	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24963077', 'chr1:24963014', 'chr1:24963151', 'chr1:24962993']"	['']	"['chr1:24963077', 'chr1:24963014', 'chr1:24963151', 'chr1:24962993']"	['']	notdetermined	"[""'CD8'""]"	Y
A00580:76:HFLG2DSXX:4:1661:31575:18161	"[""'CD8'"", ""'CD8'"", ""'CD8'"", ""'CD8'""]"	"[""'CD8'""]"	NotAssigned	"['chr1:24963077', 'chr1:24963014', 'chr1:24963151', 'chr1:24962993']"	['']	"['chr1:24963077', 'chr1:24963014', 'chr1:24963151', 'chr1:24962993']"	['']	notdetermined	"[""'CD8'""]"	Y
