chrom	start	end	aCD14-PBMC-1313.bedgraph_rolled	aCD14-PBMC-1382.bedgraph_rolled	aCD14-PBMC-1389.bedgraph_rolled	bCD19-PBMC-1313.bedgraph_rolled	bCD19-PBMC-1382.bedgraph_rolled	bCD19-PBMC-1389.bedgraph_rolled	cCD4-PBMC-1313.bedgraph_rolled	cCD4-PBMC-1382.bedgraph_rolled	cCD4-PBMC-1389.bedgraph_rolled	dCD8-PBMC-1313.bedgraph_rolled	dCD8-PBMC-1382.bedgraph_rolled	dCD8-PBMC-1389.bedgraph_rolled	eCD56-PBMC-1313.bedgraph_rolled	eCD56-PBMC-1382.bedgraph_rolled	eCD56-PBMC-1389.bedgraph_rolled
chr1	924750	924752	0.153	NA	0.335	0.222	0	0	0.25	0	0.33	0.765	0	0.22	0.167	0.25	0.497
chr1	925038	925040	0.429	NA	0.333	NA	0	0.111	NA	0.503	0	0.289	0.5	0.571	0.283	0	NA
chr1	925544	925546	0.417	NA	0.249	0	0	0	0.43	0	0	0.198	0.753	0.111	0.402	0	0.25
chr1	929547	929549	0.637	0.831	0.857	0.645	0.699	0.6	0.835	1	0.798	0.702	0.753	0.889	0.841	0.911	NA
chr1	930937	930939	0.75	NA	0.2	NA	0	0	0.67	0.4	0	0.11	0.33	0	0.25	0	NA
chr1	932311	932313	1	0.8	0.889	0.889	0.833	0.4	NA	1	0.75	0.929	0.875	1	0.818	NA	1
chr1	932975	932977	0.857	0.75	0.802	0.749	0.602	0.443	1	0.6	1	0.722	0.67	1	1	0.497	1
chr1	933094	933096	1	1	1	0.924	0.702	0.7	1	1	NA	1	0.714	1	0.751	1	1
chr1	933650	933652	0.75	0.33	0.857	0.25	0.711	0.557	0.667	0.602	0.802	0.613	0.753	0.765	0.598	0.634	1
chr1	935038	935040	0.4	NA	0.854	0.33	0	0.667	NA	0.402	1	0.702	0.143	0.857	1	NA	0
chr1	936428	936430	1	0.501	0.777	0.9	0.25	0.8	0.398	1	1	1	0.8	1	0.75	1	1
chr1	936471	936473	1	1	0.624	0.876	0.2	0.8	0.75	1	1	0.819	1	1	0.8	1	1
chr1	937641	937643	1	NA	1	0.667	0.667	1	0.8	NA	1	0.878	1	1	1	1	1
chr1	938180	938182	0.953	0.833	1	0.833	0.249	0.5	1	0.82	1	0.935	0.7	0.926	0.665	0.602	1
chr1	939074	939076	1	1	0.876	0.553	NA	1	NA	1	1	1	1	0.857	1	1	1
chr1	939229	939231	0.898	0.5	0.729	0.846	0.2	0.5	NA	1	1	0.775	0.546	0.497	1	1	0.854
chr1	939291	939293	0.9	1	0.872	0.798	0.4	0.835	0.802	1	0.833	1	0.753	0.667	0.73	0.75	1
chr1	939582	939584	1	1	0.714	0.413	0.2	0.333	0.67	1	0.33	0.468	0.5	0.545	0.857	1	0.889
chr1	939731	939733	0.772	0.6	0.857	0.5	0.33	0.663	0.5	NA	0.777	0.95	0.753	0.8	0.889	0.802	0.78
chr1	939983	939985	0.333	0.25	0	0	0.167	0	0.5	0.497	0.5	0.67	0.198	0.4	0.167	0.25	0
