chrom	start	end	NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB	shouldbechrom	pos
chr1	687193	687195	0.7903333333333333	0.8740000000000001	0.8445	0.6726666666666666	0.32266666666666666	0.9363333333333334	0.9886666666666668	0.9076666666666666	0.938	0.9790000000000001	0.899	0.9683333333333334	0.605	0.391	0.873	0.6365000000000001	0.532	0.217	0.7735000000000001	0.5625	0.6855	0.6679999999999999	chr1	687194
chr1	687328	687330	1.0	0.9763333333333334	0.9583333333333334	0.909	0.4	0.9556666666666668	1.0	0.9046666666666666	1.0	0.9375	0.9229999999999999	0.9776666666666666	0.625	0.7395	0.9445	0.653	0.7659999999999999	0.941	0.8335	0.857	0.8335	0.8109999999999999	chr1	687329
chr1	922981	922983	0.9583333333333334	0.9456666666666664	0.943	0.955	0.7733333333333333	0.9876666666666668	0.9663333333333334	0.9646666666666668	0.9693333333333332	0.9705	0.9209999999999999	0.9646666666666666	0.947	0.9465	0.9645	0.9345	0.9109999999999999	0.9445	0.9540000000000001	0.9465	0.9405	0.932	chr1	922982
chr1	922991	922993	0.9670000000000001	0.956	0.9330000000000002	0.9436666666666664	0.9503333333333334	0.9593333333333334	0.967	0.9593333333333334	0.9526666666666668	0.9115	0.9735	0.945	0.9415	0.9125	0.958	0.911	0.9309999999999999	0.937	0.973	0.9345	0.9475	0.9520000000000001	chr1	922992
chr1	923025	923027	0.852	0.828	0.79	0.7966666666666665	0.248	0.6583333333333333	0.746	0.6796666666666665	0.698	0.7025	0.7275	0.6493333333333333	0.7435	0.742	0.6980000000000001	0.727	0.6709999999999999	0.7335	0.7949999999999999	0.7035	0.753	0.66	chr1	923026
chr1	923048	923050	0.9103333333333332	0.9153333333333332	0.9303333333333336	0.9113333333333332	0.7010000000000001	0.9	0.917	0.932	0.9323333333333332	0.8674999999999999	0.9155	0.8763333333333335	0.9635	0.9415	0.89	0.9425	0.9485	0.9585	0.943	0.9485	0.9125	0.947	chr1	923049
chr1	923053	923055	0.9426666666666668	0.8766666666666666	0.8433333333333334	0.941	0.5246666666666666	0.8896666666666667	0.8303333333333334	0.8773333333333334	0.8616666666666667	0.8314999999999999	0.9425	0.8120000000000002	0.903	0.9185	0.7235	0.927	0.9115	0.9785	0.8959999999999999	0.9165	0.897	0.8785000000000001	chr1	923054
chr1	923070	923072	0.7583333333333333	0.8663333333333334	0.7306666666666666	0.815	0.588	0.7356666666666666	0.7106666666666667	0.6286666666666667	0.759	0.6525000000000001	0.7135	0.6576666666666667	0.894	0.8605	0.627	0.8025	0.8140000000000001	0.9335	0.755	0.794	0.7350000000000001	0.8	chr1	923071
chr1	923081	923083	0.8526666666666666	0.8576666666666667	0.884	0.8999999999999999	0.5529999999999999	0.8009999999999999	0.8573333333333334	0.7926666666666667	0.8553333333333333	0.7909999999999999	0.7785	0.6993333333333333	0.8855	0.8955	0.8295	0.928	0.892	0.92	0.875	0.8505	0.802	0.887	chr1	923082
chr1	923166	923168	0.7533333333333334	0.7653333333333334	0.602	0.6789999999999999	0.05466666666666667	0.6493333333333333	0.6773333333333333	0.5616666666666666	0.723	0.5389999999999999	0.542	0.446	0.627	0.584	0.42	0.4745	0.47200000000000003	0.4755	0.6379999999999999	0.5005000000000001	0.652	0.1855	chr1	923167
chr1	923177	923179	0.7323333333333334	0.8086666666666668	0.7496666666666667	0.7033333333333333	0.19700000000000004	0.555	0.568	0.5870000000000001	0.6716666666666667	0.6479999999999999	0.5505	0.4786666666666666	0.6799999999999999	0.6699999999999999	0.506	0.637	0.5465	0.5445	0.7205	0.5635	0.6395	0.5795	chr1	923178
chr1	923217	923219	0.18833333333333327	0.23199999999999998	0.13366666666666668	0.15433333333333332	0.008666666666666668	0.07666666666666666	0.13866666666666666	0.09800000000000003	0.023666666666666662	0.0445	0.05	0.07400000000000001	0.1835	0.14550000000000002	0.0485	0.16249999999999998	0.0815	0.07500000000000001	0.16749999999999998	0.11599999999999999	0.1885	0.098	chr1	923218
chr1	923234	923236	0.6986666666666667	0.6	0.524	0.501	0.01966666666666667	0.195	0.452	0.3806666666666667	0.43333333333333335	0.27	0.3085	0.222	0.6125	0.4365	0.43200000000000005	0.5215000000000001	0.5105	0.333	0.6060000000000001	0.4705	0.5660000000000001	0.33	chr1	923235
chr1	923331	923333	0.05566666666666666	0.06633333333333334	0.10566666666666667	0.03	0.02466666666666667	0.044	0.0	0.1	0.09266666666666667	0.0	0.016	0.018333333333333337	0.0525	0.0685	0.07050000000000001	0.0	0.015	0.0145	0.3865	0.0	0.18899999999999997	0.08349999999999999	chr1	923332
chr1	923333	923335	0.02066666666666667	0.04766666666666667	0.199	0.03333333333333333	0.006999999999999999	0.036333333333333336	0.172	0.06366666666666666	0.09266666666666667	0.013500000000000002	0.0	0.007666666666666665	0.0525	0.012	0.141	0.0245	0.06949999999999999	0.0305	0.0415	0.041	0.111	0.08349999999999999	chr1	923334
chr1	923409	923411	0.011	0.0	0.03333333333333333	0.0	0.008333333333333333	0.008333333333333333	0.016666666666666666	0.016	0.0	0.0	0.0	0.006000000000000001	0.043	0.0215	0.013500000000000002	0.04	0.028	0.045	0.0225	0.0095	0.0305	0.0	chr1	923410
chr1	923439	923441	0.0	0.011333333333333334	0.00933333333333333	0.0	0.03066666666666666	0.0	0.0	0.021666666666666667	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.018000000000000002	0.07150000000000001	0.0	0.0	0.0	chr1	923440
chr1	923446	923448	0.009666666666666664	0.011	0.006666666666666667	0.008	0.008666666666666668	0.0	0.014333333333333332	0.039	0.013333333333333334	0.0	0.0	0.0	0.0105	0.0	0.0	0.0	0.0	0.0	0.08900000000000001	0.009000000000000001	0.0535	0.0075	chr1	923447
chr1	923450	923452	0.043	0.02033333333333333	0.027000000000000003	0.025666666666666667	0.03366666666666667	0.0	0.0	0.081	0.0	0.0	0.0	0.005333333333333333	0.04	0.027000000000000003	0.0	0.027000000000000003	0.0325	0.0	0.07400000000000001	0.0095	0.035500000000000004	0.0145	chr1	923451
chr1	923485	923487	0.0	0.012000000000000002	0.012000000000000002	0.0	0.008666666666666668	0.0	0.013333333333333334	0.075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0165	0.023	0.0	0.0525	0.0	0.02	0.0	chr1	923486
chr1	923493	923495	0.037333333333333336	0.10233333333333333	0.050333333333333334	0.03166666666666667	0.007666666666666665	0.045000000000000005	0.033666666666666664	0.06566666666666666	0.028333333333333332	0.012	0.0	0.034	0.014	0.024	0.015	0.0	0.0455	0.0105	0.0605	0.029500000000000005	0.0265	0.0155	chr1	923494
chr1	923694	923696	0.018000000000000002	0.0	0.017666666666666667	0.0	0.017333333333333336	0.0	0.009000000000000001	0.05866666666666667	0.0	0.0	0.0	0.0	0.0	0.0235	0.0	0.015	0.022	0.0285	0.0	0.023	0.0	0.02	chr1	923695
chr1	923705	923707	0.0	0.01833333333333333	0.0	0.0	0.048	0.0	0.008666666666666668	0.011	0.0	0.0	0.0	0.0	0.019000000000000003	0.0215	0.0	0.006999999999999999	0.027000000000000003	0.052000000000000005	0.0	0.026000000000000002	0.0	0.013	chr1	923706
chr1	923710	923712	0.0	0.010666666666666666	0.01633333333333334	0.006333333333333333	0.004	0.0	0.0	0.03033333333333333	0.009666666666666664	0.0	0.0	0.0	0.006500000000000001	0.034	0.0	0.006500000000000001	0.0055000000000000005	0.0265	0.044500000000000005	0.005	0.0385	0.009000000000000001	chr1	923711
chr1	923712	923714	0.0	0.0	0.0	0.006666666666666667	0.01933333333333333	0.0	0.0	0.01633333333333334	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0055000000000000005	0.0205	0.0	0.011000000000000001	0.0	0.0165	chr1	923713
chr1	923737	923739	0.0	0.009666666666666664	0.006666666666666667	0.0	0.07033333333333333	0.0	0.0	0.026000000000000002	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.014	0.006	0.006	0.0	0.0	0.0	0.0135	chr1	923738
chr1	923739	923741	0.0	0.0	0.0	0.0	0.021333333333333333	0.0	0.01866666666666666	0.026000000000000002	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.006500000000000001	0.006	0.0	0.0	0.0	0.0	chr1	923740
chr1	923741	923743	0.004	0.005	0.012000000000000002	0.0	0.15366666666666665	0.0	0.02766666666666667	0.02733333333333333	0.0	0.0	0.0	0.0	0.006	0.032	0.0	0.006999999999999999	0.040999999999999995	0.021	0.0	0.0215	0.022	0.0215	chr1	923742
chr1	923760	923762	0.0	0.005333333333333333	0.0	0.0	0.021666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.006999999999999999	0.0075	0.0205	0.0	0.0155	0.013	0.005	chr1	923761
chr1	923764	923766	0.0	0.0	0.0	0.0	0.016	0.0	0.008333333333333333	0.02033333333333333	0.0	0.0	0.0	0.0	0.0055000000000000005	0.0055000000000000005	0.0	0.0	0.0	0.006500000000000001	0.0	0.0	0.0	0.0	chr1	923765
chr1	923774	923776	0.0	0.0	0.0	0.0	0.015	0.0	0.016	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006500000000000001	0.0	0.0045000000000000005	0.0	0.005	chr1	923775
chr1	923781	923783	0.0	0.0	0.0	0.0	0.007333333333333334	0.0	0.016999999999999998	0.005666666666666667	0.0	0.0	0.0	0.009000000000000001	0.0055000000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	chr1	923782
chr1	923792	923794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012000000000000002	0.0	0.0	0.0	0.0	0.0095	0.0	0.006999999999999999	0.0	0.0	0.0	0.0	0.005	0.0	0.0	chr1	923793
chr1	923799	923801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02066666666666667	0.0	0.0	0.0	0.0	0.0045000000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.006500000000000001	chr1	923800
chr1	923812	923814	0.0	0.0	0.010333333333333332	0.0	0.007666666666666665	0.0	0.0	0.01633333333333334	0.0	0.0	0.0	0.0	0.0	0.006500000000000001	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	chr1	923813
chr1	923818	923820	0.0	0.008	0.01	0.004	0.02333333333333333	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.013999999999999999	0.006999999999999999	0.0	0.006500000000000001	0.006500000000000001	0.0115	0.0	0.018000000000000002	0.009000000000000001	0.0095	chr1	923819
