chrom	start	end	B_cell-NK	B_cell-Naive CD8 T	B_cell-Naive CD4 T	B_cell-Mono	Minimum delta	Maximum delta	Average delta	(Minimum delta+Average delta)/2
chr1	939582	939584	0.6000000000000001	0.189	0.3513333333333333	0.5893333333333333	0.189	0.6000000000000001	0.43241666666666667	0.31070833333333336
chr1	938180	938182	0.2283333333333333	0.32633333333333336	0.4126666666666666	0.4013333333333333	0.2283333333333333	0.4126666666666666	0.3421666666666666	0.28524999999999995
chr1	936471	936473	0.30799999999999994	0.3143333333333333	0.2913333333333333	0.2493333333333334	0.2493333333333334	0.3143333333333333	0.29074999999999995	0.2700416666666667
chr1	935038	935040	0.16766666666666666	0.235	0.3686666666666667	0.29466666666666663	0.16766666666666666	0.3686666666666667	0.2665	0.21708333333333335
chr1	932975	932977	0.2343333333333333	0.19933333333333336	0.2686666666666667	0.205	0.19933333333333336	0.2686666666666667	0.2268333333333333	0.21308333333333335
chr1	925544	925546	0.21733333333333327	0.35400000000000004	0.14333333333333334	0.333	0.14333333333333334	0.35400000000000004	0.2619166666666667	0.202625
chr1	939731	939733	0.326	0.3366666666666667	0.14083333333333342	0.2453333333333333	0.14083333333333342	0.3366666666666667	0.2622083333333334	0.2015208333333334
chr1	930937	930939	0.125	0.14666666666666667	0.3566666666666667	0.475	0.125	0.475	0.2758333333333334	0.2004166666666667
chr1	939229	939231	0.4360000000000001	0.09066666666666676	0.4846666666666667	0.1936666666666668	0.09066666666666676	0.4846666666666667	0.3012500000000001	0.1959583333333334
chr1	939074	939076	0.2235000000000001	0.1758333333333334	0.2235000000000001	0.1821666666666667	0.1758333333333334	0.2235000000000001	0.20125000000000004	0.18854166666666672
chr1	932311	932313	0.2016666666666668	0.2273333333333335	0.16766666666666674	0.18900000000000008	0.16766666666666674	0.2273333333333335	0.1964166666666668	0.18204166666666677
chr1	939983	939985	0.08333333333333331	0.3670000000000001	0.4433333333333334	0.13866666666666666	0.08333333333333331	0.4433333333333334	0.2580833333333334	0.17070833333333335
chr1	925038	925040	0.08600000000000002	0.3978333333333333	0.196	0.3255	0.08600000000000002	0.3978333333333333	0.2513333333333333	0.16866666666666666
chr1	933650	933652	0.2380000000000001	0.2043333333333333	0.18433333333333327	0.13966666666666672	0.13966666666666672	0.2380000000000001	0.19158333333333336	0.16562500000000002
chr1	924750	924752	0.2306666666666667	0.2543333333333333	0.11933333333333335	0.16999999999999998	0.11933333333333335	0.2543333333333333	0.19358333333333333	0.15645833333333334
chr1	936428	936430	0.2666666666666666	0.2833333333333332	0.1493333333333332	0.10933333333333327	0.10933333333333327	0.2833333333333332	0.20216666666666655	0.15574999999999992
chr1	939291	939293	0.14900000000000002	0.129	0.20066666666666666	0.2463333333333333	0.129	0.2463333333333333	0.18125	0.155125
chr1	933094	933096	0.1416666666666666	0.1293333333333333	0.22466666666666668	0.22466666666666668	0.1293333333333333	0.22466666666666668	0.18008333333333332	0.1547083333333333
chr1	937641	937643	0.222	0.18133333333333326	0.122	0.222	0.122	0.222	0.18683333333333327	0.15441666666666665
chr1	935886	935888	0.3916666666666666	0.32066666666666666	0.08466666666666668	0.09466666666666668	0.08466666666666668	0.3916666666666666	0.22291666666666665	0.15379166666666666
chr1	929547	929549	0.2279999999999999	0.1333333333333334	0.2296666666666667	0.127	0.127	0.2296666666666667	0.1795	0.15325
chr1	930038	930040	0.2333333333333334	0.08933333333333349	0.2333333333333334	0.2333333333333334	0.08933333333333349	0.2333333333333334	0.19733333333333344	0.14333333333333348
chr1	938540	938542	0.1393333333333332	0.2576666666666667	0.33266666666666656	0.08166666666666668	0.08166666666666668	0.33266666666666656	0.20283333333333328	0.14225
chr1	929009	929011	0.2343333333333333	0.23766666666666664	0.3973333333333333	0.050166666666666665	0.050166666666666665	0.3973333333333333	0.229875	0.14002083333333332
chr1	935429	935431	0.2226666666666668	0.3976666666666667	0.3140000000000001	0.03700000000000003	0.03700000000000003	0.3976666666666667	0.24283333333333346	0.13991666666666674
chr1	926094	926096	0.184	0.11933333333333335	0.203	0.12	0.11933333333333335	0.203	0.15658333333333332	0.13795833333333335
chr1	924398	924400	0.15650000000000006	0.0705	0.126	0.4666666666666666	0.0705	0.4666666666666666	0.20491666666666666	0.13770833333333332
chr1	926505	926507	0.20166666666666647	0.10266666666666667	0.1303333333333334	0.2506666666666667	0.10266666666666667	0.2506666666666667	0.17133333333333334	0.137
chr1	939277	939279	0.15433333333333332	0.1203333333333334	0.15433333333333332	0.15433333333333332	0.1203333333333334	0.15433333333333332	0.14583333333333334	0.1330833333333334
chr1	924461	924463	0.11800000000000001	0.22333333333333336	0.0625	0.4043333333333334	0.0625	0.4043333333333334	0.20204166666666667	0.13227083333333334
chr1	924392	924394	0.2755	0.06200000000000001	0.1585	0.3073333333333333	0.06200000000000001	0.3073333333333333	0.2008333333333333	0.13141666666666665
chr1	925086	925088	0.4166666666666667	0.19933333333333333	0.06666666666666665	0.08999999999999997	0.06666666666666665	0.4166666666666667	0.19316666666666665	0.12991666666666665
chr1	929632	929634	0.15266666666666673	0.15266666666666673	0.15266666666666673	0.1110000000000001	0.1110000000000001	0.15266666666666673	0.14225000000000007	0.1266250000000001
chr1	923446	923448	0.08633333333333335	0.2203333333333333	0.2083333333333333	0.15	0.08633333333333335	0.2203333333333333	0.16624999999999998	0.12629166666666666
chr1	925006	925008	0.096	0.23750000000000004	0.096	0.16049999999999998	0.096	0.23750000000000004	0.1475	0.12175
chr1	929646	929648	0.12766666666666682	0.09699999999999998	0.15200000000000002	0.17866666666666664	0.09699999999999998	0.17866666666666664	0.13883333333333334	0.11791666666666666
chr1	925097	925099	0.08166666666666668	0.2436666666666667	0.111	0.17616666666666667	0.08166666666666668	0.2436666666666667	0.153125	0.11739583333333334
chr1	924297	924299	0.4188333333333334	0.1813333333333333	0.040999999999999995	0.11383333333333336	0.040999999999999995	0.4188333333333334	0.18875000000000006	0.11487500000000003
chr1	924771	924773	0.08499999999999999	0.2313333333333333	0.12566666666666665	0.12899999999999998	0.08499999999999999	0.2313333333333333	0.14275	0.11387499999999999
chr1	924802	924804	0.13633333333333333	0.18566666666666667	0.14766666666666664	0.08733333333333332	0.08733333333333332	0.18566666666666667	0.13924999999999998	0.11329166666666665
