chrom	start	end	Methylation rank	OtherGroup_avg_delta rank	OwnGroup_avg_delta rank	Average delta rank	Minimum delta rank	Tregs-Bcell	Tregs-Myloid	Tregs-NK	Tregs-NaiveCD4	Tregs-NaiveCD8	Tregs-PMNlike	Tregs-cm4	Tregs-cm8	Tregs-ed8	Tregs-em4	Tregs-em8	Minimum delta	Maximum delta	Average delta	NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB	(Minimum delta+Average delta)/2	(Minimum delta rank+Average delta rank)/2	OwnGroup_avg_delta	OtherGroup_avg_delta	(OwnGroup_avg_delta rank+OtherGroup_avg_delta rank)/2	(OwnGroup_avg_delta rank+Average delta rank)/2	(Methylation rank+OtherGroup_avg_delta rank+OwnGroup_avg_delta rank)/3	(Methylation rank+Average delta rank+OwnGroup_avg_delta rank)/3	(Methylation rank+Average delta rank+Minimum delta rank)/3
chr1	923493	923495	0	10	12	11	10	0.025625	0.033875	0.03166666666666667	0.037333333333333336	0.10233333333333333	0.034	0.029500000000000005	0.014	0.0105	0.0455	0.024	0.0105	0.10233333333333333	0.03530303030303032	0.037333333333333336	0.10233333333333333	0.050333333333333334	0.03166666666666667	0.007666666666666665	0.045000000000000005	0.033666666666666664	0.06566666666666666	0.028333333333333325	0.012	0.0	0.034	0.014	0.024	0.015	0.0	0.0455	0.0105	0.0605	0.029500000000000005	0.0265	0.0155	0.022901515151515162	10.5	0.03685416666666667	0.031166666666666665	11.0	11.5	7.333333333333333	7.666666666666667	7.0
chr1	924589	924591	1	19	19	20	15	0.022375	0.006875	0.005333333333333333	0.013666666666666666	0.01533333333333333	0.005333333333333333	0.012	0.012	0.006999999999999999	0.022000000000000002	0.039	0.005333333333333333	0.039	0.014628787878787878	0.013666666666666666	0.01533333333333333	0.012666666666666666	0.005333333333333333	0.007333333333333334	0.0	0.016	0.02066666666666667	0.0	0.0	0.0	0.0	0.012	0.039	0.0	0.0	0.022000000000000002	0.006999999999999999	0.024	0.012	0.0	0.0595	0.009981060606060606	17.5	0.01579166666666667	0.011527777777777777	19.0	19.5	13.0	13.333333333333334	12.0
chr1	941238	941240	2	18	17	17	12	0.016	0.020875	0.015666666666666666	0.012000000000000002	0.03866666666666666	0.007666666666666665	0.017	0.009000000000000001	0.04	0.01	0.0445	0.007666666666666665	0.0445	0.02103409090909091	0.012000000000000002	0.03866666666666666	0.02333333333333333	0.015666666666666666	0.013666666666666666	0.0	0.04566666666666667	0.013999999999999999	0.023000000000000003	0.015	0.028	0.013333333333333329	0.009000000000000001	0.0445	0.0	0.0	0.01	0.04	0.0	0.017	0.0145	0.0085	0.014350378787878787	14.5	0.023354166666666665	0.014847222222222222	17.5	17.0	12.333333333333334	12.0	10.333333333333334
chr1	932001	932003	3	17	11	12	13	0.015125	0.017812500000000002	0.006666666666666667	0.084	0.06133333333333332	0.01588888888888889	0.063	0.0495	0.01	0.04	0.0205	0.006666666666666667	0.084	0.03489330808080808	0.084	0.06133333333333332	0.008666666666666668	0.006666666666666667	0.02666666666666667	0.008666666666666668	0.025666666666666667	0.009666666666666664	0.008666666666666668	0.047	0.0165	0.004	0.0495	0.0205	0.0	0.0	0.04	0.01	0.034	0.063	0.0315	0.0075	0.020779987373737374	12.5	0.041874999999999996	0.016275462962962964	14.0	11.5	10.333333333333334	8.666666666666666	9.333333333333334
chr1	925591	925593	4	21	21	21	20	0.008375	0.0063750000000000005	0.011	0.005333333333333333	0.012000000000000002	0.002	0.009000000000000001	0.046	0.021	0.008	0.0105	0.002	0.046	0.012689393939393941	0.005333333333333333	0.012000000000000002	0.0	0.011	0.017666666666666667	0.011	0.0	0.023000000000000003	0.0	0.0	0.0	0.0	0.046	0.0105	0.0	0.0	0.008	0.021	0.009000000000000001	0.009000000000000001	0.0	0.006999999999999999	0.007344696969696971	20.5	0.015354166666666667	0.005583333333333333	21.0	21.0	15.333333333333334	15.333333333333334	15.0
chr1	941351	941353	5	12	20	19	14	0.04	0.0061875	0.007166666666666666	0.008833333333333332	0.015500000000000003	0.026388888888888885	0.007499999999999999	0.0255	0.0425	0.006	0.0125	0.006	0.0425	0.018006944444444447	0.01533333333333333	0.022	0.05533333333333334	0.013666666666666666	0.044	0.0	0.008666666666666668	0.024000000000000004	0.035	0.0	0.0	0.029666666666666668	0.032	0.019	0.0155	0.006500000000000001	0.0125	0.049	0.0555	0.014	0.0325	0.037000000000000005	0.012003472222222224	16.5	0.0156875	0.02419212962962963	16.0	19.5	12.333333333333334	14.666666666666666	12.666666666666666
chr1	925987	925989	6	20	18	18	19	0.011125	0.0060625	0.008666666666666666	0.002	0.022000000000000002	0.008	0.026500000000000003	0.0535	0.0255	0.019000000000000003	0.0215	0.002	0.0535	0.01853219696969697	0.01	0.03	0.0	0.016666666666666666	0.03733333333333333	0.01533333333333333	0.0	0.025666666666666667	0.008666666666666668	0.018000000000000002	0.02	0.005	0.0615	0.029500000000000005	0.0	0.008	0.027000000000000003	0.0335	0.031	0.0345	0.0335	0.0205	0.010266098484848486	18.5	0.022333333333333334	0.008395833333333333	19.0	18.0	14.666666666666666	14.0	14.333333333333334
chr1	925979	925981	7	14	15	15	17	0.05937499999999999	0.0059375	0.013	0.021333333333333333	0.006	0.0034444444444444444	0.0145	0.027500000000000004	0.0505	0.0355	0.0645	0.0034444444444444444	0.0645	0.027417297979797986	0.029333333333333333	0.013999999999999999	0.0	0.021	0.154	0.005	0.02466666666666667	0.012333333333333337	0.02033333333333333	0.0	0.018000000000000002	0.0046666666666666645	0.035500000000000004	0.07250000000000001	0.014	0.008	0.0435	0.0585	0.0	0.0225	0.0305	0.0385	0.015430871212121215	16.0	0.029104166666666667	0.02291898148148148	14.5	15.0	12.0	12.333333333333334	13.0
chr1	941157	941159	8	9	13	14	11	0.08400000000000002	0.013000000000000001	0.05466666666666666	0.01	0.008333333333333333	0.01688888888888889	0.045	0.019	0.053	0.0225	0.027500000000000004	0.008333333333333333	0.08400000000000002	0.032171717171717185	0.02	0.01833333333333333	0.040999999999999995	0.06466666666666666	0.19033333333333333	0.0	0.027999999999999997	0.06033333333333332	0.008333333333333333	0.019	0.02	0.016333333333333342	0.029	0.037500000000000006	0.049	0.01	0.0325	0.063	0.0475	0.055	0.0	0.028999999999999998	0.020252525252525258	12.5	0.03	0.03796296296296297	11.0	13.5	10.0	11.666666666666666	11.0
chr1	925936	925938	9	16	16	16	18	0.03175	0.010624999999999996	0.05616666666666666	0.0024999999999999988	0.01883333333333333	0.00972222222222222	0.012	0.0265	0.021	0.0525	0.022000000000000002	0.0024999999999999988	0.05616666666666666	0.02396338383838384	0.013000000000000001	0.029333333333333336	0.0	0.06666666666666668	0.08800000000000001	0.009333333333333329	0.010666666666666666	0.04933333333333334	0.019	0.021	0.0155	0.0046666666666666645	0.037000000000000005	0.0325	0.0155	0.0105	0.063	0.0315	0.05	0.0225	0.018500000000000003	0.037000000000000005	0.013231691919191919	17.0	0.0264375	0.01736574074074074	16.0	16.0	13.666666666666666	13.666666666666666	14.333333333333334
chr1	941170	941172	10	13	10	10	7	0.03549999999999999	0.019937499999999983	0.10066666666666667	0.125	0.029333333333333336	0.013333333333333336	0.0285	0.0435	0.038499999999999986	0.076	0.0285	0.013333333333333336	0.125	0.048979166666666664	0.204	0.10833333333333334	0.09433333333333332	0.17966666666666667	0.15833333333333333	0.07366666666666667	0.13133333333333333	0.14466666666666667	0.08900000000000001	0.0695	0.064	0.04466666666666667	0.1225	0.1075	0.1275	0.079	0.155	0.1175	0.128	0.1075	0.09300000000000001	0.079	0.03115625	8.5	0.05875	0.022923611111111103	11.5	10.0	11.0	10.0	9.0
chr1	926156	926158	11	1	1	1	1	0.13378571428571429	0.10506250000000003	0.23716666666666675	0.10316666666666667	0.11283333333333335	0.19483333333333336	0.2385	0.08600000000000001	0.05550000000000002	0.18000000000000005	0.2240000000000001	0.05550000000000002	0.2385	0.15189529220779224	0.19766666666666666	0.2073333333333333	0.2406666666666667	0.3316666666666667	0.201	0.17333333333333334	0.23266666666666666	0.214	0.215	0.1435	0.2005	0.217	0.1805	0.3185	0.135	0.0945	0.2745	0.15	0.55	0.333	0.2915	0.273	0.10369764610389613	1.0	0.15464583333333337	0.14456051587301588	1.0	1.0	4.333333333333333	4.333333333333333	4.333333333333333
chr1	935238	935240	12	15	5	6	16	0.05550000000000002	0.004062500000000024	0.1055	0.023833333333333345	0.04816666666666666	0.0069444444444444475	0.0325	0.11700000000000002	0.2335	0.1035	0.2605000000000001	0.004062500000000024	0.2605000000000001	0.09009154040404042	0.17633333333333334	0.20066666666666666	0.14566666666666667	0.258	0.276	0.14466666666666667	0.1426666666666667	0.11466666666666668	0.18366666666666664	0.1545	0.21950000000000008	0.12333333333333335	0.2695	0.413	0.053000000000000005	0.1525	0.256	0.386	0.244	0.185	0.23550000000000004	0.1995	0.047077020202020224	11.0	0.11556250000000001	0.022168981481481498	10.0	5.5	10.666666666666666	7.666666666666667	11.333333333333334
chr1	935587	935589	13	2	3	2	2	0.09087499999999996	0.11468749999999996	0.25783333333333325	0.04349999999999998	0.17049999999999996	0.1809444444444444	0.10099999999999999	0.08199999999999999	0.14800000000000002	0.05999999999999998	0.13799999999999998	0.04349999999999998	0.25783333333333325	0.12612184343434346	0.21600000000000005	0.343	0.3700000000000001	0.4303333333333333	0.11033333333333332	0.2973333333333333	0.355	0.21766666666666667	0.35300000000000004	0.192	0.271	0.333	0.2545	0.3105	0.2195	0.1725	0.2325	0.3205	0.4675	0.2735	0.40399999999999997	0.333	0.08481092171717172	2.0	0.12510416666666666	0.1288356481481481	2.5	2.5	6.0	6.0	5.666666666666667
chr1	935577	935579	14	3	6	3	5	0.056375000000000064	0.12893750000000004	0.2345000000000001	0.0635	0.09016666666666673	0.15083333333333332	0.018500000000000016	0.11350000000000005	0.195	0.04200000000000004	0.11650000000000005	0.018500000000000016	0.2345000000000001	0.10998295454545458	0.424	0.4506666666666667	0.546	0.5950000000000001	0.16699999999999998	0.5496666666666666	0.5423333333333333	0.3930000000000001	0.4423333333333333	0.511	0.5135000000000001	0.5626666666666668	0.4740000000000001	0.4770000000000001	0.358	0.3605	0.4025	0.5555	0.6115	0.379	0.4875	0.598	0.0642414772727273	4.0	0.10920833333333338	0.11204861111111114	4.5	4.5	7.666666666666667	7.666666666666667	7.333333333333333
