chrom	start	end	Average delta rank	Minimum delta rank	NK-Naive CD4 T	NK-B_cell	NK-Naive CD8 T	NK-Mono	Minimum delta	Maximum delta	Average delta	(Minimum delta+Average delta)/2	(Minimum delta rank+Average delta rank)/2
chr1	936082	936084	0	1	0.7130000000000001	0.37133333333333335	0.466	0.3243333333333334	0.3243333333333334	0.7130000000000001	0.4686666666666667	0.3965000000000001	0.5
chr1	928247	928249	1	0	0.445	0.363	0.3670000000000001	0.5	0.363	0.5	0.41875	0.390875	0.5
chr1	935577	935579	3	4	0.4060000000000002	0.2186666666666668	0.3030000000000001	0.325	0.2186666666666668	0.4060000000000002	0.3131666666666668	0.2659166666666668	3.5
chr1	940039	940041	2	6	0.4485	0.3696666666666666	0.3033333333333333	0.21433333333333326	0.21433333333333326	0.4485	0.3339583333333333	0.2741458333333333	4.0
chr1	923025	923027	5	3	0.3223333333333333	0.3639999999999999	0.3276666666666666	0.2236666666666665	0.2236666666666665	0.3639999999999999	0.30941666666666656	0.26654166666666657	4.0
chr1	924594	924596	6	5	0.33299999999999996	0.21733333333333327	0.24850000000000005	0.4185	0.21733333333333327	0.4185	0.3043333333333333	0.26083333333333325	5.5
chr1	930255	930257	9	2	0.33333333333333337	0.2273333333333334	0.277	0.33333333333333337	0.2273333333333334	0.33333333333333337	0.2927500000000001	0.2600416666666667	5.5
chr1	925596	925598	10	8	0.20766666666666667	0.292	0.19433333333333333	0.381	0.19433333333333333	0.381	0.26875	0.23154166666666665	9.0
chr1	929755	929757	11	7	0.27866666666666673	0.20666666666666667	0.2513333333333334	0.27866666666666673	0.20666666666666667	0.27866666666666673	0.25383333333333336	0.23025	9.0
chr1	940035	940037	4	16	0.35899999999999993	0.16299999999999998	0.4566666666666666	0.26533333333333337	0.16299999999999998	0.4566666666666666	0.311	0.237	10.0
chr1	932873	932875	12	10	0.20866666666666667	0.2743333333333333	0.19033333333333347	0.3410000000000001	0.19033333333333347	0.3410000000000001	0.2535833333333334	0.22195833333333342	11.0
chr1	925584	925586	15	11	0.26333333333333336	0.19000000000000009	0.32066666666666666	0.236	0.19000000000000009	0.32066666666666666	0.2525	0.22125000000000006	13.0
chr1	941729	941731	14	14	0.26666666666666666	0.26566666666666666	0.1696666666666667	0.30800000000000005	0.1696666666666667	0.30800000000000005	0.2525	0.21108333333333335	14.0
chr1	936736	936738	25	9	0.19333333333333336	0.19333333333333336	0.2766666666666667	0.21	0.19333333333333336	0.2766666666666667	0.21833333333333332	0.20583333333333334	17.0
chr1	923177	923179	23	12	0.3336666666666668	0.2453333333333334	0.18600000000000005	0.17533333333333326	0.17533333333333326	0.3336666666666668	0.23508333333333334	0.2052083333333333	17.5
chr1	941653	941655	16	25	0.411	0.2816666666666667	0.16966666666666666	0.13266666666666668	0.13266666666666668	0.411	0.24875000000000005	0.19070833333333337	20.5
chr1	926209	926211	28	15	0.16666666666666666	0.168	0.2286666666666667	0.2763333333333333	0.16666666666666666	0.2763333333333333	0.20991666666666667	0.18829166666666666	21.5
chr1	940881	940883	26	17	0.16166666666666665	0.34	0.1703333333333333	0.1806666666666666	0.16166666666666665	0.34	0.21316666666666667	0.18741666666666668	21.5
chr1	935847	935849	22	21	0.24266666666666664	0.2796666666666667	0.26766666666666666	0.15066666666666667	0.15066666666666667	0.2796666666666667	0.2351666666666667	0.19291666666666668	21.5
chr1	925683	925685	13	30	0.415	0.16766666666666666	0.11	0.32	0.11	0.415	0.25316666666666665	0.18158333333333332	21.5
chr1	940848	940850	35	13	0.21600000000000005	0.208	0.20666666666666667	0.17366666666666666	0.17366666666666666	0.21600000000000005	0.20108333333333334	0.187375	24.0
chr1	935739	935741	30	18	0.20666666666666667	0.16100000000000006	0.2600000000000001	0.1976666666666667	0.16100000000000006	0.2600000000000001	0.20633333333333334	0.1836666666666667	24.0
chr1	936221	936223	17	33	0.3723333333333333	0.21500000000000008	0.3033333333333333	0.10433333333333328	0.10433333333333328	0.3723333333333333	0.24875	0.17654166666666665	25.0
chr1	941719	941721	24	26	0.2726666666666667	0.31633333333333336	0.12333333333333335	0.16799999999999998	0.12333333333333335	0.31633333333333336	0.22008333333333333	0.17170833333333335	25.0
chr1	924726	924728	7	47	0.08333333333333333	0.3453333333333333	0.458	0.3215	0.08333333333333333	0.458	0.30204166666666665	0.19268749999999998	27.0
chr1	940122	940124	36	19	0.15933333333333335	0.25	0.18966666666666665	0.204	0.15933333333333335	0.25	0.20075	0.18004166666666668	27.5
chr1	935755	935757	20	36	0.09766666666666664	0.21266666666666664	0.224	0.4243333333333333	0.09766666666666664	0.4243333333333333	0.23966666666666664	0.16866666666666663	28.0
chr1	925656	925658	38	23	0.165	0.134	0.18766666666666668	0.307	0.134	0.307	0.19841666666666669	0.16620833333333335	30.5
chr1	923705	923707	34	28	0.184	0.19899999999999995	0.3113333333333333	0.11100000000000004	0.11100000000000004	0.3113333333333333	0.2013333333333333	0.15616666666666668	31.0
chr1	940843	940845	40	22	0.13899999999999998	0.25966666666666666	0.2083333333333333	0.17699999999999996	0.13899999999999998	0.25966666666666666	0.196	0.16749999999999998	31.0
chr1	936187	936189	8	57	0.44833333333333336	0.2663333333333333	0.4126666666666666	0.06699999999999998	0.06699999999999998	0.44833333333333336	0.2985833333333333	0.18279166666666663	32.5
chr1	931123	931125	18	52	0.2045	0.371	0.07466666666666655	0.32333333333333336	0.07466666666666655	0.371	0.243375	0.15902083333333328	35.0
chr1	931079	931081	39	34	0.1781666666666667	0.2336666666666665	0.10299999999999998	0.27866666666666673	0.10299999999999998	0.27866666666666673	0.198375	0.15068749999999997	36.5
chr1	932343	932345	54	20	0.20866666666666667	0.16733333333333333	0.15366666666666662	0.17833333333333326	0.15366666666666662	0.20866666666666667	0.17699999999999996	0.16533333333333328	37.0
chr1	925658	925660	52	24	0.165	0.134	0.19333333333333336	0.224	0.134	0.224	0.17908333333333334	0.1565416666666667	38.0
