DMRchr	DMRstart	DMRend	chrom	start	end	celltype
chr1	12168470	12169152	chr1	12168469	12168471	[Tr]
chr1	12168470	12169152	chr1	12168485	12168487	[Tr]
chr1	12168470	12169152	chr1	12168489	12168491	[Tr]
chr1	12168470	12169152	chr1	12168553	12168555	[Tr]
chr1	12168470	12169152	chr1	12168794	12168796	[Tr]
chr1	12168470	12169152	chr1	12168812	12168814	[Tr]
chr1	12168470	12169152	chr1	12168952	12168954	[Tr]
chr1	12168470	12169152	chr1	12168954	12168956	[Tr]
chr1	12168470	12169152	chr1	12168978	12168980	[Tr]
chr1	12168470	12169152	chr1	12169005	12169007	[Tr]
chr1	12168470	12169152	chr1	12169035	12169037	[Tr]
chr1	12168470	12169152	chr1	12169120	12169122	[Tr]
chr1	12168470	12169152	chr1	12169150	12169152	[Tr]
chr2	203853750	203854356	chr2	203853749	203853751	[Tr]
chr2	203853750	203854356	chr2	203853943	203853945	[Tr]
chr2	203853750	203854356	chr2	203853956	203853958	[Tr]
chr2	203853750	203854356	chr2	203854015	203854017	[Tr]
chr2	203853750	203854356	chr2	203854095	203854097	[Tr]
chr2	203853750	203854356	chr2	203854174	203854176	[Tr]
chr2	203853750	203854356	chr2	203854265	203854267	[Tr]
chr2	203853750	203854356	chr2	203854320	203854322	[Tr]
chr2	203853750	203854356	chr2	203854346	203854348	[Tr]
chr2	203853750	203854356	chr2	203854354	203854356	[Tr]
chr2	203870593	203870912	chr2	203870592	203870594	[Tr]
chr2	203870593	203870912	chr2	203870626	203870628	[Tr]
chr2	203870593	203870912	chr2	203870634	203870636	[Tr]
chr2	203870593	203870912	chr2	203870683	203870685	[Tr]
chr2	203870593	203870912	chr2	203870698	203870700	[Tr]
chr2	203870593	203870912	chr2	203870732	203870734	[Tr]
chr2	203870593	203870912	chr2	203870786	203870788	[Tr]
chr2	203870593	203870912	chr2	203870846	203870848	[Tr]
chr2	203870593	203870912	chr2	203870885	203870887	[Tr]
chr2	203870593	203870912	chr2	203870910	203870912	[Tr]
chr2	213135457	213136328	chr2	213135456	213135458	[Tr]
chr2	213135457	213136328	chr2	213135638	213135640	[Tr]
chr2	213135457	213136328	chr2	213135646	213135648	[Tr]
chr2	213135457	213136328	chr2	213135815	213135817	[Tr]
chr2	213135457	213136328	chr2	213135821	213135823	[Tr]
chr2	213135457	213136328	chr2	213135845	213135847	[Tr]
chr2	213135457	213136328	chr2	213135851	213135853	[Tr]
chr2	213135457	213136328	chr2	213135875	213135877	[Tr]
chr2	213135457	213136328	chr2	213135907	213135909	[Tr]
chr2	213135457	213136328	chr2	213135980	213135982	[Tr]
chr2	213135457	213136328	chr2	213136002	213136004	[Tr]
chr2	213135457	213136328	chr2	213136004	213136006	[Tr]
chr2	213135457	213136328	chr2	213136009	213136011	[Tr]
chr2	213135457	213136328	chr2	213136034	213136036	[Tr]
chr2	213135457	213136328	chr2	213136042	213136044	[Tr]
chr2	213135457	213136328	chr2	213136090	213136092	[Tr]
chr2	213135457	213136328	chr2	213136152	213136154	[Tr]
chr2	213135457	213136328	chr2	213136242	213136244	[Tr]
chr2	213135457	213136328	chr2	213136262	213136264	[Tr]
chr2	213135457	213136328	chr2	213136324	213136326	[Tr]
chr2	213135457	213136328	chr2	213136326	213136328	[Tr]
chrX	49263467	49264778	chrX	49263466	49263468	[Tr]
chrX	49263467	49264778	chrX	49263477	49263479	[Tr]
chrX	49263467	49264778	chrX	49263493	49263495	[Tr]
chrX	49263467	49264778	chrX	49263681	49263683	[Tr]
chrX	49263467	49264778	chrX	49263705	49263707	[Tr]
chrX	49263467	49264778	chrX	49263727	49263729	[Tr]
chrX	49263467	49264778	chrX	49263823	49263825	[Tr]
chrX	49263467	49264778	chrX	49263858	49263860	[Tr]
chrX	49263467	49264778	chrX	49263881	49263883	[Tr]
chrX	49263467	49264778	chrX	49263919	49263921	[Tr]
chrX	49263467	49264778	chrX	49263991	49263993	[Tr]
chrX	49263467	49264778	chrX	49263994	49263996	[Tr]
chrX	49263467	49264778	chrX	49264013	49264015	[Tr]
chrX	49263467	49264778	chrX	49264085	49264087	[Tr]
chrX	49263467	49264778	chrX	49264174	49264176	[Tr]
chrX	49263467	49264778	chrX	49264198	49264200	[Tr]
chrX	49263467	49264778	chrX	49264426	49264428	[Tr]
chrX	49263467	49264778	chrX	49264589	49264591	[Tr]
chrX	49263467	49264778	chrX	49264592	49264594	[Tr]
chrX	49263467	49264778	chrX	49264714	49264716	[Tr]
chrX	49263467	49264778	chrX	49264764	49264766	[Tr]
chrX	49263467	49264778	chrX	49264776	49264778	[Tr]
chr1	182088191	182088409	chr1	182088190	182088192	[m4]
chr1	182088191	182088409	chr1	182088209	182088211	[m4]
chr1	182088191	182088409	chr1	182088238	182088240	[m4]
chr1	182088191	182088409	chr1	182088351	182088353	[m4]
chr1	182088191	182088409	chr1	182088358	182088360	[m4]
chr1	182088191	182088409	chr1	182088366	182088368	[m4]
chr1	182088191	182088409	chr1	182088371	182088373	[m4]
chr1	182088191	182088409	chr1	182088396	182088398	[m4]
chr1	182088191	182088409	chr1	182088407	182088409	[m4]
chr15	60704154	60705101	chr15	60704153	60704155	[m4]
chr15	60704154	60705101	chr15	60704166	60704168	[m4]
chr15	60704154	60705101	chr15	60704188	60704190	[m4]
chr15	60704154	60705101	chr15	60704213	60704215	[m4]
chr15	60704154	60705101	chr15	60704229	60704231	[m4]
chr15	60704154	60705101	chr15	60704298	60704300	[m4]
chr15	60704154	60705101	chr15	60704332	60704334	[m4]
chr15	60704154	60705101	chr15	60704438	60704440	[m4]
chr15	60704154	60705101	chr15	60704659	60704661	[m4]
chr15	60704154	60705101	chr15	60704696	60704698	[m4]
chr15	60704154	60705101	chr15	60704708	60704710	[m4]
chr15	60704154	60705101	chr15	60704712	60704714	[m4]
chr15	60704154	60705101	chr15	60704800	60704802	[m4]
chr15	60704154	60705101	chr15	60704833	60704835	[m4]
chr15	60704154	60705101	chr15	60704972	60704974	[m4]
chr15	60704154	60705101	chr15	60704983	60704985	[m4]
chr15	60704154	60705101	chr15	60705003	60705005	[m4]
chr15	60704154	60705101	chr15	60705028	60705030	[m4]
chr15	60704154	60705101	chr15	60705045	60705047	[m4]
chr15	60704154	60705101	chr15	60705050	60705052	[m4]
chr15	60704154	60705101	chr15	60705099	60705101	[m4]
chr2	173899018	173899485	chr2	173899017	173899019	[m4]
chr2	173899018	173899485	chr2	173899197	173899199	[m4]
chr2	173899018	173899485	chr2	173899210	173899212	[m4]
chr2	173899018	173899485	chr2	173899330	173899332	[m4]
chr2	173899018	173899485	chr2	173899344	173899346	[m4]
chr2	173899018	173899485	chr2	173899351	173899353	[m4]
chr2	173899018	173899485	chr2	173899362	173899364	[m4]
chr2	173899018	173899485	chr2	173899395	173899397	[m4]
chr2	173899018	173899485	chr2	173899459	173899461	[m4]
chr2	173899018	173899485	chr2	173899483	173899485	[m4]
chr20	38779373	38779774	chr20	38779372	38779374	[m4]
chr20	38779373	38779774	chr20	38779430	38779432	[m4]
chr20	38779373	38779774	chr20	38779442	38779444	[m4]
chr20	38779373	38779774	chr20	38779460	38779462	[m4]
chr20	38779373	38779774	chr20	38779473	38779475	[m4]
chr20	38779373	38779774	chr20	38779491	38779493	[m4]
chr20	38779373	38779774	chr20	38779503	38779505	[m4]
chr20	38779373	38779774	chr20	38779511	38779513	[m4]
chr20	38779373	38779774	chr20	38779606	38779608	[m4]
chr20	38779373	38779774	chr20	38779618	38779620	[m4]
chr20	38779373	38779774	chr20	38779653	38779655	[m4]
chr20	38779373	38779774	chr20	38779689	38779691	[m4]
chr20	38779373	38779774	chr20	38779772	38779774	[m4]
chr8	11866307	11867001	chr8	11866306	11866308	[m4]
chr8	11866307	11867001	chr8	11866367	11866369	[m4]
chr8	11866307	11867001	chr8	11866380	11866382	[m4]
chr8	11866307	11867001	chr8	11866457	11866459	[m4]
chr8	11866307	11867001	chr8	11866485	11866487	[m4]
chr8	11866307	11867001	chr8	11866523	11866525	[m4]
chr8	11866307	11867001	chr8	11866551	11866553	[m4]
chr8	11866307	11867001	chr8	11866606	11866608	[m4]
chr8	11866307	11867001	chr8	11866616	11866618	[m4]
chr8	11866307	11867001	chr8	11866624	11866626	[m4]
chr8	11866307	11867001	chr8	11866633	11866635	[m4]
chr8	11866307	11867001	chr8	11866719	11866721	[m4]
chr8	11866307	11867001	chr8	11866727	11866729	[m4]
chr8	11866307	11867001	chr8	11866790	11866792	[m4]
chr8	11866307	11867001	chr8	11866807	11866809	[m4]
chr8	11866307	11867001	chr8	11866813	11866815	[m4]
chr8	11866307	11867001	chr8	11866815	11866817	[m4]
chr8	11866307	11867001	chr8	11866853	11866855	[m4]
chr8	11866307	11867001	chr8	11866871	11866873	[m4]
chr8	11866307	11867001	chr8	11866878	11866880	[m4]
chr8	11866307	11867001	chr8	11866888	11866890	[m4]
chr8	11866307	11867001	chr8	11866930	11866932	[m4]
chr8	11866307	11867001	chr8	11866999	11867001	[m4]
chr11	11318582	11318824	chr11	11318581	11318583	[DC]
