chrom	start	end	aCD14-PBMC-1313.bedgraph_rolled	aCD14-PBMC-1382.bedgraph_rolled	aCD14-PBMC-1389.bedgraph_rolled	bCD19-PBMC-1313.bedgraph_rolled	bCD19-PBMC-1382.bedgraph_rolled	bCD19-PBMC-1389.bedgraph_rolled	cCD4-PBMC-1313.bedgraph_rolled	cCD4-PBMC-1382.bedgraph_rolled	cCD4-PBMC-1389.bedgraph_rolled	dCD8-PBMC-1313.bedgraph_rolled	dCD8-PBMC-1382.bedgraph_rolled	dCD8-PBMC-1389.bedgraph_rolled	eCD56-PBMC-1313.bedgraph_rolled	eCD56-PBMC-1382.bedgraph_rolled	eCD56-PBMC-1389.bedgraph_rolled
chr1	64562	64564	0.735	0.9	0.556	0.802	0.5710000000000001	0.7	0.5	0.5	0.33299999999999996	0.0	0.16699999999999998	0.16699999999999998	0.7140000000000001	0.77	0.898
chr1	929305	929307	1.0	1.0	0.929	0.917	0.6	0.624	1.0	0.6629999999999999	0.7140000000000001	0.7170000000000001	0.4	0.0	0.8590000000000001	1.0	1.0
chr1	929872	929874	1.0	NA	1.0	1.0	0.551	1.0	1.0	0.402	1.0	0.762	0.455	0.33	1.0	NA	1.0
chr1	926297	926299	0.624	0.4	0.501	0.429	0.33299999999999996	0.546	1.0	0.25	0.16699999999999998	0.23399999999999999	0.0	0.136	0.6	0.0	0.75
chr1	933530	933532	0.42700000000000005	1.0	0.5710000000000001	0.8	1.0	0.462	0.667	0.5	0.2	0.67	0.0	0.0	0.5	0.49700000000000005	1.0
chr1	932752	932754	0.9440000000000001	1.0	1.0	0.938	0.643	0.713	0.835	0.28300000000000003	1.0	0.777	0.5	0.16699999999999998	0.932	0.67	0.667
chr1	932935	932937	0.716	1.0	1.0	0.909	0.802	1.0	1.0	1.0	0.28300000000000003	0.7509999999999999	0.4	0.503	1.0	1.0	0.833
chr1	67222	67224	1.0	1.0	1.0	NA	1.0	1.0	0.75	0.857	1.0	NA	0.5	0.8	1.0	1.0	1.0
chr1	927903	927905	0.8759999999999999	1.0	0.802	0.777	0.695	1.0	1.0	1.0	0.5	0.735	0.667	0.33299999999999996	0.9470000000000001	0.75	1.0
chr1	931056	931058	1.0	1.0	0.667	1.0	0.16699999999999998	1.0	1.0	0.667	0.402	0.602	0.429	0.43	1.0	0.7140000000000001	0.857
chr1	929837	929839	1.0	NA	1.0	1.0	NA	1.0	0.5	0.667	1.0	0.835	0.38	0.287	0.82	NA	0.5
chr1	927322	927324	1.0	1.0	1.0	1.0	1.0	0.857	NA	1.0	0.753	0.816	0.5710000000000001	0.628	1.0	1.0	1.0
chr1	938610	938612	1.0	NA	1.0	1.0	0.4	0.8	1.0	0.667	0.637	0.802	0.302	0.598	0.7340000000000001	1.0	1.0
chr1	929073	929075	1.0	0.667	1.0	0.75	0.877	0.835	1.0	0.833	0.78	0.722	0.25	0.875	1.0	0.7829999999999999	NA
chr1	941650	941652	0.284	0.247	0.5	0.8	0.28600000000000003	0.0	1.0	0.0	0.33299999999999996	0.22399999999999998	0.0	0.09300000000000001	0.25	0.667	0.0
chr1	930518	930520	0.9229999999999999	1.0	1.0	0.82	0.6920000000000001	0.9	0.75	0.667	0.75	0.731	0.247	0.747	0.914	1.0	1.0
chr1	936617	936619	1.0	NA	1.0	1.0	1.0	1.0	0.665	1.0	1.0	0.9229999999999999	NA	0.5	1.0	NA	1.0
chr1	928932	928934	0.374	NA	0.875	0.43799999999999994	0.28600000000000003	0.778	1.0	0.6	0.57	0.5	0.0	0.556	0.667	0.39799999999999996	1.0
chr1	924125	924127	0.44299999999999995	0.0	0.0	0.503	0.33	0.111	0.33299999999999996	0.5	NA	0.0	NA	0.0	0.17	0.0	0.5
chr1	928114	928116	0.872	1.0	1.0	1.0	0.833	1.0	0.875	NA	1.0	0.802	0.9109999999999999	0.5	1.0	1.0	1.0
