chrom	start	end	aCD14-PBMC-1313.bedgraph_rolled	aCD14-PBMC-1382.bedgraph_rolled	aCD14-PBMC-1389.bedgraph_rolled	bCD19-PBMC-1313.bedgraph_rolled	bCD19-PBMC-1382.bedgraph_rolled	bCD19-PBMC-1389.bedgraph_rolled	cCD4-PBMC-1313.bedgraph_rolled	cCD4-PBMC-1382.bedgraph_rolled	cCD4-PBMC-1389.bedgraph_rolled	dCD8-PBMC-1313.bedgraph_rolled	dCD8-PBMC-1382.bedgraph_rolled	dCD8-PBMC-1389.bedgraph_rolled	eCD56-PBMC-1313.bedgraph_rolled	eCD56-PBMC-1382.bedgraph_rolled	eCD56-PBMC-1389.bedgraph_rolled
chr1	923666	923668	0.199	0.247	0.333	0.667	0.143	0.375	NA	0	0	0.416	0.75	0.083	0.387	0	0.2
chr1	924256	924258	0	NA	0.398	0.5	0.376	0	0	0	0	0.444	NA	0.398	0.25	0.25	0
chr1	924395	924397	0.2	0.333	0.5	0.25	0.333	0.247	NA	0	0	0.25	NA	0.284	0.25	0.25	NA
chr1	924929	924931	0.25	0	0.5	0.57	0	0.25	0	0	0	0.467	NA	0	0.503	0	NA
chr1	926194	926196	0.429	0.571	0.497	0.25	0.5	0.412	0.333	0	0	0.429	0.167	0.251	0.336	NA	1
chr1	927476	927478	0.859	NA	1	0.67	1	0.5	0.75	0	0.497	0.729	0.429	0.667	0.875	0.667	1
chr1	930026	930028	1	1	1	1	0.333	1	NA	0.497	0.571	0.904	0.5	NA	1	1	NA
chr1	930258	930260	1	1	0.889	1	0.803	0.891	0.75	0.333	0.889	1	0.8	0.797	1	0.909	NA
chr1	932557	932559	1	0.753	1	0.889	1	0.845	0.67	0.774	0.667	0.96	1	1	1	1	1
chr1	932855	932857	1	1	1	0.875	0.8	1	0	1	0.89	0.765	1	1	1	1	0.753
chr1	933908	933910	0.5	NA	0.499	0.429	0.4	0.667	0.503	0	NA	0.706	1	0.835	0.8	0.4	0.7
chr1	936007	936009	0.085	0.333	0.778	0.5	0	0.3	NA	0	0.25	0.461	NA	0.57	0.549	NA	1
chr1	937456	937458	1	0.5	1	1	NA	1	0	NA	1	0.5	1	0.6	1	1	0.5
chr1	938879	938881	1	1	1	0.571	1	1	NA	0.5	0.714	0.957	1	NA	1	1	0.802
chr1	938957	938959	0.929	1	1	0.9	0.857	0.645	NA	0.4	0.835	0.9	0.571	1	1	1	0.777
chr1	939136	939138	1	1	0.911	1	1	0.573	NA	0.333	0.877	1	0.872	0.898	1	0.753	0.667
chr1	939257	939259	0.556	0.667	0.557	0.765	0.499	0.573	0	0.503	0.5	0.621	0.333	0.588	0.717	0.5	1
chr1	940969	940971	0.253	0.33	0	0.733	0	0.402	0	0	0	0.571	0	0	0.5	0.333	0.146
chr1	941290	941292	0.306	0	1	0.376	0	0.093	0	0	0	0.549	0.444	0.197	0.427	0.398	0
chr1	941567	941569	0.372	0	0.107	0.571	0.573	0	NA	0	0	0.315	0.247	0	0.67	0.165	0.247
