chrom	start	end	Average delta rank	Minimum delta rank	Mono-B_cell	Mono-Naive CD4 T	Mono-NK	Mono-Naive CD8 T	Minimum delta	Maximum delta	Average delta	(Minimum delta+Average delta)/2	(Minimum delta rank+Average delta rank)/2
chr1	936432	936434	0	0	0.28600000000000003	0.3683333333333333	0.31833333333333336	0.4583333333333334	0.28600000000000003	0.4583333333333334	0.35775	0.321875	0.0
chr1	939458	939460	1	2	0.24516666666666675	0.34550000000000003	0.3855000000000001	0.451	0.24516666666666675	0.451	0.35679166666666673	0.30097916666666674	1.5
chr1	936159	936161	4	1	0.30933333333333346	0.43033333333333335	0.2576666666666667	0.2486666666666667	0.2486666666666667	0.43033333333333335	0.31150000000000005	0.28008333333333335	2.5
chr1	930163	930165	2	5	0.1941666666666667	0.4165	0.4165	0.2738333333333334	0.1941666666666667	0.4165	0.32525	0.2597083333333333	3.5
chr1	925758	925760	10	3	0.26	0.29766666666666663	0.21666666666666667	0.2998333333333333	0.21666666666666667	0.2998333333333333	0.2685416666666667	0.24260416666666668	6.5
chr1	935044	935046	3	11	0.16949999999999998	0.4895000000000001	0.3715	0.2651666666666667	0.16949999999999998	0.4895000000000001	0.3239166666666667	0.24670833333333334	7.0
chr1	925778	925780	9	7	0.3	0.25	0.184	0.34950000000000003	0.184	0.34950000000000003	0.270875	0.2274375	8.0
chr1	925791	925793	12	4	0.2896666666666667	0.25	0.2776666666666667	0.198	0.198	0.2896666666666667	0.25383333333333336	0.22591666666666668	8.0
chr1	941103	941105	6	12	0.16399999999999998	0.26316666666666666	0.3503333333333333	0.39566666666666667	0.16399999999999998	0.39566666666666667	0.2932916666666666	0.2286458333333333	9.0
chr1	924624	924626	11	9	0.34450000000000003	0.17783333333333332	0.17800000000000002	0.34450000000000003	0.17783333333333332	0.34450000000000003	0.2612083333333334	0.21952083333333333	10.0
chr1	931187	931189	14	6	0.2736666666666665	0.19199999999999995	0.2523333333333333	0.2846666666666666	0.19199999999999995	0.2846666666666666	0.2506666666666666	0.22133333333333327	10.0
chr1	936216	936218	7	21	0.20666666666666667	0.52	0.13466666666666666	0.2773333333333333	0.13466666666666666	0.52	0.2846666666666666	0.20966666666666664	14.0
chr1	940585	940587	25	8	0.209	0.266	0.183	0.2486666666666667	0.183	0.266	0.22666666666666666	0.2048333333333333	16.5
chr1	924632	924634	16	18	0.3733333333333333	0.15	0.15	0.3165	0.15	0.3733333333333333	0.2474583333333333	0.19872916666666665	17.0
chr1	933468	933470	18	17	0.2936666666666667	0.15466666666666656	0.2383333333333333	0.3010000000000001	0.15466666666666656	0.3010000000000001	0.2469166666666667	0.20079166666666665	17.5
