ReadName	allcelltype	ucelltype	assignedcelltype	CheckedCpG	mismatchCpG	notacceptedCpG	acceptedCpG	finalacceptedfor	finalrejectedfor	MateCIGARok
A00580:76:HFLG2DSXX:2:2549:2944:13260	"[""'CD4'"", ""'CD4'"", ""'CD4'"", ""'Neu'""]"	"[""'CD4'"", ""'Neu'""]"	NotAssigned	"['chr10:72172307', 'chr10:72172196', 'chr10:72172210', 'chr10:72172189']"	['']	"['chr10:72172196', 'chr10:72172210', 'chr10:72172189']"	['']	notdetermined	"[""'CD4'"", ""'Neu'""]"	Y
A00580:76:HFLG2DSXX:2:1567:29451:15170	"[""'CD4'"", ""'CD4'"", ""'CD4'"", ""'Neu'"", ""'CD4'"", ""'CD4'"", ""'CD4'"", ""'Neu'""]"	"[""'CD4'"", ""'Neu'""]"	NotAssigned	"['chr10:72172307', 'chr10:72172196', 'chr10:72172210', 'chr10:72172189']"	['']	"['chr10:72172307', 'chr10:72172196', 'chr10:72172210', 'chr10:72172189']"	['']	notdetermined	"[""'CD4'"", ""'Neu'""]"	Y
A00580:76:HFLG2DSXX:4:2501:7726:27649	"[""'CD4'"", ""'CD4'"", ""'CD4'"", ""'Neu'"", ""'Neu'"", ""'CD4'"", ""'CD4'"", ""'CD4'""]"	"[""'CD4'"", ""'Neu'""]"	NotAssigned	"['chr10:72172307', 'chr10:72172328', 'chr10:72172189', 'chr10:72172210', 'chr10:72172196']"	['']	"['chr10:72172307', 'chr10:72172328', 'chr10:72172189', 'chr10:72172210', 'chr10:72172196']"	['']	notdetermined	"[""'CD4'"", ""'Neu'""]"	Y
A00580:76:HFLG2DSXX:2:2353:30798:2284	"[""'CD4'"", ""'CD4'"", ""'CD4'"", ""'Neu'"", ""'Neu'"", ""'CD4'"", ""'CD4'"", ""'CD4'"", ""'Neu'"", ""'Neu'"", ""'Neu'""]"	"[""'CD4'"", ""'Neu'""]"	NotAssigned	"['chr10:72172307', 'chr10:72172328', 'chr10:72172189', 'chr10:72172210', 'chr10:72172196', 'chr10:72172338']"	['']	"['chr10:72172307', 'chr10:72172328', 'chr10:72172189', 'chr10:72172210', 'chr10:72172196', 'chr10:72172338']"	['']	notdetermined	"[""'CD4'"", ""'Neu'""]"	Y
A00580:76:HFLG2DSXX:2:2609:17752:24439	"[""'CD4'"", ""'CD4'"", ""'Neu'"", ""'Neu'"", ""'Neu'""]"	"[""'CD4'"", ""'Neu'""]"	NotAssigned	"['chr10:72172307', 'chr10:72172328', 'chr10:72172210', 'chr10:72172196', 'chr10:72172338']"	['']	"['chr10:72172307', 'chr10:72172328', 'chr10:72172210', 'chr10:72172196', 'chr10:72172338']"	['']	notdetermined	"[""'CD4'"", ""'Neu'""]"	Y
A00118:116:HJ7VFDSXX:3:1177:13602:23891	"[""'CD4'"", ""'CD4'"", ""'Neu'"", ""'Neu'"", ""'Neu'""]"	"[""'CD4'"", ""'Neu'""]"	NotAssigned	"['chr10:72172307', 'chr10:72172328', 'chr10:72172210', 'chr10:72172196', 'chr10:72172338']"	['']	"['chr10:72172307', 'chr10:72172338']"	['']	notdetermined	"[""'CD4'"", ""'Neu'""]"	Y
A00118:116:HJ7VFDSXX:3:1330:19524:17613	"[""'CD4'"", ""'CD4'"", ""'Neu'"", ""'Neu'""]"	"[""'CD4'"", ""'Neu'""]"	NotAssigned	"['chr10:72172307', 'chr10:72172196', 'chr10:72172210', 'chr10:72172328']"	['']	"['chr10:72172307', 'chr10:72172196', 'chr10:72172210', 'chr10:72172328']"	['']	notdetermined	"[""'CD4'"", ""'Neu'""]"	Y
A00580:76:HFLG2DSXX:2:2240:7129:3599	"[""'Neu'"", ""'Neu'"", ""'Neu'"", ""'CD4'"", ""'CD4'"", ""'CD4'"", ""'CD4'""]"	"[""'CD4'"", ""'Neu'""]"	NotAssigned	"['chr10:72172307', 'chr10:72172328', 'chr10:72172189', 'chr10:72172210', 'chr10:72172152', 'chr10:72172338']"	['']	"['chr10:72172307', 'chr10:72172328', 'chr10:72172189', 'chr10:72172210', 'chr10:72172152', 'chr10:72172338']"	['']	notdetermined	"[""'CD4'"", ""'Neu'""]"	Y
A00580:76:HFLG2DSXX:2:1126:32768:31657	"[""'Neu'"", ""'Neu'"", ""'Neu'"", ""'CD4'"", ""'CD4'"", ""'CD4'"", ""'Neu'"", ""'Neu'""]"	"[""'CD4'"", ""'Neu'""]"	NotAssigned	"['chr10:72172307', 'chr10:72172328', 'chr10:72172189', 'chr10:72172210', 'chr10:72172196', 'chr10:72172338']"	['']	"['chr10:72172307', 'chr10:72172328', 'chr10:72172189', 'chr10:72172210', 'chr10:72172196', 'chr10:72172338']"	['']	notdetermined	"[""'CD4'"", ""'Neu'""]"	Y
A00580:76:HFLG2DSXX:3:1371:6858:12774	"[""'CD4'"", ""'Neu'"", ""'CD4'"", ""'CD4'"", ""'CD4'""]"	"[""'CD4'"", ""'Neu'""]"	NotAssigned	"['chr12:122729380', 'chr12:122729231', 'chr12:122729244', 'chr12:122729190']"	['']	"['chr12:122729380', 'chr12:122729231', 'chr12:122729244', 'chr12:122729190']"	['']	notdetermined	"[""'CD4'"", ""'Neu'""]"	Y
